estado,max,mean,median,std,min
ACRE,939904.0,27926.963669735294,0.0,145544.04935584785,0.0
ALAGOAS,997864.0,28515.190210964887,0.0,119669.71031625097,0.0
AMAPA,485892.0,12492.446296223881,0.0,61524.636497348416,0.0
AMAZONAS,995199.0,41788.659771083134,0.0,144421.92392481226,0.0
BAHIA,997240.0,35857.45366033425,0.0,130075.438222356,0.0
CEARA,980395.0,16916.183686692235,0.0,86290.26991041235,0.0
DISTRITO FEDERAL,989262.0,45111.67254042332,0.0,162775.350595762,0.0
ESPIRITO SANTO,987169.0,24919.37275116194,0.0,98891.46582177228,0.0
GOIAS,998082.0,27650.778912242542,0.0,112185.80410197664,0.0
MARANHAO,979893.0,21317.7332171527,0.0,91865.95899103192,0.0
MATO GROSSO,957462.0,23484.336944154416,0.0,99187.91319794088,0.0
MATO GROSSO DO SUL,986356.0,26061.073192702712,0.0,106928.88289050716,0.0
MINAS GERAIS,998575.0,16533.861623024393,0.0,86144.6105004898,0.0
PARA,976046.0,18235.941885818116,0.0,92195.49277293558,0.0
PARAIBA,913037.0,20837.177708296647,0.0,92557.93145284304,0.0
PARANA,994707.0,24751.44159779028,0.0,109972.01602414103,0.0
PERNAMBUCO,997841.0,28581.71104799588,0.0,122149.28978812599,0.0
PIAUI,696003.0,11124.68615669213,0.0,62342.98226877663,0.0
RIO DE JANEIRO,999158.0,36594.28556026819,0.0,126923.92505819422,0.0
RIO GRANDE DO NORTE,982646.0,20821.22263453975,0.0,100479.19770633931,0.0
RIO GRANDE DO SUL,999443.0,16809.404753537674,0.0,87043.73609052695,0.0
RONDONIA,913576.0,7899.226440116595,0.0,56349.913857470674,0.0
RORAIMA,55127.0,7295.0,0.0,17930.779716732897,0.0
SANTA CATARINA,996471.0,12165.311586607895,0.0,74297.11258803622,0.0
SAO PAULO,999783.0,30440.538595691003,0.0,119269.09016664338,0.0
SERGIPE,997811.0,28095.651811559906,0.0,111343.38844754972,0.0
TOCANTINS,997822.0,10953.48347003401,0.0,59055.5660992774,0.0
