estado,max,mean,median,std,min
ACRE,900000.0,73247.82080062774,210.0,164954.26969104895,1.0
ALAGOAS,943259.0,89385.44354418985,680.252499,193439.2023934318,0.0
AMAPA,970000.0,70655.936019,11000.0,149557.83239282644,0.0
AMAZONAS,997467.0,92702.7050858231,724.0,199862.76299717577,0.0
BAHIA,999521.0,97314.59857302955,2880.0,198487.46981093322,0.0
CEARA,999000.0,97988.49796142432,4000.0,191959.47860137434,0.0
DISTRITO FEDERAL,995976.0,102821.27282047992,16544.0,187540.13048166438,0.0
ESPIRITO SANTO,999310.0,86134.94854738053,5000.0,180804.45508605806,0.0
GOIAS,999934.0,100333.84170804692,711.1074,209667.31977499672,0.0
MARANHAO,986170.0,99057.24769216735,3920.0,195368.40673859566,0.0
MATO GROSSO,995000.0,74653.40511892889,293.5,171638.99898001784,0.0
MATO GROSSO DO SUL,998770.0,100351.1430668005,526.9694999999999,210324.1286674009,0.0
MINAS GERAIS,999535.0,92951.10251210393,8400.0,185719.17190369125,0.0
PARA,989406.0,103286.4159040937,3000.0,197409.85744111854,0.0
PARAIBA,990000.0,113729.8369509664,3000.0,203014.18141187416,0.0
PARANA,999847.0,119875.62891216905,1500.0,224771.31341323588,0.0
PERNAMBUCO,998560.0,88339.65982526485,600.0,194902.69736871732,0.0
PIAUI,986367.0,105039.30801672183,856.0,198784.78072354852,0.0
RIO DE JANEIRO,998039.0,87367.34236912875,2664.0,190996.47672567755,0.0
RIO GRANDE DO NORTE,986000.0,123237.42111994194,6000.0,207368.7327732652,0.0
RIO GRANDE DO SUL,999403.0,100164.78198812764,9187.0,195437.928499958,0.0
RONDONIA,993600.0,126543.98536067789,9230.0,217208.83879722995,0.0
RORAIMA,540000.0,37731.50344512195,1600.0,91614.06383044338,0.0
SANTA CATARINA,999594.0,89304.4069152563,8000.0,183459.71840625486,0.0
SAO PAULO,999492.0,89454.43871581789,4500.0,186298.93831865813,0.0
SERGIPE,999600.0,81002.77270907888,206.002805,188784.70922456717,1.0
TOCANTINS,998000.0,111863.69325176606,6000.0,202603.47769315864,0.0
