isis_12,max,mean,median,std,min
Agriculture,990000.0,93497.5083874154,2857.0,190208.92681604,0.0
Business,995885.0,91156.30416529662,5957.0,188014.59179314802,0.0
Construction,995400.0,74985.78912586122,19584.0,146849.6638892766,0.0
Financial,780000.0,90511.22637270435,2300.0,176847.58078711023,0.0
Government,995050.0,113422.20963939441,7455.0,194175.45665891375,0.0
Manufacturing,999934.0,94834.07452430237,5000.0,192165.7465989209,0.0
Mining,999600.0,97914.49365122865,5000.0,199718.60192971013,0.0
OtherServices,977000.0,115492.61246579404,11960.0,200546.82402100973,0.0
RealEstate,900000.0,61454.31209198113,5453.0,141207.77386994896,0.0
Trade,999407.0,97824.61143214034,6000.0,198780.95759917516,0.0
Transport,990000.0,111975.25811504613,9256.0,207895.39761103908,0.0
Utilities,999847.0,89232.42868080834,2823.0,186024.86471125824,0.0
