estado,max,mean,median,std,min
ACRE,53000.0,1164.4325294117648,5.0,6126.939036689539,0.0
ALAGOAS,952454.0,7705.706769911504,11.18,55252.430938983285,0.0
AMAPA,275790.0,7171.108186813187,10.04,35632.43291584218,0.0
AMAZONAS,480000.0,1404.8558293426208,2.0,16454.4081100167,0.0
BAHIA,759604.96,982.0635262871152,1.0,16060.295049396227,0.0
CEARA,240000.0,484.39412333544703,1.71,6038.968474669702,0.0
DISTRITO FEDERAL,94916.0,910.1151783166904,10.0,6815.396773437953,0.0
ESPIRITO SANTO,891148.08,573.1622280352101,0.265,14043.767328044869,0.0
GOIAS,840000.0,1122.6078622777147,3.5,18130.65560594795,0.0
MARANHAO,900000.0,1333.242829736211,3.0,25962.10213592217,0.0
MATO GROSSO,600000.0,1940.6784881461328,5.0,24535.481560567274,0.0
MATO GROSSO DO SUL,826745.0,2329.504067688378,2.31,31344.004426044212,0.0
MINAS GERAIS,857124.0,320.884539088429,0.6,9835.060933870664,0.0
PARA,256465.0,903.3597836938436,5.0,8458.096621408102,0.0
PARAIBA,447650.0,1493.1482945736434,2.25,15618.145879692303,0.0
PARANA,909596.0,533.2224692342753,1.0,8668.670471759226,0.0
PERNAMBUCO,850000.0,1144.8861812714777,3.0,15817.760236359854,0.0
PIAUI,707088.84,4198.626749435665,11.0,44371.00501412905,0.0
RIO DE JANEIRO,664269.0,628.3675960561698,1.0,10670.431528634981,0.0
RIO GRANDE DO NORTE,115400.0,1243.9510387065163,4.0,7786.554248860383,0.0
RIO GRANDE DO SUL,678562.2,190.898384444193,0.51,5890.458385213576,0.0
RONDONIA,320000.0,991.3663179916318,3.5,12087.79226989678,0.0
RORAIMA,9542.83,363.2637931034483,9.0,1766.0514050426038,0.0
SANTA CATARINA,950000.0,162.0032265377563,0.48,5978.091223207481,0.0
SAO PAULO,960000.0,736.9942394247955,1.11,14861.402661609325,0.0
SERGIPE,314097.0,3005.6702798053525,4.15,22676.147478922616,0.0
TOCANTINS,751600.0,2082.772113078241,6.25,26303.441803429287,0.0
