isis_12,max,mean,median,std,min,ecoeficiencia
Agriculture,99395.0,6967.452852169658,254.5,14890.314936690645,0.0,1884467.375880606
Business,99580.0,3910.0565809265613,34.0,12905.33415983426,0.0,9012490.105109775
Construction,98200.0,2244.942989834507,14.0,9768.281258555662,0.0,6093942.40357458
Financial,93300.0,3747.6012748648645,20.0,14032.050096861716,0.0,13722478.358019663
Government,74850.0,1802.7529490506329,11.5,8726.220240519542,0.0,8059408.044048042
Manufacturing,99999.0,4549.331575092413,100.0,12913.630849970745,0.0,371271865.04899234
Mining,99963.0,5000.32113846082,60.0,14207.276750476909,0.0,47656188.62351737
OtherServices,99232.0,3235.650805236994,65.0,11335.634256084866,0.0,1808417.892780434
RealEstate,72000.0,6770.636363636364,97.0,21638.210560361626,0.0,498.9043006565785
Trade,99316.0,1500.0617278596803,20.0,7161.36283380915,0.0,6706377.122189359
Transport,68100.0,2043.0995905700124,48.0,6731.515043639979,0.0,943175.7132271648
Utilities,98962.0,8069.768835724409,119.8715,16972.808128687135,0.0,3501138.5253867367
