estado,max,mean,median,std,min
ACRE,50083840.0,132713.6692663477,160.0,2037154.61170932,0.0
ALAGOAS,350829641000.0,355546424.8312445,1060.5,9294108924.924078,0.0
AMAPA,8157110000.0,23319909.210526317,438.0,367723881.41615564,0.0
AMAZONAS,42371400000.0,3768238.017319016,7207.035,369596113.34883475,0.0
BAHIA,8859281000.0,2540754.6687447373,960.0,107218713.46821006,0.0
CEARA,28227246000.0,2700098.69096301,1750.0,207437484.7088884,0.0
DISTRITO FEDERAL,778960000.0,762591.4294137846,1000.0,17159467.973890256,0.01
ESPIRITO SANTO,11000088576.0,2273683.873648874,302.3,92285303.02822538,0.0
GOIAS,747227663000.0,108135417.64906918,2200.0,6765896572.383,0.0
MARANHAO,136143556000.0,32387367.14156617,1499.2,1907599264.5881813,0.0
MATO GROSSO,365000200000.0,34261503.036014535,3000.0,3252901533.7374125,0.0
MATO GROSSO DO SUL,9189940000.0,3665576.7374546854,940.0,118169323.41338196,0.0
MINAS GERAIS,512960000000.0,9778249.683883151,788.0,1570609289.0877862,0.0
PARA,6680009251.23,5829707.392033412,1318.45,170027649.9980438,0.0
PARAIBA,163000248230.0,49826428.494520426,915.0,2337809674.1882915,0.0
PARANA,36040000000.0,1888467.2079796,1500.0,173353864.11876932,0.0
PERNAMBUCO,850398947000.0,63118998.01962947,3420.0,6985961252.596802,0.0
PIAUI,414533830.0,4096853.6314216633,8015.0,35317786.3443944,0.0
RIO DE JANEIRO,42619768053.48,2668266.534627532,2000.0,247043884.9105236,0.0
RIO GRANDE DO NORTE,1450851000.0,886360.4904334706,865.75,21160655.005641513,0.0
RIO GRANDE DO SUL,49100004314.41,1193293.2146664741,560.0,153486217.40863755,0.0
RONDONIA,440650000.0,481392.91989840346,1393.8,8346727.457044178,0.0
RORAIMA,7472412.5,32510.978732394367,700.0,341474.9080484554,0.0
SANTA CATARINA,105000775950.0,6455327.108474694,1200.0,632576483.840215,0.0
SAO PAULO,853000709754.3,8285800.503274051,1380.0,2168556097.962176,0.0
SERGIPE,948895000.0,2935999.275605358,3500.0,39796700.27958089,0.0
TOCANTINS,6722226170.0,2991526.113922518,268.0,103348038.69354682,0.0
