isis_12,max,mean,median,std,min,ecoeficiencia
Agriculture,1231591000.0,1559999.0115503806,600.0,29984221.50919056,0.0,40621.54735845707
Business,8157110000.0,4587840.697880242,1020.0,139922507.69246066,0.0,22375.703032163055
Construction,6680009251.23,2582312.4853145997,1620.0,92293665.17406808,0.0,60740.19135911088
Financial,350000000.0,4133481.3058947367,3369.95,34325059.116721064,0.0,70.15881817499265
Government,5973257000.0,2276185.9377567,1547.15,103726858.06860684,0.0,27447.22051637941
Manufacturing,853000709754.3,17105605.106314436,2530.0,2570401002.155535,0.0,305210.619376068
Mining,512960000000.0,47390449.473748915,1800.0,3924725821.108944,0.0,10103.519144904469
OtherServices,28227246000.0,5225686.785037141,7961.549999999999,375406651.1291909,0.0,5664.132921573413
RealEstate,18565885.1,317321.5019409282,4859.0,1691308.5281275946,0.0,171.31474995388072
Trade,22900094856.83,271772.58594660106,300.0,56729846.73605759,0.0,523932.7937798975
Transport,10894980000.0,954716.7186558093,2000.0,68130984.37447459,0.0,565258.7292525321
Utilities,61737360000.0,20589165.71035594,4543.335,771640224.6076353,0.0,9201.20215762472
