estado,max,mean,median,std,min
ACRE,446000.0,25377.207885171425,89.0,69201.07551048248,0.0
ALAGOAS,902948.0,30251.369447243433,480.0,115993.31598822399,0.0
AMAPA,338554.0,4868.197047639098,108.0,31177.07022170685,0.0
AMAZONAS,983917.0,49759.36768975347,3241.0,122484.16514944406,0.0
BAHIA,997147.0,44137.95851449059,1047.5,129604.3394878066,0.0
CEARA,987322.0,29843.523273609604,843.0,99681.72697508382,0.0
DISTRITO FEDERAL,854251.0,25866.07659582105,743.0,97734.62907730622,0.0
ESPIRITO SANTO,993312.0,19608.958945142473,183.0,92548.94135904951,0.0
GOIAS,992214.0,49122.16999093656,2346.0,129929.04183898102,0.0
MARANHAO,959107.0,40631.28231696176,1243.0,127313.08828975362,0.0
MATO GROSSO,994294.0,41288.725835757985,1104.0,116604.15642723817,0.0
MATO GROSSO DO SUL,990203.0,34448.168923132354,3115.0,103127.19571450289,0.0
MINAS GERAIS,999180.0,27505.55424530669,355.0,103146.78133498113,0.0
PARA,999146.0,53416.45227700767,1874.0,146508.57668561419,0.0
PARAIBA,912371.0,31554.35399012559,911.0,105624.85327974382,0.0
PARANA,998142.0,41698.580512242756,2773.5,119737.26870209287,0.0
PERNAMBUCO,998371.0,40376.583788140604,1558.0,122423.52657914162,0.0
PIAUI,992228.0,49560.22226514875,1037.0,146925.82566270072,0.0
RIO DE JANEIRO,987349.0,39010.11158206182,637.0,125114.19699999796,0.0
RIO GRANDE DO NORTE,984197.0,31638.630968661168,952.0,116201.44693321692,0.0
RIO GRANDE DO SUL,993600.0,19953.773197653623,334.0,81530.83973209844,0.0
RONDONIA,986000.0,27089.657575244473,961.5,98542.92530332437,0.0
RORAIMA,53839.0,1608.378536585366,47.0,8376.564929884313,0.0
SANTA CATARINA,998848.0,31274.710702867298,294.0,109557.67566966727,0.0
SAO PAULO,996915.0,28798.519074237392,540.0,100857.78840585897,0.0
SERGIPE,940464.0,50000.55112646319,4192.0,134039.40315854023,0.0
TOCANTINS,973120.0,35900.438011808066,936.0,113543.42302084017,0.0
