isis_12,max,mean,median,std,min
Agriculture,992228.0,38165.583827326795,1115.0,122060.44726865445,0.0
Business,971867.0,25259.120778663302,336.5,98912.30981025581,0.0
Construction,983264.0,19311.51948101472,216.0,76327.22346954425,0.0
Financial,937790.0,38504.023476999995,687.0,113884.47164699767,0.0
Government,888090.0,7860.82167106646,549.0,48296.703152370756,0.0
Manufacturing,999180.0,32618.987272689414,631.0,109220.58532601222,0.0
Mining,995961.0,30584.524743946225,533.0,109707.45824320408,0.0
OtherServices,940464.0,10784.01347890427,288.0,59318.28865045064,0.0
RealEstate,91561.0,12932.351198113207,842.0,24478.088579872125,0.0
Trade,994294.0,13432.984916005202,252.0,63308.73572382726,0.0
Transport,934560.0,14565.548925634108,450.5,69809.22738409726,0.0
Utilities,985908.0,36086.68213614878,346.0,120681.92256809027,0.0
