Número de GRU;Valor Cobrado (R$);Valor Pago (R$);Data Vencimento;Data Pagamento;Ano Débito;Trimestre;UF;Última Atualização Relatório
00000000001093210;180;322,2;30/03/2001;06/02/2006;2001;1;AC;02/04/2024 20:00
00000000001093211;180;316,8;29/06/2001;06/02/2006;2001;2;AC;02/04/2024 20:00
00000000001093213;180;311,4;28/09/2001;06/02/2006;2001;3;AC;02/04/2024 20:00
00000000001093215;180;300,6;28/03/2002;06/02/2006;2002;1;AC;02/04/2024 20:00
00000000001093216;180;295,2;28/06/2002;06/02/2006;2002;2;AC;02/04/2024 20:00
00000000001093217;180;289,8;30/09/2002;06/02/2006;2002;3;AC;02/04/2024 20:00
00000000001093219;180;284,4;30/12/2002;06/02/2006;2002;4;AC;02/04/2024 20:00
00000000001100597;180;284,4;30/12/2002;24/02/2006;2002;4;AC;02/04/2024 20:00
00000000015890236;180;360;30/12/2002;17/08/2009;2002;4;AC;02/04/2024 20:00
00000000001076874;50;75,5;30/06/2003;04/01/2006;2003;2;AC;02/04/2024 20:00
00000000010808266;360;53,2;30/12/2003;29/01/2007;2003;4;AC;02/04/2024 20:00
00000000022596319;50;149,8;30/12/2003;28/08/2014;2003;4;AC;02/04/2024 20:00
00000000010785061;180;27,5;31/03/2004;19/01/2007;2004;1;AC;02/04/2024 20:00
00000000010808275;360;55;31/03/2004;29/01/2007;2004;1;AC;02/04/2024 20:00
00000000011081527;180;140;31/03/2004;27/04/2007;2004;1;AC;02/04/2024 20:00
00000000022636295;50;145,8;31/03/2004;30/09/2014;2004;1;AC;02/04/2024 20:00
00000000011030824;180;277,2;30/06/2004;04/04/2007;2004;2;AC;02/04/2024 20:00
00000000011195809;225;351;30/06/2004;18/06/2007;2004;2;AC;02/04/2024 20:00
00000000012505591;180;295,2;30/06/2004;20/02/2008;2004;2;AC;02/04/2024 20:00
00000000022636297;50;141,8;30/06/2004;30/09/2014;2004;2;AC;02/04/2024 20:00
00000000010375867;360;52,8;30/09/2004;02/01/2007;2004;3;AC;02/04/2024 20:00
00000000011195811;225;344,2;30/09/2004;18/06/2007;2004;3;AC;02/04/2024 20:00
00000000012505593;180;289,8;30/09/2004;20/02/2008;2004;3;AC;02/04/2024 20:00
00000000019013388;450;242,6;30/09/2004;22/12/2011;2004;3;AC;02/04/2024 20:00
00000000022772726;50;137,6;30/09/2004;22/10/2014;2004;3;AC;02/04/2024 20:00
00000000011195814;225;337,5;30/12/2004;18/06/2007;2004;4;AC;02/04/2024 20:00
00000000011597692;225;346,5;31/12/2004;25/09/2007;2004;4;AC;02/04/2024 20:00
00000000012505595;180;284,4;30/12/2004;20/02/2008;2004;4;AC;02/04/2024 20:00
00000000016579204;50;91;30/12/2004;10/02/2010;2004;4;AC;02/04/2024 20:00
00000000017836211;225;413,1;30/12/2004;16/09/2010;2004;4;AC;02/04/2024 20:00
00000000018596221;450;230;30/12/2004;25/07/2011;2004;4;AC;02/04/2024 20:00
00000000019013389;450;234,6;30/12/2004;22/12/2011;2004;4;AC;02/04/2024 20:00
00000000019123954;450;235,6;30/12/2004;25/01/2012;2004;4;AC;02/04/2024 20:00
00000000019230352;450;227,7;30/12/2004;27/02/2012;2004;4;AC;02/04/2024 20:00
00000000019371600;450;238,5;30/12/2004;30/03/2012;2004;4;AC;02/04/2024 20:00
00000000019536369;450;239,3;30/12/2004;27/04/2012;2004;4;AC;02/04/2024 20:00
00000000010815967;180;257,4;31/03/2005;15/02/2007;2005;1;AC;02/04/2024 20:00
00000000011382728;180;499,5;31/03/2005;31/07/2007;2005;1;AC;02/04/2024 20:00
00000000011597688;225;339,8;30/03/2005;25/09/2007;2005;1;AC;02/04/2024 20:00
00000000012505598;180;279;31/03/2005;20/02/2008;2005;1;AC;02/04/2024 20:00
00000000014830035;900;1.503;31/03/2005;12/02/2009;2005;1;AC;02/04/2024 20:00
00000000016579238;50;89,5;30/03/2005;10/02/2010;2005;1;AC;02/04/2024 20:00
00000000016864955;225;405;30/03/2005;25/03/2010;2005;1;AC;02/04/2024 20:00
00000000016864981;450;810;30/03/2005;31/03/2010;2005;1;AC;02/04/2024 20:00
00000000016865007;225;405;30/03/2005;29/03/2010;2005;1;AC;02/04/2024 20:00
00000000018628766;450;223,4;31/03/2005;09/08/2011;2005;1;AC;02/04/2024 20:00
00000000019123981;450;227,9;31/03/2005;25/01/2012;2005;1;AC;02/04/2024 20:00
00000000019230442;450;229,9;31/03/2005;27/02/2012;2005;1;AC;02/04/2024 20:00
00000000019371493;450;230,8;31/03/2005;30/03/2012;2005;1;AC;02/04/2024 20:00
00000000019536386;450;231,5;31/03/2005;27/04/2012;2005;1;AC;02/04/2024 20:00
00000000019591111;180;463,3;31/03/2005;18/05/2012;2005;1;AC;02/04/2024 20:00
00000000021414750;225;554,6;30/03/2005;31/10/2013;2005;1;AC;02/04/2024 20:00
00000000001026771;180;226,8;30/06/2005;05/12/2005;2005;2;AC;02/04/2024 20:00
00000000001078828;360;457,2;30/06/2005;10/01/2006;2005;2;AC;02/04/2024 20:00
00000000001155645;360;464,4;30/06/2005;16/03/2006;2005;2;AC;02/04/2024 20:00
00000000001471183;180;147,4;30/06/2005;16/05/2006;2005;2;AC;02/04/2024 20:00
00000000002282901;450;603;30/06/2005;23/08/2006;2005;2;AC;02/04/2024 20:00
00000000010815968;180;252;30/06/2005;15/02/2007;2005;2;AC;02/04/2024 20:00
00000000011597689;225;333;30/06/2005;25/09/2007;2005;2;AC;02/04/2024 20:00
00000000012505601;180;273,6;30/06/2005;20/02/2008;2005;2;AC;02/04/2024 20:00
00000000014830046;900;1.476;30/06/2005;12/02/2009;2005;2;AC;02/04/2024 20:00
00000000016579242;50;88;30/06/2005;10/02/2010;2005;2;AC;02/04/2024 20:00
00000000017329821;450;801;30/06/2005;05/04/2010;2005;2;AC;02/04/2024 20:00
00000000017329826;225;400,5;30/06/2005;05/04/2010;2005;2;AC;02/04/2024 20:00
00000000017329832;225;400,5;30/06/2005;05/04/2010;2005;2;AC;02/04/2024 20:00
00000000018628770;450;216,6;30/06/2005;09/08/2011;2005;2;AC;02/04/2024 20:00
00000000019123998;450;221;30/06/2005;25/01/2012;2005;2;AC;02/04/2024 20:00
00000000019230338;450;223;30/06/2005;27/02/2012;2005;2;AC;02/04/2024 20:00
00000000019371454;450;223,8;30/06/2005;30/03/2012;2005;2;AC;02/04/2024 20:00
00000000019536397;450;224,6;30/06/2005;27/04/2012;2005;2;AC;02/04/2024 20:00
00000000019591122;180;449,3;30/06/2005;18/05/2012;2005;2;AC;02/04/2024 20:00
00000000021414788;225;538,3;30/06/2005;31/10/2013;2005;2;AC;02/04/2024 20:00
00000000000989706;180;219,6;30/09/2005;09/11/2005;2005;3;AC;02/04/2024 20:00
00000000000999193;50;61;30/09/2005;18/11/2005;2005;3;AC;02/04/2024 20:00
00000000001000246;50;61;30/09/2005;28/11/2005;2005;3;AC;02/04/2024 20:00
00000000001001688;225;274,5;30/09/2005;30/11/2005;2005;3;AC;02/04/2024 20:00
00000000001013343;180;219,6;30/09/2005;29/11/2005;2005;3;AC;02/04/2024 20:00
00000000001013595;180;219,6;30/09/2005;30/11/2005;2005;3;AC;02/04/2024 20:00
00000000001026773;180;221,4;30/09/2005;05/12/2005;2005;3;AC;02/04/2024 20:00
00000000001028159;225;276,8;30/09/2005;02/01/2006;2005;3;AC;02/04/2024 20:00
00000000001032843;180;223,2;30/09/2005;16/01/2006;2005;3;AC;02/04/2024 20:00
00000000001032872;225;279;30/09/2005;16/01/2006;2005;3;AC;02/04/2024 20:00
00000000001032903;360;446,4;30/09/2005;16/01/2006;2005;3;AC;02/04/2024 20:00
00000000001075281;180;221,4;30/09/2005;28/12/2005;2005;3;AC;02/04/2024 20:00
00000000001078829;360;446,4;30/09/2005;10/01/2006;2005;3;AC;02/04/2024 20:00
00000000001079980;180;22,1;30/09/2005;10/01/2006;2005;3;AC;02/04/2024 20:00
00000000001093780;360;450;30/09/2005;20/02/2006;2005;3;AC;02/04/2024 20:00
00000000001093784;450;562,5;30/09/2005;20/02/2006;2005;3;AC;02/04/2024 20:00
00000000001093811;225;281,2;30/09/2005;09/02/2006;2005;3;AC;02/04/2024 20:00
00000000001094598;360;450;30/09/2005;14/02/2006;2005;3;AC;02/04/2024 20:00
00000000001094838;180;225;30/09/2005;07/02/2006;2005;3;AC;02/04/2024 20:00
00000000001106090;225;283,5;30/09/2005;27/03/2006;2005;3;AC;02/04/2024 20:00
00000000001206791;180;226,8;30/09/2005;28/03/2006;2005;3;AC;02/04/2024 20:00
00000000001207979;225;283,5;30/09/2005;27/03/2006;2005;3;AC;02/04/2024 20:00
00000000001210407;225;283,5;30/09/2005;31/03/2006;2005;3;AC;02/04/2024 20:00
00000000001220709;180;228,6;30/09/2005;17/04/2006;2005;3;AC;02/04/2024 20:00
00000000001221769;225;285,8;30/09/2005;28/04/2006;2005;3;AC;02/04/2024 20:00
00000000001221774;225;285,8;30/09/2005;28/04/2006;2005;3;AC;02/04/2024 20:00
00000000001472549;180;230,4;30/09/2005;31/05/2006;2005;3;AC;02/04/2024 20:00
00000000001566237;180;232,2;30/09/2005;27/06/2006;2005;3;AC;02/04/2024 20:00
00000000001566246;450;580,5;30/09/2005;30/06/2006;2005;3;AC;02/04/2024 20:00
00000000001567226;225;290,2;30/09/2005;30/06/2006;2005;3;AC;02/04/2024 20:00
00000000001567253;50;64,5;30/09/2005;26/06/2006;2005;3;AC;02/04/2024 20:00
00000000002275057;450;589,5;30/09/2005;02/08/2006;2005;3;AC;02/04/2024 20:00
00000000002275714;450;589,5;30/09/2005;02/08/2006;2005;3;AC;02/04/2024 20:00
00000000002276415;225;294,8;30/09/2005;21/08/2006;2005;3;AC;02/04/2024 20:00
00000000002281923;450;589,5;30/09/2005;23/08/2006;2005;3;AC;02/04/2024 20:00
00000000002282904;450;589,5;30/09/2005;23/08/2006;2005;3;AC;02/04/2024 20:00
00000000002282988;225;294,8;30/09/2005;08/08/2006;2005;3;AC;02/04/2024 20:00
00000000010084017;450;585;30/09/2005;21/08/2006;2005;3;AC;02/04/2024 20:00
00000000010119589;450;589,5;30/09/2005;14/09/2006;2005;3;AC;02/04/2024 20:00
00000000010150610;180;237,6;30/09/2005;29/09/2006;2005;3;AC;02/04/2024 20:00
00000000010280033;50;67,5;30/09/2005;13/12/2006;2005;3;AC;02/04/2024 20:00
00000000010845687;225;308,2;30/09/2005;28/02/2007;2005;3;AC;02/04/2024 20:00
00000000010939569;50;69,5;30/09/2005;13/04/2007;2005;3;AC;02/04/2024 20:00
00000000011033779;225;315;30/09/2005;05/04/2007;2005;3;AC;02/04/2024 20:00
00000000011127750;50;70;30/09/2005;11/05/2007;2005;3;AC;02/04/2024 20:00
00000000011382711;180;479,2;30/09/2005;31/07/2007;2005;3;AC;02/04/2024 20:00
00000000011597690;225;326,2;30/09/2005;25/09/2007;2005;3;AC;02/04/2024 20:00
00000000012505606;180;268,2;30/09/2005;20/02/2008;2005;3;AC;02/04/2024 20:00
00000000012544068;180;268,2;30/09/2005;29/02/2008;2005;3;AC;02/04/2024 20:00
00000000014830083;900;1.449;30/09/2005;12/02/2009;2005;3;AC;02/04/2024 20:00
00000000016579358;50;86,5;30/09/2005;10/02/2010;2005;3;AC;02/04/2024 20:00
00000000017520605;225;396;30/09/2005;21/05/2010;2005;3;AC;02/04/2024 20:00
00000000017520705;225;396;30/09/2005;21/05/2010;2005;3;AC;02/04/2024 20:00
00000000017643516;450;773,8;30/09/2005;29/06/2010;2005;3;AC;02/04/2024 20:00
00000000018628735;450;211,8;30/09/2005;09/08/2011;2005;3;AC;02/04/2024 20:00
00000000019124150;450;216,2;30/09/2005;25/01/2012;2005;3;AC;02/04/2024 20:00
00000000019230395;450;218,1;30/09/2005;27/02/2012;2005;3;AC;02/04/2024 20:00
00000000019371513;450;218,9;30/09/2005;30/03/2012;2005;3;AC;02/04/2024 20:00
00000000019536379;450;219,7;30/09/2005;27/04/2012;2005;3;AC;02/04/2024 20:00
00000000021414794;225;527,1;30/09/2005;31/10/2013;2005;3;AC;02/04/2024 20:00
00000000000990415;180;180;30/12/2005;31/10/2005;2005;4;AC;02/04/2024 20:00
00000000001000247;50;50;30/12/2005;28/11/2005;2005;4;AC;02/04/2024 20:00
00000000001001686;225;225;30/12/2005;29/12/2005;2005;4;AC;02/04/2024 20:00
00000000001013362;180;180;30/12/2005;28/12/2005;2005;4;AC;02/04/2024 20:00
00000000001026774;180;180;30/12/2005;05/12/2005;2005;4;AC;02/04/2024 20:00
00000000001028153;225;225;30/12/2005;02/01/2006;2005;4;AC;02/04/2024 20:00
00000000001078830;360;399,6;30/12/2005;10/01/2006;2005;4;AC;02/04/2024 20:00
00000000001080012;180;199,8;30/12/2005;10/01/2006;2005;4;AC;02/04/2024 20:00
00000000001080019;180;199,8;30/12/2005;10/01/2006;2005;4;AC;02/04/2024 20:00
00000000001093782;360;439,2;30/12/2005;20/02/2006;2005;4;AC;02/04/2024 20:00
00000000001093791;450;549;30/12/2005;20/02/2006;2005;4;AC;02/04/2024 20:00
00000000001093812;225;276,8;30/12/2005;10/03/2006;2005;4;AC;02/04/2024 20:00
00000000001094600;360;442,8;30/12/2005;15/03/2006;2005;4;AC;02/04/2024 20:00
00000000001094839;180;219,6;30/12/2005;07/02/2006;2005;4;AC;02/04/2024 20:00
00000000001095258;180;219,6;30/12/2005;07/02/2006;2005;4;AC;02/04/2024 20:00
