,box_plot,Média,Mediana,Máximo,Mínimo
0,Nacional,4866.683931032799,110.0,99999.0,1.0
1,Sudeste Material Particulado (MP),3297.576146651479,54.0,99850.0,0.0
2,Sudeste Monóxido de carbono (CO),4783.73876106602,73.0,99000.0,0.0
3,Sudeste Óxidos de nitrogênio (NOx),8321.774979186861,450.0,99394.0,0.0
4,Sudeste Óxidos de enxofre (SOx),3397.0499423217498,58.43795,99963.0,0.0
5,Norte Material Particulado (MP),2753.689382008182,70.0,98600.0,0.0
6,Norte Monóxido de carbono (CO),5356.710705713647,100.0,98400.0,0.0
7,Norte Óxidos de nitrogênio (NOx),6996.036290287631,100.0,97806.0,0.0
8,Norte Óxidos de enxofre (SOx),3110.7132099261607,40.0,99800.0,0.0
9,Sul Material Particulado (MP),2010.0172841333983,49.0,96360.0,0.0
10,Sul Monóxido de carbono (CO),5897.663673133021,520.5,99416.0,0.0
11,Sul Óxidos de nitrogênio (NOx),5206.082539214031,280.5,99830.0,0.0
12,Sul Óxidos de enxofre (SOx),2263.1066443425966,37.0,99000.0,0.0
13,Centro-oeste Material Particulado (MP),6446.588613919029,233.0,95107.0,0.0
14,Centro-oeste Monóxido de carbono (CO),7923.5163133028445,197.5,99999.0,0.0
15,Centro-oeste Óxidos de nitrogênio (NOx),8640.820619632696,663.0,98419.0,0.0
16,Centro-oeste Óxidos de enxofre (SOx),2515.438971101928,13.0,97720.0,0.0
17,Nordeste Material Particulado (MP),4781.803249701591,66.5,98500.0,0.0
18,Nordeste Monóxido de carbono (CO),4714.667819985253,50.0,99395.0,0.0
19,Nordeste Óxidos de nitrogênio (NOx),6918.412536368745,136.0,98848.0,0.0
20,Nordeste Óxidos de enxofre (SOx),4738.18757325367,10.0,99854.0,0.0
21,Sudeste  quant_poluentes_emitidos,4801.788355507572,100.0,99963.0,1.0
22,Norte  quant_poluentes_emitidos,4648.356205063645,103.5,99800.0,1.0
23,Sul  quant_poluentes_emitidos,3892.556683590816,134.0,99830.0,1.0
24,Centro-oeste  quant_poluentes_emitidos,7292.356988693412,300.0,99999.0,1.0
25,Nordeste  quant_poluentes_emitidos,5714.756302370924,90.0,99854.0,1.0
26,Sudeste  co2_emissions,105977.67123491924,10996.0,999783.0,1.0
27,Norte  co2_emissions,87990.48174678329,2677.0,997822.0,1.003717
28,Sul  co2_emissions,117919.17993525875,15766.5,999443.0,1.0
29,Centro-oeste  co2_emissions,128856.47865600041,18234.0,998082.0,1.007474
30,Nordeste  co2_emissions,99662.54019508924,4352.0,997864.0,1.0
31,Sudeste Material Particulado (MP) Manufacturing,3368.799640737057,67.0,99850.0,0.0
32,Sudeste Material Particulado (MP) Mining,2609.658887194818,20.0,98600.0,0.0
33,Sudeste Material Particulado (MP) Trade,1592.5458355899418,10.0,96960.0,0.0
34,Sudeste Material Particulado (MP) Transport,1230.524,11.0,55000.0,0.0
35,Sudeste Material Particulado (MP) Construction,920.9208075736738,14.0,81752.0,0.0
36,Sudeste Material Particulado (MP) Agriculture,4902.871451871345,109.0,90227.0,0.0
37,Sudeste Material Particulado (MP) Government,1449.0408163265306,2.0,8400.0,0.0
38,Sudeste Material Particulado (MP) Utilities,9221.425638127295,200.0,98962.0,0.0
39,Sudeste Material Particulado (MP) OtherServices,1166.836496062992,58.0,26538.0,0.0
40,Sudeste Material Particulado (MP) Business,2839.9865953055555,20.0,99580.0,0.0
41,Sudeste Material Particulado (MP) Financial,1025.4736842105262,9.0,19200.0,1.0
42,Sudeste Material Particulado (MP) RealEstate,,,,
43,Sudeste Monóxido de carbono (CO) Manufacturing,4576.166131875587,67.0,99000.0,0.0
44,Sudeste Monóxido de carbono (CO) Mining,6094.351630443351,95.0,92417.0,0.0
45,Sudeste Monóxido de carbono (CO) Trade,1321.7404246723047,30.0,97259.0,0.0
46,Sudeste Monóxido de carbono (CO) Transport,4570.55664117647,30.777,68100.0,0.0
47,Sudeste Monóxido de carbono (CO) Construction,6315.453818297873,115.0,93500.0,0.0
48,Sudeste Monóxido de carbono (CO) Agriculture,6634.195027977527,45.0,54627.0,0.0
49,Sudeste Monóxido de carbono (CO) Government,6760.823529411765,4.0,55772.0,1.0
50,Sudeste Monóxido de carbono (CO) Utilities,7614.390787274679,252.0,96600.0,0.0
51,Sudeste Monóxido de carbono (CO) OtherServices,8044.348588636363,100.0,85229.0,0.0
52,Sudeste Monóxido de carbono (CO) Business,4204.7027739000005,50.0,93983.0,0.0
53,Sudeste Monóxido de carbono (CO) Financial,14.697872307692307,5.0,40.0,0.0
54,Sudeste Monóxido de carbono (CO) RealEstate,140.0,140.0,140.0,140.0
55,Sudeste Óxidos de nitrogênio (NOx) Manufacturing,7590.205430162885,474.5,99343.0,0.0
56,Sudeste Óxidos de nitrogênio (NOx) Mining,12455.574817376,209.0,99394.0,0.0
57,Sudeste Óxidos de nitrogênio (NOx) Trade,1175.4754328358208,43.5,40463.0,0.0
58,Sudeste Óxidos de nitrogênio (NOx) Transport,633.375,47.0,13500.0,0.0
59,Sudeste Óxidos de nitrogênio (NOx) Construction,6891.4159340659335,24.0,81432.0,0.0
60,Sudeste Óxidos de nitrogênio (NOx) Agriculture,1120.5969387755101,177.0,33116.0,0.0
61,Sudeste Óxidos de nitrogênio (NOx) Government,418.5,418.5,836.0,1.0
62,Sudeste Óxidos de nitrogênio (NOx) Utilities,16226.911762460735,4651.0,97481.0,0.0
63,Sudeste Óxidos de nitrogênio (NOx) OtherServices,12592.112599210528,153.5,99232.0,0.0
64,Sudeste Óxidos de nitrogênio (NOx) Business,11027.131643793104,499.0,89193.0,0.0
65,Sudeste Óxidos de nitrogênio (NOx) Financial,3138.3333333333335,145.0,18100.0,130.0
66,Sudeste Óxidos de nitrogênio (NOx) RealEstate,,,,
67,Sudeste Óxidos de enxofre (SOx) Manufacturing,3359.255082154321,61.0,98460.0,0.0
68,Sudeste Óxidos de enxofre (SOx) Mining,5198.753293656958,176.5,99963.0,0.0
69,Sudeste Óxidos de enxofre (SOx) Trade,92.59433962264151,1.5,2608.0,0.0
70,Sudeste Óxidos de enxofre (SOx) Transport,106.16666666666667,8.0,1200.0,0.0
