,CNAE,PP/GU,N° de empresas
0,Extração de petróleo e gás natural,Alto,"0    1863
Name: N° de empresas, dtype: int64"
1,Extração e beneficiamento de xisto,Alto,"1    6
Name: N° de empresas, dtype: int64"
2,Extração e beneficiamento de areias betuminosas,Alto,"2    46
Name: N° de empresas, dtype: int64"
3,Atividades de apoio à extração de petróleo e gás natural,Alto,"3    1804
Name: N° de empresas, dtype: int64"
4,"Britamento de pedras, exceto associado à extração",Médio,"4    6463
Name: N° de empresas, dtype: int64"
5,"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras",Médio,"5    37475
Name: N° de empresas, dtype: int64"
6,Fabricação de vidro plano e de segurança,Médio,"6    1310
Name: N° de empresas, dtype: int64"
7,Fabricação de embalagens de vidro,Médio,"7    183
Name: N° de empresas, dtype: int64"
8,Fabricação de artigos de vidro,Médio,"8    6397
Name: N° de empresas, dtype: int64"
9,Fabricação de cimento,Médio,"9    1255
Name: N° de empresas, dtype: int64"
10,Fabricação de artefatos de cimento para uso na construção,Médio,"10    17663
Name: N° de empresas, dtype: int64"
11,Fabricação de artefatos de fibrocimento para uso na construção,Médio,"11    556
Name: N° de empresas, dtype: int64"
12,Preparação de massa de concreto e argamassa para construção,Médio,"12    4855
Name: N° de empresas, dtype: int64"
13,"Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",Médio,"13    31793
Name: N° de empresas, dtype: int64"
14,Fabricação de produtos cerâmicos refratários,Médio,"14    1620
Name: N° de empresas, dtype: int64"
15,Fabricação de azulejos e pisos,Médio,"15    542
Name: N° de empresas, dtype: int64"
16,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",Médio,"16    32114
Name: N° de empresas, dtype: int64"
17,Fabricação de material sanitário de cerâmica,Médio,"17    81
Name: N° de empresas, dtype: int64"
18,Fabricação de cal e gesso,Médio,"18    2608
Name: N° de empresas, dtype: int64"
19,Fabricação de abrasivos,Médio,"19    131
Name: N° de empresas, dtype: int64"
20,Produção de ferroligas,Alto,"20    822
Name: N° de empresas, dtype: int64"
21,Produção de semi-acabados de aço,Alto,"21    129
Name: N° de empresas, dtype: int64"
22,"Produção de laminados planos de aço ao carbono, revestidos ou não",Alto,"22    601
Name: N° de empresas, dtype: int64"
23,Produção de laminados planos de aços especiais,Alto,"23    71
Name: N° de empresas, dtype: int64"
24,Produção de tubos de aço sem costura,Alto,"24    121
Name: N° de empresas, dtype: int64"
25,Fundição de ferro e aço,Alto,"25    4690
Name: N° de empresas, dtype: int64"
26,Produção de arames de aço,Alto,"26    488
Name: N° de empresas, dtype: int64"
27,"Produção de relaminados, trefilados e perfilados de aço, exceto arames",Alto,"27    875
Name: N° de empresas, dtype: int64"
28,Produção de tubos de aço com costura,Alto,"28    592
Name: N° de empresas, dtype: int64"
29,Produção de outros tubos de ferro e aço,Alto,"29    452
Name: N° de empresas, dtype: int64"
30,Produção de forjados de aço,Alto,"30    723
Name: N° de empresas, dtype: int64"
31,Produção de alumínio e suas ligas em formas primárias,Alto,"31    1424
Name: N° de empresas, dtype: int64"
32,Metalurgia do cobre,Alto,"32    145
Name: N° de empresas, dtype: int64"
33,Produção de zinco em formas primárias,Alto,"33    404
Name: N° de empresas, dtype: int64"
34,Metalurgia dos metais preciosos,Alto,"34    527
Name: N° de empresas, dtype: int64"
35,Produção de laminados de alumínio,Alto,"35    641
Name: N° de empresas, dtype: int64"
36,Metalurgia do cobre,Alto,"32    145
Name: N° de empresas, dtype: int64"
37,Produção de laminados de zinco,Alto,"36    30
Name: N° de empresas, dtype: int64"
38,Produção de laminados de alumínio,Alto,"35    641
Name: N° de empresas, dtype: int64"
39,Metalurgia do cobre,Alto,"32    145
Name: N° de empresas, dtype: int64"
40,Produção de laminados de zinco,Alto,"36    30
Name: N° de empresas, dtype: int64"
41,Metalurgia dos metais preciosos,Alto,"34    527
Name: N° de empresas, dtype: int64"
42,Metalurgia do pó,Alto,"37    180
Name: N° de empresas, dtype: int64"
43,Fabricação de estruturas metálicas,Alto,"38    20669
Name: N° de empresas, dtype: int64"
44,Fabricação de obras de caldeiraria pesada,Alto,"39    2322
Name: N° de empresas, dtype: int64"
45,"Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central",Alto,"40    2277
Name: N° de empresas, dtype: int64"
46,"Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos",Alto,"41    360
Name: N° de empresas, dtype: int64"
47,Fabricação de esquadrias de metal,Alto,"42    77891
Name: N° de empresas, dtype: int64"
48,Produção de artefatos estampados de metal,Alto,"43    16674
Name: N° de empresas, dtype: int64"
49,Fabricação de artigos de cutelaria,Alto,"44    2630
Name: N° de empresas, dtype: int64"
50,"Fabricação de artigos de serralheria, exceto esquadrias",Alto,"45    177905
Name: N° de empresas, dtype: int64"
51,Fabricação de ferramentas,Alto,"46    15902
Name: N° de empresas, dtype: int64"
52,"Fabricação de equipamento bélico pesado, exceto veículos militares de combate",Alto,"47    475
Name: N° de empresas, dtype: int64"
53,"Fabricação de armas de fogo, outras armas e munições",Alto,"48    104
Name: N° de empresas, dtype: int64"
54,Fabricação de embalagens metálicas,Alto,"49    1249
Name: N° de empresas, dtype: int64"
55,Fabricação de produtos de trefilados de metal padronizados,Alto,"50    5636
Name: N° de empresas, dtype: int64"
56,"Fabricação de produtos de trefilados de metal, exceto padronizados",Alto,"51    2930
Name: N° de empresas, dtype: int64"
57,Fabricação de artigos de metal para uso doméstico e pessoal,Alto,"52    7339
Name: N° de empresas, dtype: int64"
58,Serviço de corte e dobra de metais,Alto,"53    2265
Name: N° de empresas, dtype: int64"
59,Fabricação de outros produtos de metal não especificados anteriormente,Alto,"54    26327
Name: N° de empresas, dtype: int64"
60,Serviços de tratamento e revestimento em metais,Alto,"55    6214
Name: N° de empresas, dtype: int64"
61,"Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários",Médio,"56    632
Name: N° de empresas, dtype: int64"
62,"Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas",Médio,"57    1553
Name: N° de empresas, dtype: int64"
63,"Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios",Médio,"58    1297
Name: N° de empresas, dtype: int64"
64,"Fabricação de compressores para uso industrial, peças e acessórios",Médio,"59    193
Name: N° de empresas, dtype: int64"
