,CNAE,PP/GU,N° de empresas
0,Extração de petróleo e gás natural,Alto,1863
1,Extração e beneficiamento de xisto,Alto,6
2,Extração e beneficiamento de areias betuminosas,Alto,46
3,Atividades de apoio à extração de petróleo e gás natural,Alto,1804
4,"Britamento de pedras, exceto associado à extração",Médio,6463
5,"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras",Médio,37475
6,Fabricação de vidro plano e de segurança,Médio,1310
7,Fabricação de embalagens de vidro,Médio,183
8,Fabricação de artigos de vidro,Médio,6397
9,Fabricação de cimento,Médio,1255
10,Fabricação de artefatos de cimento para uso na construção,Médio,17663
11,Fabricação de artefatos de fibrocimento para uso na construção,Médio,556
12,Preparação de massa de concreto e argamassa para construção,Médio,4855
13,"Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",Médio,31793
14,Fabricação de produtos cerâmicos refratários,Médio,1620
15,Fabricação de azulejos e pisos,Médio,542
16,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",Médio,32114
17,Fabricação de material sanitário de cerâmica,Médio,81
18,Fabricação de cal e gesso,Médio,2608
19,Fabricação de abrasivos,Médio,131
20,Produção de ferroligas,Alto,822
21,Produção de semi-acabados de aço,Alto,129
22,"Produção de laminados planos de aço ao carbono, revestidos ou não",Alto,601
23,Produção de laminados planos de aços especiais,Alto,71
24,Produção de tubos de aço sem costura,Alto,121
25,Fundição de ferro e aço,Alto,4690
26,Produção de arames de aço,Alto,488
27,"Produção de relaminados, trefilados e perfilados de aço, exceto arames",Alto,875
28,Produção de tubos de aço com costura,Alto,592
29,Produção de outros tubos de ferro e aço,Alto,452
30,Produção de forjados de aço,Alto,723
31,Produção de alumínio e suas ligas em formas primárias,Alto,1424
32,Metalurgia do cobre,Alto,145
33,Produção de zinco em formas primárias,Alto,404
34,Metalurgia dos metais preciosos,Alto,527
35,Produção de laminados de alumínio,Alto,641
36,Produção de laminados de zinco,Alto,30
37,Metalurgia do pó,Alto,180
38,Fabricação de estruturas metálicas,Alto,20669
39,Fabricação de obras de caldeiraria pesada,Alto,2322
40,"Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central",Alto,2277
41,"Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos",Alto,360
42,Fabricação de esquadrias de metal,Alto,77891
43,Produção de artefatos estampados de metal,Alto,16674
44,Fabricação de artigos de cutelaria,Alto,2630
45,"Fabricação de artigos de serralheria, exceto esquadrias",Alto,177905
46,Fabricação de ferramentas,Alto,15902
47,"Fabricação de equipamento bélico pesado, exceto veículos militares de combate",Alto,475
48,"Fabricação de armas de fogo, outras armas e munições",Alto,104
49,Fabricação de embalagens metálicas,Alto,1249
50,Fabricação de produtos de trefilados de metal padronizados,Alto,5636
51,"Fabricação de produtos de trefilados de metal, exceto padronizados",Alto,2930
52,Fabricação de artigos de metal para uso doméstico e pessoal,Alto,7339
53,Serviço de corte e dobra de metais,Alto,2265
54,Fabricação de outros produtos de metal não especificados anteriormente,Alto,26327
55,Serviços de tratamento e revestimento em metais,Alto,6214
56,"Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários",Médio,632
57,"Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas",Médio,1553
58,"Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios",Médio,1297
59,"Fabricação de compressores para uso industrial, peças e acessórios",Médio,193
60,"Fabricação de compressores para uso não industrial, peças e acessórios",Médio,21
61,Fabricação de rolamentos para fins industriais,Médio,64
62,"Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos",Médio,854
63,"Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios",Médio,306
64,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios",Médio,445
65,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios",Médio,1761
66,"Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios",Médio,3913
67,Fabricação de aparelhos e equipamentos de ar condicionado para uso industrial,Médio,100
68,"Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios",Médio,11607
69,"Fabricação de tratores agrícolas, peças e acessórios",Médio,292
70,"Fabricação de equipamentos para irrigação agrícola, peças e acessórios",Médio,328
71,"Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação",Médio,6646
72,"Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios",Médio,235
73,"Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo",Médio,560
74,"Fabricação de tratores, peças e acessórios, exceto agrícolas",Médio,80
75,"Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, peças e acessórios, exceto tratores",Médio,467
76,"Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios",Médio,3140
77,"Fabricação de máquinas e equipamentos para a indústria têxtil, peças e acessórios",Médio,537
78,"Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados, peças e acessórios",Médio,934
79,"Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos, peças e acessórios",Médio,426
80,"Fabricação de máquinas e equipamentos para a indústria do plástico, peças e acessórios",Médio,504
81,"Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios",Médio,7961
82,"Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores",Médio,263
83,Fabricação de baterias e acumuladores para veículos automotores,Médio,568
84,Recondicionamento de baterias e acumuladores para veículos automotores,Médio,102
85,Fabricação de componentes eletrônicos,Médio,4709
86,Fabricação de equipamentos de informática,Médio,1999
87,Fabricação de periféricos para equipamentos de informática,Médio,1613
88,"Fabricação de equipamentos transmissores de comunicação, peças e acessórios",Médio,1066
89,"Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios",Médio,793
90,"Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores",Médio,162
91,"Fabricação de geradores de corrente contínua e alternada, peças e acessórios",Médio,1009
92,"Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios",Médio,1258
93,"Fabricação de motores elétricos, peças e acessórios",Médio,440
94,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,Médio,2826
95,Fabricação de material elétrico para instalações em circuito de consumo,Médio,1408
96,"Fabricação de fios, cabos e condutores elétricos isolados",Médio,2060
97,Fabricação de luminárias e outros equipamentos de iluminação,Médio,4116
98,Fabricação de equipamentos para sinalização e alarme,Médio,801
99,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,Médio,4190
100,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo",Médio,1741
101,"Fabricação de aparelhos e equipamentos de medida, teste e controle",Médio,3261
102,Fabricação de cronômetros e relógios,Médio,403
103,Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,Médio,885
104,"Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios",Médio,128
105,"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios",Médio,591
106,"Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios",Médio,100
