,Base,Setores,Estatística de teste,P-valor,Diferença significativa? (0.05)
0,efluentes,Manufacturing ~ Utilities,844404676.0,0.0,Sim
1,efluentes,Manufacturing ~ Mining,1524781943.0,1.2505547560057353e-86,Sim
2,efluentes,Manufacturing ~ Business,343342720.5,1.0315898651224358e-13,Sim
3,efluentes,Manufacturing ~ Transport,193783749.5,5.794393700109525e-13,Sim
4,efluentes,Manufacturing ~ Trade,1397097788.5,0.0,Sim
5,efluentes,Manufacturing ~ Agriculture,200185181.5,4.9788489784215046e-138,Sim
6,efluentes,Manufacturing ~ Government,86214297.0,2.669091643954567e-53,Sim
7,efluentes,Manufacturing ~ OtherServices,133723749.0,7.471248585319423e-36,Sim
8,efluentes,Manufacturing ~ Construction,569129561.0,4.446976158573678e-90,Sim
9,efluentes,Manufacturing ~ RealEstate,2627538.0,0.2516108751778483,Não
10,efluentes,Manufacturing ~ Financial,2736306815.5,0.0,Sim
11,efluentes,Utilities ~ Mining,126219466.0,0.0,Sim
12,efluentes,Utilities ~ Business,28614989.5,1.1967928701521485e-148,Sim
13,efluentes,Utilities ~ Transport,16352549.5,1.065030888279516e-120,Sim
14,efluentes,Utilities ~ Trade,113360588.5,0.0,Sim
15,efluentes,Utilities ~ Agriculture,18547969.0,0.0748529223944468,Não
16,efluentes,Utilities ~ Government,8135185.0,0.2850485625311987,Não
17,efluentes,Utilities ~ OtherServices,12730297.0,4.213480301537547e-20,Sim
18,efluentes,Utilities ~ Construction,47469337.0,0.0,Sim
19,efluentes,Utilities ~ RealEstate,255853.0,0.017933073177740837,Sim
20,efluentes,Utilities ~ Financial,251241397.0,4.941146506057806e-128,Sim
21,efluentes,Mining ~ Business,26971961.0,0.06733408732545867,Não
22,efluentes,Mining ~ Transport,15035249.0,0.3753269676796007,Não
23,efluentes,Mining ~ Trade,108911378.0,1.2896973362638803e-59,Sim
24,efluentes,Mining ~ Agriculture,15661831.0,9.252518861914558e-183,Sim
25,efluentes,Mining ~ Government,6874866.5,6.180344378072614e-73,Sim
26,efluentes,Mining ~ OtherServices,10484708.5,1.752564552114391e-64,Sim
27,efluentes,Mining ~ Construction,43935933.0,4.792740265751224e-06,Sim
28,efluentes,Mining ~ RealEstate,201643.0,0.03664588423394449,Sim
29,efluentes,Mining ~ Financial,212150307.5,0.0,Sim
30,efluentes,Business ~ Transport,3530880.5,0.5872177161126537,Não
31,efluentes,Business ~ Trade,25490087.0,1.0744596150482416e-33,Sim
32,efluentes,Business ~ Agriculture,3730744.0,2.607823956254471e-102,Sim
33,efluentes,Business ~ Government,1631961.0,2.3799227857142004e-50,Sim
34,efluentes,Business ~ OtherServices,2466964.5,8.351682833359757e-42,Sim
35,efluentes,Business ~ Construction,10339907.0,1.0925285142202973e-07,Sim
36,efluentes,Business ~ RealEstate,47705.5,0.06347509775478721,Não
37,efluentes,Business ~ Financial,50341684.0,3.4968048889963336e-80,Sim
38,efluentes,Transport ~ Trade,14158835.0,1.1814216170034805e-22,Sim
39,efluentes,Transport ~ Agriculture,1950838.5,2.0905823321133854e-94,Sim
40,efluentes,Transport ~ Government,839977.5,2.58638769304191e-57,Sim
41,efluentes,Transport ~ OtherServices,1285199.0,4.447381264646663e-47,Sim
42,efluentes,Transport ~ Construction,5710099.5,2.4280229870808624e-05,Sim
43,efluentes,Transport ~ RealEstate,24983.5,0.022820291120177045,Sim
44,efluentes,Transport ~ Financial,26660832.5,9.589542642039276e-65,Sim
45,efluentes,Trade ~ Agriculture,10400696.5,0.0,Sim
46,efluentes,Trade ~ Government,4530850.5,4.217318072528474e-148,Sim
47,efluentes,Trade ~ OtherServices,6837671.5,3.1493134320823004e-164,Sim
48,efluentes,Trade ~ Construction,31672395.0,1.1178515645380767e-18,Sim
49,efluentes,Trade ~ RealEstate,128827.5,0.00013735697960165068,Sim
50,efluentes,Trade ~ Financial,142370541.0,0.0,Sim
51,efluentes,Agriculture ~ Government,2011998.0,0.027390280711913118,Sim
52,efluentes,Agriculture ~ OtherServices,3076323.5,5.7529027517516455e-15,Sim
53,efluentes,Agriculture ~ Construction,11618371.0,3.291523523729894e-214,Sim
54,efluentes,Agriculture ~ RealEstate,61094.0,0.026641154956762746,Sim
55,efluentes,Agriculture ~ Financial,61080882.5,5.350823970410809e-44,Sim
56,efluentes,Government ~ OtherServices,1291357.5,1.095508809147173e-09,Sim
57,efluentes,Government ~ Construction,4876003.5,5.223451284652103e-111,Sim
58,efluentes,Government ~ RealEstate,26241.5,0.015514500604881703,Sim
59,efluentes,Government ~ Financial,25459857.0,3.7330830909968143e-17,Sim
60,efluentes,OtherServices ~ Construction,6567173.5,5.974351222759768e-106,Sim
61,efluentes,OtherServices ~ RealEstate,32613.0,0.3129189919507209,Não
62,efluentes,OtherServices ~ Financial,32604075.0,0.007224638331076359,Sim
63,efluentes,Construction ~ RealEstate,61464.5,0.0016199499933709377,Sim
64,efluentes,Construction ~ Financial,66788652.5,4.269847056479389e-282,Sim
65,efluentes,RealEstate ~ Financial,551687.0,0.6460055884483393,Não
66,poluentes_atm,Manufacturing ~ Mining,340702622.5,3.391965889274998e-12,Sim
67,poluentes_atm,Manufacturing ~ Trade,250175043.0,3.995917921673453e-193,Sim
68,poluentes_atm,Manufacturing ~ Transport,42709749.5,5.055233195660324e-17,Sim
69,poluentes_atm,Manufacturing ~ Construction,165564091.0,8.978970093941938e-150,Sim
70,poluentes_atm,Manufacturing ~ Agriculture,47353957.0,6.360212335612813e-16,Sim
71,poluentes_atm,Manufacturing ~ Government,8341124.0,6.594033852645975e-09,Sim
72,poluentes_atm,Manufacturing ~ Utilities,203319255.0,4.095825212319791e-19,Sim
73,poluentes_atm,Manufacturing ~ OtherServices,42110893.5,6.288723098562314e-07,Sim
74,poluentes_atm,Manufacturing ~ Business,69276956.0,4.221137520180092e-15,Sim
75,poluentes_atm,Manufacturing ~ Financial,4222313.5,0.00011335439067424069,Sim
76,poluentes_atm,Manufacturing ~ RealEstate,329171.0,0.5392264374547022,Não
77,poluentes_atm,Mining ~ Trade,17457714.5,2.5203729587889997e-76,Sim
78,poluentes_atm,Mining ~ Transport,2985092.5,4.442329680198123e-08,Sim
79,poluentes_atm,Mining ~ Construction,11562018.0,5.886594160926743e-70,Sim
80,poluentes_atm,Mining ~ Agriculture,3306679.5,1.430768196327693e-22,Sim
81,poluentes_atm,Mining ~ Government,582838.0,5.903677158079497e-06,Sim
