CDIGO DO MUNICPIO - TOM;CDIGO DO MUNICPIO - IBGE;MUNICPIO - TOM;MUNICPIO - IBGE;UF
1;1100106;GUAJAR-MIRIM;Guajar-Mirim;RO
2;1100379;ALTO ALEGRE DOS PARECIS;Alto Alegre dos Parecis;RO
3;1100205;PORTO VELHO;Porto Velho;RO
4;1100452;BURITIS;Buritis;RO
5;1100122;JI-PARAN;Ji-Paran;RO
6;1100924;CHUPINGUAIA;Chupinguaia;RO
7;1100023;ARIQUEMES;Ariquemes;RO
8;1100940;CUJUBIM;Cujubim;RO
9;1100049;CACOAL;Cacoal;RO
10;1101435;NOVA UNIO;Nova Unio;RO
11;1100189;PIMENTA BUENO;Pimenta Bueno;RO
12;1101450;PARECIS;Parecis;RO
13;1100304;VILHENA;Vilhena;RO
14;1101468;PIMENTEIRAS DO OESTE;Pimenteiras do Oeste;RO
15;1100114;JARU;Jaru;RO
16;1101476;PRIMAVERA DE RONDNIA;Primavera de Rondnia;RO
17;1100155;OURO PRETO DO OESTE;Ouro Preto do Oeste;RO
18;1101484;SO FELIPE D'OESTE;So Felipe D'Oeste;RO
19;1100254;PRESIDENTE MDICI;Presidente Mdici;RO
20;1101492;SO FRANCISCO DO GUAPOR;So Francisco do Guapor;RO
21;1100080;COSTA MARQUES;Costa Marques;RO
22;1101559;TEIXEIRPOLIS;Teixeirpolis;RO
23;1100064;COLORADO DO OESTE;Colorado do Oeste;RO
24;1101757;VALE DO ANARI;Vale do Anari;RO
25;1100098;ESPIGO D'OESTE;Espigo D'Oeste;RO
26;1400027;AMAJARI;Amajari;RR
27;1100056;CEREJEIRAS;Cerejeiras;RO
28;1400175;CANT;Cant;RR
29;1100288;ROLIM DE MOURA;Rolim de Moura;RO
30;1400233;CAROEBE;Caroebe;RR
31;5204557;CALDAZINHA;Caldazinha;GO
32;1400282;IRACEMA;Iracema;RR
33;1100015;ALTA FLORESTA D'OESTE;Alta Floresta D'Oeste;RO
34;1400456;PACARAIMA;Pacaraima;RR
35;1100346;ALVORADA D'OESTE;Alvorada D'Oeste;RO
36;1400472;RORAINPOLIS;Rorainpolis;RR
37;1100031;CABIXI;Cabixi;RO
38;1400704;UIRAMUT;Uiramut;RR
39;1100130;MACHADINHO D'OESTE;Machadinho D'Oeste;RO
40;1500859;ANAPU;Anapu;PA
41;1100148;NOVA BRASILNDIA D'OESTE;Nova Brasilndia D'Oeste;RO
42;1501253;BANNACH;Bannach;PA
43;1100296;SANTA LUZIA D'OESTE;Santa Luzia D'Oeste;RO
44;1501451;BELTERRA;Belterra;PA
45;1100320;SO MIGUEL DO GUAPOR;So Miguel do Guapor;RO
46;1501956;CACHOEIRA DO PIRI;Cachoeira do Piri;PA
47;1100338;Nova Mamor;Nova Mamor;RO
48;1502152;CANA DOS CARAJS;Cana dos Carajs;PA
49;5212055;JESPOLIS;Jespolis;GO
50;1502855;CURU;Curu;PA
51;5218391;PROFESSOR JAMIL;Professor Jamil;GO
52;1503044;FLORESTA DO ARAGUAIA;Floresta do Araguaia;PA
53;5219738;SANTO ANTNIO DE GOIS;Santo Antnio de Gois;GO
54;1504422;MARITUBA;Marituba;PA
55;5205513;COCALZINHO DE GOIS;Cocalzinho de Gois;GO
56;1504976;NOVA IPIXUNA;Nova Ipixuna;PA
57;5221197;TEREZPOLIS DE GOIS;Terezpolis de Gois;GO
58;1505635;PIARRA;Piarra;PA
59;5221577;UIRAPURU;Uirapuru;GO
60;1505650;PLACAS;Placas;PA
61;5203962;BURITINPOLIS;Buritinpolis;GO
62;1506112;QUATIPURU;Quatipuru;PA
63;5203939;BURITI DE GOIS;Buriti de Gois;GO
64;1507466;SO JOO DA PONTA;So Joo da Ponta;PA
