,Descrição,N° de empresas
0,Extração de petróleo e gás natural,1863
1,Extração e beneficiamento de xisto,6
2,Extração e beneficiamento de areias betuminosas,46
3,Atividades de apoio à extração de petróleo e gás natural,1804
4,"Britamento de pedras, exceto associado à extração",6463
5,"Aparelhamento de pedras para a construção, exceto associado à extração",0
6,"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras",37475
7,Fabricação de vidro plano e de segurança,1310
8,Fabricação de embalagens de vidro,183
9,Fabricação de artigos de vidro,6397
10,Fabricação de cimento,1255
11,"Fabricação de estruturas pré moldadas de concreto armado, em série e sob encomenda",0
12,Fabricação de artefatos de cimento para uso na construção,17663
13,Fabricação de artefatos de fibrocimento para uso na construção,556
14,Fabricação de casas pré moldadas de concreto,0
15,Preparação de massa de concreto e argamassa para construção,4855
16,"Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",31793
17,Fabricação de produtos cerâmicos refratários,1620
18,Fabricação de azulejos e pisos,542
19,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",32114
20,Fabricação de material sanitário de cerâmica,81
21,Fabricação de produtos cerâmicos não refratários não especificados anteriormente,0
22,Fabricação de cal e gesso,2608
23,Fabricação de abrasivos,131
24,Fabricação de outros produtos de minerais não metálicos não especificados anteriormente,0
25,Produção de ferro gusa,0
26,Produção de ferroligas,822
27,Produção de semi-acabados de aço,129
28,"Produção de laminados planos de aço ao carbono, revestidos ou não",601
29,Produção de laminados planos de aços especiais,71
30,Produção de tubos de aço sem costura,121
31,"Produção de laminados de aço, exceto tubos",0
32,Fundição de ferro e aço,4690
33,Produção de arames de aço,488
34,"Produção de relaminados, trefilados e perfilados de aço, exceto arames",875
35,Produção de tubos de aço com costura,592
36,Produção de outros tubos de ferro e aço,452
37,Produção de forjados de aço,723
38,Produção de alumínio e suas ligas em formas primárias,1424
39,Metalurgia do cobre,145
40,Produção de zinco em formas primárias,404
41,Metalurgia de outros metais não ferrosos e suas ligas não especificados anteriormente,0
42,Metalurgia dos metais preciosos,527
43,Fundição de metais não ferrosos e suas ligas,0
44,Produção de laminados de alumínio,641
45,Metalurgia do cobre,145
46,Produção de laminados de zinco,30
47,Metalurgia de outros metais não ferrosos e suas ligas não especificados anteriormente,0
48,Produção de forjados de metais não ferrosos e suas ligas,0
49,Produção de laminados de alumínio,641
50,Metalurgia do cobre,145
51,Produção de laminados de zinco,30
52,Metalurgia de outros metais não ferrosos e suas ligas não especificados anteriormente,0
53,Produção de ânodos e cátodos,0
54,"Produção de solda em barras, fios, tubos e varetas",0
55,"Produção de eletrodos para solda elétrica, exceto de grafita",0
56,"Fabricação de fios, varetas, tubos, eletrodos e artefatos semelhantes para soldagem",0
57,Metalurgia dos metais preciosos,527
58,Metalurgia do pó,180
59,Fabricação de estruturas metálicas,20669
60,Serviço de confecção de armações metálicas para a construção,0
61,Fabricação de obras de caldeiraria pesada,2322
62,"Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central",2277
63,"Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos",360
64,Fabricação de esquadrias de metal,77891
65,Produção de artefatos estampados de metal,16674
66,Fabricação de artigos de cutelaria,2630
67,"Fabricação de artigos de serralheria, exceto esquadrias",177905
68,Fabricação de ferramentas,15902
69,"Fabricação de equipamento bélico pesado, exceto veículos militares de combate",475
70,"Fabricação de armas de fogo, outras armas e munições",104
71,Fabricação de embalagens metálicas,1249
72,Fabricação de produtos de trefilados de metal padronizados,5636
73,"Fabricação de produtos de trefilados de metal, exceto padronizados",2930
74,Fabricação de artigos de metal para uso doméstico e pessoal,7339
75,Serviço de corte e dobra de metais,2265
76,Fabricação de outros produtos de metal não especificados anteriormente,26327
77,Serviços de tratamento e revestimento em metais,6214
78,"Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários",632
79,"Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas",1553
80,"Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios",1297
81,"Fabricação de compressores para uso industrial, peças e acessórios",193
82,"Fabricação de compressores para uso não industrial, peças e acessórios",21
83,Fabricação de rolamentos para fins industriais,64
84,"Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos",854
85,"Fabricação de fornos industriais, aparelhos e equipamentos não elétricos para instalações térmicas, peças e acessórios",0
86,"Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios",306
87,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios",445
88,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios",1761
89,"Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios",3913
90,Fabricação de aparelhos e equipamentos de ar condicionado para uso industrial,100
91,Fabricação de aparelhos e equipamentos de ar condicionado para uso não industrial,0
92,"Fabricação de máquinas de escrever, calcular e outros equipamentos não eletrônicos para escritório, peças e acessórios",0
93,"Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios",11607
94,"Fabricação de tratores agrícolas, peças e acessórios",292
95,"Fabricação de equipamentos para irrigação agrícola, peças e acessórios",328
96,"Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação",6646
97,"Fabricação de máquinas ferramenta, peças e acessórios",0
98,"Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios",235
99,"Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo",560
100,"Fabricação de tratores, peças e acessórios, exceto agrícolas",80
101,"Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, peças e acessórios, exceto tratores",467
102,"Fabricação de máquinas para a indústria metalúrgica, peças e acessórios, exceto máquinas ferramenta",0
103,"Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios",3140
104,"Fabricação de máquinas e equipamentos para a indústria têxtil, peças e acessórios",537
105,"Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados, peças e acessórios",934
106,"Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos, peças e acessórios",426
107,"Fabricação de máquinas e equipamentos para a indústria do plástico, peças e acessórios",504
108,"Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios",7961
109,Fabricação de motosserras,0
110,"Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores",263
111,Fabricação de baterias e acumuladores para veículos automotores,568
112,Recondicionamento de baterias e acumuladores para veículos automotores,102
113,Fabricação de componentes eletrônicos,4709
114,Fabricação de equipamentos de informática,1999
115,Fabricação de periféricos para equipamentos de informática,1613
116,"Fabricação de equipamentos transmissores de comunicação, peças e acessórios",1066
117,"Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios",793
118,"Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores",162
119,"Fabricação de geradores de corrente contínua e alternada, peças e acessórios",1009
120,"Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios",1258
121,"Fabricação de motores elétricos, peças e acessórios",440
122,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,2826
123,Fabricação de material elétrico para instalações em circuito de consumo,1408
124,"Fabricação de fios, cabos e condutores elétricos isolados",2060
125,Fabricação de luminárias e outros equipamentos de iluminação,4116
126,Fabricação de equipamentos para sinalização e alarme,801
127,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,4190
128,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo",1741
129,"Fabricação de aparelhos e equipamentos de medida, teste e controle",3261
130,Fabricação de cronômetros e relógios,403
131,Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,885
132,"Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios",128
133,"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios",591
134,"Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios",100
135,"Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios",1452
136,Fabricação de lâmpadas,293
137,"Fabricação de automóveis, camionetas e utilitários",519
138,"Fabricação de chassis com motor para automóveis, camionetas e utilitários",33
139,"Fabricação de motores para automóveis, camionetas e utilitários",36
140,Fabricação de caminhões e ônibus,140
141,Fabricação de motores para caminhões e ônibus,11
142,"Fabricação de cabines, carrocerias e reboques para caminhões",4067
143,Fabricação de carrocerias para ônibus,116
144,"Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus",2331
145,Fabricação de peças e acessórios para o sistema motor de veículos automotores,1183
146,Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores,349
147,Fabricação de peças e acessórios para o sistema de freios de veículos automotores,402
148,Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores,705
149,"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias",1366
150,Fabricação de bancos e estofados para veículos automotores,3831
151,Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente,6779
152,Recondicionamento e recuperação de motores para veículos automotores,10888
153,"Fabricação de locomotivas, vagões e outros materiais rodantes",141
154,Fabricação de peças e acessórios para veículos ferroviários,149
155,Fabricação de motocicletas,400
156,Fabricação de peças e acessórios para motocicletas,316
157,"Serviço de motores de veículos rodoviários (reconstrução, recuperação)",0
158,"Motores de veículos rodoviários, recuperados, remanufaturados, recondicionados ou reconstruídos",0
159,"Serviço de reconstrução, remanufaturamento e serviços semelhantes em motores de veículos rodoviários;",0
160,Serviço de recuperação de motores de veículos rodoviários,0
161,Fabricação de aeronaves,428
162,"Fabricação de turbinas, motores e outros componentes e peças para aeronaves",67
163,Construção de embarcações de grande porte,854
164,"Construção de embarcações para uso comercial e para usos especiais, exceto grande porte",0
