,Descrição,N° de empresas
0,Extração de petróleo e gás natural,1863
1,Extração e beneficiamento de xisto,6
2,Extração e beneficiamento de areias betuminosas,46
3,Atividades de apoio à extração de petróleo e gás natural,1804
4,"Britamento de pedras, exceto associado à extração",6463
5,"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras",37475
6,Fabricação de vidro plano e de segurança,1310
7,Fabricação de embalagens de vidro,183
8,Fabricação de artigos de vidro,6397
9,Fabricação de cimento,1255
10,Fabricação de artefatos de cimento para uso na construção,17663
11,Fabricação de artefatos de fibrocimento para uso na construção,556
12,Preparação de massa de concreto e argamassa para construção,4855
13,"Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",31793
14,Fabricação de produtos cerâmicos refratários,1620
15,Fabricação de azulejos e pisos,542
16,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",32114
17,Fabricação de material sanitário de cerâmica,81
18,Fabricação de cal e gesso,2608
19,Fabricação de abrasivos,131
20,Produção de ferroligas,822
21,Produção de semi-acabados de aço,129
22,"Produção de laminados planos de aço ao carbono, revestidos ou não",601
23,Produção de laminados planos de aços especiais,71
24,Produção de tubos de aço sem costura,121
25,Fundição de ferro e aço,4690
26,Produção de arames de aço,488
27,"Produção de relaminados, trefilados e perfilados de aço, exceto arames",875
28,Produção de tubos de aço com costura,592
29,Produção de outros tubos de ferro e aço,452
30,Produção de forjados de aço,723
31,Produção de alumínio e suas ligas em formas primárias,1424
32,Metalurgia do cobre,145
33,Produção de zinco em formas primárias,404
34,Metalurgia dos metais preciosos,527
35,Produção de laminados de alumínio,641
36,Produção de laminados de zinco,30
37,Metalurgia do pó,180
38,Fabricação de estruturas metálicas,20669
39,Fabricação de obras de caldeiraria pesada,2322
40,"Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central",2277
41,"Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos",360
42,Fabricação de esquadrias de metal,77891
43,Produção de artefatos estampados de metal,16674
44,Fabricação de artigos de cutelaria,2630
45,"Fabricação de artigos de serralheria, exceto esquadrias",177905
46,Fabricação de ferramentas,15902
47,"Fabricação de equipamento bélico pesado, exceto veículos militares de combate",475
48,"Fabricação de armas de fogo, outras armas e munições",104
49,Fabricação de embalagens metálicas,1249
50,Fabricação de produtos de trefilados de metal padronizados,5636
51,"Fabricação de produtos de trefilados de metal, exceto padronizados",2930
52,Fabricação de artigos de metal para uso doméstico e pessoal,7339
53,Serviço de corte e dobra de metais,2265
54,Fabricação de outros produtos de metal não especificados anteriormente,26327
55,Serviços de tratamento e revestimento em metais,6214
56,"Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários",632
57,"Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas",1553
58,"Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios",1297
59,"Fabricação de compressores para uso industrial, peças e acessórios",193
60,"Fabricação de compressores para uso não industrial, peças e acessórios",21
61,Fabricação de rolamentos para fins industriais,64
62,"Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos",854
63,"Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios",306
64,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios",445
65,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios",1761
66,"Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios",3913
67,Fabricação de aparelhos e equipamentos de ar condicionado para uso industrial,100
68,"Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios",11607
69,"Fabricação de tratores agrícolas, peças e acessórios",292
70,"Fabricação de equipamentos para irrigação agrícola, peças e acessórios",328
71,"Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação",6646
72,"Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios",235
73,"Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo",560
74,"Fabricação de tratores, peças e acessórios, exceto agrícolas",80
75,"Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, peças e acessórios, exceto tratores",467
76,"Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios",3140
77,"Fabricação de máquinas e equipamentos para a indústria têxtil, peças e acessórios",537
78,"Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados, peças e acessórios",934
79,"Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos, peças e acessórios",426
80,"Fabricação de máquinas e equipamentos para a indústria do plástico, peças e acessórios",504
81,"Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios",7961
82,"Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores",263
83,Fabricação de baterias e acumuladores para veículos automotores,568
84,Recondicionamento de baterias e acumuladores para veículos automotores,102
85,Fabricação de componentes eletrônicos,4709
86,Fabricação de equipamentos de informática,1999
87,Fabricação de periféricos para equipamentos de informática,1613
88,"Fabricação de equipamentos transmissores de comunicação, peças e acessórios",1066
89,"Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios",793
90,"Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores",162
91,"Fabricação de geradores de corrente contínua e alternada, peças e acessórios",1009
92,"Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios",1258
93,"Fabricação de motores elétricos, peças e acessórios",440
94,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,2826
95,Fabricação de material elétrico para instalações em circuito de consumo,1408
96,"Fabricação de fios, cabos e condutores elétricos isolados",2060
97,Fabricação de luminárias e outros equipamentos de iluminação,4116
98,Fabricação de equipamentos para sinalização e alarme,801
99,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,4190
100,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo",1741
101,"Fabricação de aparelhos e equipamentos de medida, teste e controle",3261
102,Fabricação de cronômetros e relógios,403
103,Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,885
104,"Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios",128
105,"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios",591
106,"Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios",100
107,"Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios",1452
108,Fabricação de lâmpadas,293
109,"Fabricação de automóveis, camionetas e utilitários",519
110,"Fabricação de chassis com motor para automóveis, camionetas e utilitários",33
111,"Fabricação de motores para automóveis, camionetas e utilitários",36
112,Fabricação de caminhões e ônibus,140
113,Fabricação de motores para caminhões e ônibus,11
114,"Fabricação de cabines, carrocerias e reboques para caminhões",4067
115,Fabricação de carrocerias para ônibus,116
116,"Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus",2331
117,Fabricação de peças e acessórios para o sistema motor de veículos automotores,1183
118,Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores,349
119,Fabricação de peças e acessórios para o sistema de freios de veículos automotores,402
120,Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores,705
121,"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias",1366
122,Fabricação de bancos e estofados para veículos automotores,3831
123,Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente,6779
124,Recondicionamento e recuperação de motores para veículos automotores,10888
125,"Fabricação de locomotivas, vagões e outros materiais rodantes",141
126,Fabricação de peças e acessórios para veículos ferroviários,149
127,Fabricação de motocicletas,400
128,Fabricação de peças e acessórios para motocicletas,316
129,Fabricação de aeronaves,428
130,"Fabricação de turbinas, motores e outros componentes e peças para aeronaves",67
131,Construção de embarcações de grande porte,854
132,Construção de embarcações para esporte e lazer,1542
133,Manutenção e reparação de embarcações e estruturas flutuantes,2164
134,Manutenção e reparação de embarcações para esporte e lazer,5786
135,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",4851
136,Fabricação de outros artigos de carpintaria para construção,38459
137,Fabricação de móveis com predominância de madeira,262601
138,Fabricação de celulose e outras pastas para a fabricação de papel,453
139,Fabricação de papel,2177
140,Fabricação de embalagens de papel,8107
141,Fabricação de fraldas descartáveis,3770
142,Fabricação de absorventes higiênicos,535
143,Reforma de pneumáticos usados,5719
144,Curtimento e outras preparações de couro,4728
145,Fabricação de artefatos de couro não especificados anteriormente,21594
146,Fabricação de linhas para costurar e bordar,387
147,Fabricação de tecidos de malha,8054
148,"Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário",33530
149,"Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário",759
150,"Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário",39642
151,Fabricação de laminados planos e tubulares de material plástico,2025
152,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",20421
153,Fabricação de embalagens de material plástico,16743
154,Fabricação de tubos e acessórios de material plástico para uso na construção,793
155,Fabricação de artefatos de material plástico para usos industriais,5483
156,"Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios",2865
157,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,24260
158,"Fabricação de móveis de outros materiais, exceto madeira e metal",11965
159,Processamento industrial do fumo,136
160,Fabricação de cigarros,1030
161,Fabricação de cigarrilhas e charutos,170
162,Fabricação de filtros para cigarros,33
163,"Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos",1417
164,Coquerias,90
165,"Fabricação de outros produtos derivados do petróleo, exceto produtos do refino",326
166,Fabricação de cloro e álcalis,114
167,Fabricação de intermediários para fertilizantes,195
168,Fabricação de gases industriais,736
169,Elaboração de combustíveis nucleares,6
