Municipio,Setor,Numero de empresas,Mediana_Ecoeficiencia
ACRELANDIA,Manufacturing,4,1069375.1509615385
BRASILEIA,Manufacturing,8,6135474.130385487
CAPIXABA,Manufacturing,6,15569452.94469919
CRUZEIRO DO SUL,Manufacturing,114,554668.5333333333
CRUZEIRO DO SUL,Utilities,15,2481945.863207547
CRUZEIRO DO SUL,Construction,13,3297015.997049526
FEIJO,Utilities,4,138932.93708333332
JORDAO,Utilities,3,22669356.499999996
PLACIDO DE CASTRO,Manufacturing,5,2528506.9999999995
PORTO ACRE,Manufacturing,14,181153.90051369864
RIO BRANCO,Manufacturing,56,2169244.6000851393
RIO BRANCO,Business,8,3174424.5
RIO BRANCO,Construction,8,4477454.145045045
SANTA ROSA DO PURUS,Utilities,3,10843.747857142856
SENADOR GUIOMARD,Manufacturing,12,1018538.3280416668
TARAUACA,Utilities,4,1304633.3657967988
ANADIA,Manufacturing,10,4528430.476862228
ARAPIRACA,Manufacturing,34,424339.24
ARAPIRACA,Business,4,370499.8341296296
ARAPIRACA,Construction,3,8956271.8
ARAPIRACA,Trade,3,202989.0588235294
ARAPIRACA,Agriculture,11,1642137.287186212
ATALAIA,Manufacturing,11,21173404.647564102
BARRA DE SANTO ANTONIO,Agriculture,4,204616.73221707315
BATALHA,Trade,8,53187.309583333335
BOCA DA MATA,Manufacturing,5,1305277.27
CAMPO ALEGRE,Manufacturing,17,754760.2569444445
CAMPO ALEGRE,Business,4,24007800.0
CAMPO ALEGRE,Trade,4,485763.0
CAMPO ALEGRE,Mining,33,2072892.0999999996
CAPELA,Manufacturing,4,1568063.7333333334
CORURIPE,Manufacturing,35,2636032.9455184536
CORURIPE,Agriculture,4,26128049.979310345
CRAIBAS,Mining,3,135.00132796881786
DELMIRO GOUVEIA,Manufacturing,15,1326593.7528089888
ESTRELA DE ALAGOAS,Manufacturing,6,1341984.08
IGACI,Trade,4,622967.7389162562
LAGOA DA CANOA,Manufacturing,4,16367134.55857143
MACEIO,Manufacturing,145,503441.49
MACEIO,Utilities,56,495136.082
MACEIO,Business,6,226570.4451901566
MACEIO,Construction,21,1415180.794
MACEIO,Trade,7,976117.7272727273
MACEIO,Mining,25,7446466.16
MAJOR ISIDORO,Manufacturing,11,1952720.0
MARECHAL DEODORO,Manufacturing,82,1086587.0141509434
MARECHAL DEODORO,Business,24,2703435.936363636
MATRIZ DE CAMARAGIBE,Manufacturing,9,16568800.0
OLHO D'AGUA DAS FLORES,Manufacturing,4,415919.9733108108
OLIVENCA,Manufacturing,4,5864238268.5
PALMEIRA DOS INDIOS,Manufacturing,15,151438.25
PENEDO,Manufacturing,15,2052967.8
PIACABUCU,Trade,3,63020043.50000001
PILAR,Manufacturing,3,6998.8725
PILAR,Mining,4,1874386.1417647058
PORTO CALVO,Manufacturing,7,2898459.024390244
QUEBRANGULO,Government,4,163511.31411764707
RIO LARGO,Manufacturing,53,1225804.7164285714
RIO LARGO,Utilities,3,10834468.88976378
RIO LARGO,Mining,4,12463306.976766204
SANTA LUZIA DO NORTE,Manufacturing,9,5199188973.214286
SANTANA DO IPANEMA,Construction,4,2427342.653846154
SAO JOSE DA LAJE,Manufacturing,15,7254380.147058823
SAO JOSE DA TAPERA,Construction,9,1412254.857142857
SAO LUIS DO QUITUNDE,Manufacturing,9,33168903.999999996
SAO MIGUEL DOS CAMPOS,Manufacturing,20,367051.8805769231
SAO MIGUEL DOS CAMPOS,Construction,3,416818.99391304346
SAO MIGUEL DOS CAMPOS,Mining,7,4572895.466666667
SAO SEBASTIAO,Manufacturing,3,388994.12
SAO SEBASTIAO,Utilities,22,3942107.735
SAO SEBASTIAO,Construction,9,89496.59839262188
SAO SEBASTIAO,Trade,3,22920.0
SAO SEBASTIAO,Mining,3,51163.092
SATUBA,Manufacturing,4,9959822.7
TEOTONIO VILELA,Manufacturing,24,353547.4808823529
TEOTONIO VILELA,Utilities,6,10710160.275641026
UNIAO DOS PALMARES,Business,3,57318700.0
CALCOENE,Manufacturing,5,20089017.931034483
CALCOENE,Mining,16,68040.63
FERREIRA GOMES,Mining,4,149556.159375
MACAPA,Utilities,12,2136180.5119444444
MACAPA,Trade,32,8238355.138888889
MACAPA,Mining,5,1943586.6363636362
OIAPOQUE,Manufacturing,5,5337853.05
OIAPOQUE,Trade,16,209295.84621664142
PEDRA BRANCA DO AMAPARI,Mining,22,580717.5264492754
SANTANA,Manufacturing,35,684094.2222222222
SANTANA,Utilities,12,2251849.5999999996
SANTANA,Mining,3,682444.195
SERRA DO NAVIO,Utilities,7,6819982.987341771
VITORIA DO JARI,Mining,7,9346074.975362318
ALVARAES,Utilities,13,482909.3243243243
AMATURA,Utilities,10,3204212.083333333
ANAMA,Utilities,3,18653427.51764706
ANORI,Utilities,4,14621661.61
APUI,Utilities,10,964722.4428571429
ATALAIA DO NORTE,Utilities,18,208876.549
AUTAZES,Utilities,13,766662.4116666666
BARCELOS,Utilities,11,3636248.998734177
BARREIRINHA,Utilities,21,2807818.190416666
BENJAMIN CONSTANT,Utilities,9,1119812.794117647
BERURI,Utilities,10,375602.7903030303
BOA VISTA DO RAMOS,Utilities,9,77567.60563380281
BORBA,Utilities,10,17261335.75
CAAPIRANGA,Utilities,4,2636567.9278846155
CANUTAMA,Utilities,10,1431808.5333333332
CARAUARI,Utilities,10,642718.8860954569
CAREIRO,Utilities,9,138988.0264
CAREIRO DA VARZEA,Utilities,9,181227.47058823527
COARI,Utilities,12,1112248.7541239318
COARI,Trade,3,42392.71724564477
COARI,Mining,14,75381.1198901099
COARI,Transport,17,4489230.0
CODAJAS,Utilities,14,3311650.7888888884
EIRUNEPE,Utilities,10,257345.77333333335
ENVIRA,Utilities,9,266038.4615384615
FONTE BOA,Utilities,10,20706.20803393665
HUMAITA,Utilities,11,442856.885
