,Municipio,Setor,Numero de empresas,Mediana_Ecoeficiencia,Cod Municipio
0,ACRELANDIA,Manufacturing,4,1069375.1509615383,1200013
1,BRASILEIA,Manufacturing,8,6135474.130385487,1200104
2,CAPIXABA,Manufacturing,6,15569452.94469919,1200179
3,CRUZEIRO DO SUL,Manufacturing,114,554668.5333333333,1200203
4,CRUZEIRO DO SUL,Utilities,15,2481945.863207547,1200203
5,CRUZEIRO DO SUL,Construction,13,3297015.997049526,1200203
6,FEIJO,Utilities,4,138932.93708333332,1200302
7,JORDAO,Utilities,3,22669356.5,1200328
8,PLACIDO DE CASTRO,Manufacturing,5,2528506.9999999995,1200385
9,PORTO ACRE,Manufacturing,14,181153.90051369864,1200807
10,RIO BRANCO,Manufacturing,56,2169244.6000851397,1200401
11,RIO BRANCO,Business,8,3174424.5,1200401
12,RIO BRANCO,Construction,8,4477454.145045045,1200401
13,SANTA ROSA DO PURUS,Utilities,3,10843.747857142856,1200435
14,SENADOR GUIOMARD,Manufacturing,12,1018538.3280416668,1200450
15,TARAUACA,Utilities,4,1304633.3657967988,1200609
16,ANADIA,Manufacturing,10,4528430.476862228,2700201
17,ARAPIRACA,Manufacturing,34,424339.24,2700300
18,ARAPIRACA,Business,4,370499.8341296296,2700300
19,ARAPIRACA,Construction,3,8956271.8,2700300
20,ARAPIRACA,Trade,3,202989.0588235294,2700300
21,ARAPIRACA,Agriculture,11,1642137.287186212,2700300
22,ATALAIA,Manufacturing,11,21173404.647564106,2700409
23,BARRA DE SANTO ANTONIO,Agriculture,4,204616.73221707315,2700508
24,BATALHA,Trade,8,53187.309583333335,2201507
25,BOCA DA MATA,Manufacturing,5,1305277.27,2701001
26,CAMPO ALEGRE,Manufacturing,17,754760.2569444445,2701407
27,CAMPO ALEGRE,Business,4,24007800.0,2701407
28,CAMPO ALEGRE,Trade,4,485763.0,2701407
29,CAMPO ALEGRE,Mining,33,2072892.1,2701407
30,CAPELA,Manufacturing,4,1568063.7333333334,2701704
31,CORURIPE,Manufacturing,35,2636032.9455184536,2702306
32,CORURIPE,Agriculture,4,26128049.979310345,2702306
33,CRAIBAS,Mining,3,135.00132796881786,2702355
34,DELMIRO GOUVEIA,Manufacturing,15,1326593.7528089888,2702405
35,ESTRELA DE ALAGOAS,Manufacturing,6,1341984.08,2702553
36,IGACI,Trade,4,622967.7389162562,2703106
37,LAGOA DA CANOA,Manufacturing,4,16367134.55857143,2704104
38,MACEIO,Manufacturing,145,503441.49,2704302
39,MACEIO,Utilities,56,495136.082,2704302
40,MACEIO,Business,6,226570.4451901566,2704302
41,MACEIO,Construction,21,1415180.794,2704302
42,MACEIO,Trade,7,976117.7272727272,2704302
43,MACEIO,Mining,25,7446466.16,2704302
44,MAJOR ISIDORO,Manufacturing,11,1952720.0,2704401
45,MARECHAL DEODORO,Manufacturing,82,1086587.0141509434,2704708
46,MARECHAL DEODORO,Business,24,2703435.936363636,2704708
47,MATRIZ DE CAMARAGIBE,Manufacturing,9,16568800.0,2705101
48,OLHO D'AGUA DAS FLORES,Manufacturing,4,415919.9733108108,2705705
49,OLIVENCA,Manufacturing,4,5864238268.5,2706000
50,PALMEIRA DOS INDIOS,Manufacturing,15,151438.25,2706307
51,PENEDO,Manufacturing,15,2052967.8,2706703
52,PIACABUCU,Trade,3,63020043.50000001,2706802
53,PILAR,Manufacturing,3,6998.8725,2511509
54,PILAR,Mining,4,1874386.1417647055,2511509
55,PORTO CALVO,Manufacturing,7,2898459.024390244,2707305
56,QUEBRANGULO,Government,4,163511.31411764707,2707602
57,RIO LARGO,Manufacturing,53,1225804.7164285714,2707701
58,RIO LARGO,Utilities,3,10834468.88976378,2707701
59,RIO LARGO,Mining,4,12463306.976766204,2707701
60,SANTA LUZIA DO NORTE,Manufacturing,9,5199188973.214286,2707909
61,SANTANA DO IPANEMA,Construction,4,2427342.653846154,2708006
62,SAO JOSE DA LAJE,Manufacturing,15,7254380.147058823,2708303
63,SAO JOSE DA TAPERA,Construction,9,1412254.857142857,2708402
64,SAO LUIS DO QUITUNDE,Manufacturing,9,33168904.0,2708501
65,SAO MIGUEL DOS CAMPOS,Manufacturing,20,367051.8805769231,2708600
66,SAO MIGUEL DOS CAMPOS,Construction,3,416818.99391304346,2708600
67,SAO MIGUEL DOS CAMPOS,Mining,7,4572895.466666667,2708600
68,SAO SEBASTIAO,Manufacturing,3,388994.12,2708808
69,SAO SEBASTIAO,Utilities,22,3942107.735,2708808
70,SAO SEBASTIAO,Construction,9,89496.59839262188,2708808
71,SAO SEBASTIAO,Trade,3,22920.0,2708808
72,SAO SEBASTIAO,Mining,3,51163.092,2708808
73,SATUBA,Manufacturing,4,9959822.7,2708907
74,TEOTONIO VILELA,Manufacturing,24,353547.4808823529,2709152
75,TEOTONIO VILELA,Utilities,6,10710160.275641026,2709152
76,UNIAO DOS PALMARES,Business,3,57318700.0,2709301
77,CALCOENE,Manufacturing,5,20089017.931034483,1600204
78,CALCOENE,Mining,16,68040.63,1600204
79,FERREIRA GOMES,Mining,4,149556.159375,1600238
80,MACAPA,Utilities,12,2136180.5119444444,1600303
81,MACAPA,Trade,32,8238355.138888889,1600303
82,MACAPA,Mining,5,1943586.636363636,1600303
83,OIAPOQUE,Manufacturing,5,5337853.05,1600501
84,OIAPOQUE,Trade,16,209295.84621664145,1600501
85,PEDRA BRANCA DO AMAPARI,Mining,22,580717.5264492754,1600154
86,SANTANA,Manufacturing,35,684094.2222222222,1600600
87,SANTANA,Utilities,12,2251849.6,1600600
88,SANTANA,Mining,3,682444.195,1600600
89,SERRA DO NAVIO,Utilities,7,6819982.987341771,1600055
90,VITORIA DO JARI,Mining,7,9346074.975362318,1600808
91,ALVARAES,Utilities,13,482909.3243243243,1300029
92,AMATURA,Utilities,10,3204212.083333333,1300060
93,ANAMA,Utilities,3,18653427.51764706,1300086
94,ANORI,Utilities,4,14621661.61,1300102
95,APUI,Utilities,10,964722.4428571428,1300144
96,ATALAIA DO NORTE,Utilities,18,208876.549,1300201
97,AUTAZES,Utilities,13,766662.4116666666,1300300
