Municipio,Setor,Numero de empresas,Mediana_Ecoeficiencia
ACRELANDIA,Manufacturing,5,6.176878767123287
CAPIXABA,Manufacturing,4,1019.7147188533627
CRUZEIRO DO SUL,Manufacturing,4,372.9644162596767
CRUZEIRO DO SUL,Utilities,9,323.6852912
FEIJO,Utilities,4,560.5214919712181
JORDAO,Utilities,5,88.62681762843926
MARECHAL THAUMATURGO,Utilities,3,18.313697368421053
PLACIDO DE CASTRO,Manufacturing,5,370.64186159289983
PORTO WALTER,Utilities,3,42.000106881680104
RIO BRANCO,Manufacturing,53,237.6997204
RIO BRANCO,Construction,11,26431.005490734384
SANTA ROSA DO PURUS,Utilities,5,3.076743043478261
SENA MADUREIRA,Manufacturing,5,48.46550657894737
TARAUACA,Utilities,4,25.556158902168953
ANADIA,Manufacturing,5,13455.374025974026
ARAPIRACA,Manufacturing,52,1742.8485999999998
ARAPIRACA,Trade,6,5472.6255750691225
ARAPIRACA,Business,4,1091.3885569792735
ARAPIRACA,Construction,3,143.16145654702558
ARAPIRACA,Agriculture,13,13849.737166965046
ARAPIRACA,Mining,3,18206.00203962704
ATALAIA,Manufacturing,10,732.0502495213784
ATALAIA,Agriculture,4,103.20936672638103
BATALHA,Manufacturing,5,10674.898146570717
BOCA DA MATA,Manufacturing,4,25.494252529752433
CAMPO ALEGRE,Manufacturing,8,330.6973059285509
CAMPO ALEGRE,Trade,6,3.879057634854772
CAMPO ALEGRE,Business,7,8.837408612440191
CAMPO ALEGRE,Construction,3,18.096726814939153
CAMPO ALEGRE,Mining,37,904.8260911481159
CAPELA,Manufacturing,8,343.1299179950474
CORURIPE,Manufacturing,19,330.16909803921567
CORURIPE,Agriculture,4,20.376059885321098
CRAIBAS,Mining,6,737.0732413596215
DELMIRO GOUVEIA,Manufacturing,8,115.78190621865596
DELMIRO GOUVEIA,Business,5,6879.411203095474
ESTRELA DE ALAGOAS,Manufacturing,12,6760.970894726642
IGACI,Trade,4,72.92565771551725
IGREJA NOVA,Manufacturing,10,7.999316851609091
LAGOA DA CANOA,Manufacturing,4,348.29777321352157
MACEIO,Manufacturing,112,299.5580185498284
MACEIO,Utilities,43,726.054131439744
MACEIO,Trade,3,781.5831693638708
MACEIO,Construction,19,50.35065395833334
MACEIO,Mining,22,350.5092507786561
MAJOR ISIDORO,Manufacturing,11,280.9569455725847
MARAGOGI,Trade,8,1918.578719725587
MARECHAL DEODORO,Manufacturing,70,483.5018105633803
MARECHAL DEODORO,Utilities,10,3635.1646558528532
MARECHAL DEODORO,Business,9,5150.720071140041
MATRIZ DE CAMARAGIBE,Manufacturing,7,47.60869361610209
OLHO D'AGUA DAS FLORES,Manufacturing,4,74086.31910567581
PALMEIRA DOS INDIOS,Manufacturing,28,1897.2891958333335
PILAR,Manufacturing,5,386.39875128892555
PILAR,Mining,4,47887.60205
RIO LARGO,Manufacturing,30,419.16451351729734
RIO LARGO,Utilities,3,4619124.123421261
RIO LARGO,Mining,4,14730.194117647061
SANTA LUZIA DO NORTE,Manufacturing,24,113.39044004899387
SANTA LUZIA DO NORTE,Trade,13,27.521238600130612
SANTANA DO IPANEMA,Construction,3,112.21343205128206
SAO JOSE DA LAJE,Manufacturing,9,749.0852547545655
SAO JOSE DA TAPERA,Construction,6,2999.1544280555586
SAO LUIS DO QUITUNDE,Manufacturing,8,63.667892060117545
SAO LUIS DO QUITUNDE,Utilities,9,103941.1346293049
SAO MIGUEL DOS CAMPOS,Manufacturing,13,28215.372541637673
SAO MIGUEL DOS CAMPOS,Utilities,7,86204.6483498471
SAO MIGUEL DOS CAMPOS,Mining,6,0.7843183632734531
SAO SEBASTIAO,Manufacturing,4,10835.602423606742
SAO SEBASTIAO,Utilities,16,921.600999219383
SAO SEBASTIAO,Trade,3,655.1787555555555
SAO SEBASTIAO,Construction,18,346.4587846291736
SAO SEBASTIAO,Mining,5,228.25029148511112
SATUBA,Manufacturing,4,780.014365260557
TEOTONIO VILELA,Manufacturing,5,11347.275
TEOTONIO VILELA,Utilities,6,8205.418216792437
UNIAO DOS PALMARES,Business,3,71.13255766342549
CALCOENE,Manufacturing,4,1920.6498273712302
CALCOENE,Mining,15,24.038076133677592
FERREIRA GOMES,Mining,7,1586.4854761904762
MACAPA,Utilities,3,10.92400012121212
MACAPA,Trade,10,170.99531879999998
MACAPA,Mining,8,15.485371425294227
OIAPOQUE,Manufacturing,9,4.187077565697805
OIAPOQUE,Trade,20,991.3465921281527
PORTO GRANDE,Manufacturing,15,51477.64223635875
PORTO GRANDE,Trade,6,99.52956940958718
SANTANA,Manufacturing,12,14025.499742984393
SANTANA,Utilities,6,2810.1342931367144
SERRA DO NAVIO,Utilities,3,159.72312540333186
ALVARAES,Utilities,10,207.58756557499999
AMATURA,Utilities,9,37.16362264
ANORI,Utilities,3,915.0203347368421
APUI,Utilities,9,165.8499922209257
ATALAIA DO NORTE,Utilities,16,278.1838532900433
AUTAZES,Utilities,12,144.08833347030964
BARCELOS,Utilities,9,108.54428333333334
BARREIRINHA,Utilities,20,460.2624702708334
BENJAMIN CONSTANT,Utilities,8,100.60656832377649
BERURI,Utilities,9,31.5415873015873
BOA VISTA DO RAMOS,Utilities,8,542.0699033890887
BOCA DO ACRE,Manufacturing,8,2612.1759821965966
BORBA,Utilities,12,38184.72617285477
CAAPIRANGA,Utilities,3,221.0398060189166
CANUTAMA,Utilities,10,42.654785151515156
CARAUARI,Utilities,9,17.477795281806085
CAREIRO,Utilities,9,598.5186213235295
CAREIRO DA VARZEA,Utilities,8,179.79461095238094
COARI,Utilities,11,405.8152634782609
COARI,Trade,12,11.59742833076146
COARI,Business,4,899.6782851550738
COARI,Mining,32,2387.479617196624
CODAJAS,Utilities,12,398.91080312500003
EIRUNEPE,Utilities,9,2159.010888888889
ENVIRA,Manufacturing,4,53.14484812841529
ENVIRA,Utilities,8,58198.81552655113
FONTE BOA,Utilities,9,992.7844
HUMAITA,Manufacturing,8,2932.7202572551532
HUMAITA,Utilities,10,2986.545088125
IPIXUNA,Manufacturing,4,0.4173892645836254
IPIXUNA,Utilities,8,19436.8327761194
IRANDUBA,Manufacturing,42,1651.894
IRANDUBA,Utilities,7,209.06832999999997
ITACOATIARA,Manufacturing,33,459.10184374674003
ITACOATIARA,Utilities,26,465.1281259935659
ITACOATIARA,Trade,9,2285.9391336530443
ITACOATIARA,Transport,15,160.64382999999998
ITAMARATI,Utilities,8,821.3986770954127
ITAPIRANGA,Manufacturing,80,310.4410833333333
ITAPIRANGA,Utilities,9,438.6101829737414
JAPURA,Manufacturing,7,40.91943772062531
JAPURA,Utilities,27,124.82796671052633
JURUA,Utilities,9,3.172217613168724
JUTAI,Utilities,9,944.7038784530387
LABREA,Utilities,9,654.7449741334713
MANACAPURU,Manufacturing,4,93.84758719444444
MANACAPURU,Utilities,29,62.906581612903224
MANAQUIRI,Utilities,8,5561.699278205128
MANAUS,Manufacturing,2178,317.9216656366921
MANAUS,Utilities,113,502.2895201129468
MANAUS,Trade,20,67.59471971215468
MANAUS,Business,11,27.147755610972567
MANAUS,Construction,55,486.65821442307697
MANAUS,Transport,10,23.73634928037437
MANAUS,Mining,21,252.1193167414807
MANICORE,Manufacturing,20,256.30914562289564
MANICORE,Utilities,8,261.8713894026602
MARAA,Utilities,9,9416.37638907717
MAUES,Utilities,8,4352.1173561495
MAUES,Agriculture,4,3438.0193378204426
NHAMUNDA,Utilities,9,43283.456033848415
NOVA OLINDA DO NORTE,Utilities,10,167.91533052418043
NOVO AIRAO,Utilities,8,19.628816421422172
NOVO ARIPUANA,Utilities,9,5393.178666666667
PARINTINS,Utilities,17,163.293351
PAUINI,Utilities,9,16.61448608695652
PRESIDENTE FIGUEIREDO,Manufacturing,12,101.90069182389936
PRESIDENTE FIGUEIREDO,Agriculture,32,2304.75299469697
PRESIDENTE FIGUEIREDO,Mining,13,1374.209174987559
RIO PRETO DA EVA,Manufacturing,5,57.36859151952916
RIO PRETO DA EVA,Utilities,9,45.611284364261174
RIO PRETO DA EVA,Trade,3,7.561119539724421
SANTA ISABEL DO RIO NEGRO,Utilities,9,61.081378525851804
SANTO ANTONIO DO ICA,Utilities,18,1499.0110246733911
SAO GABRIEL DA CACHOEIRA,Utilities,27,253.88966961398575
SAO PAULO DE OLIVENCA,Utilities,9,15.827964795918367
SAO SEBASTIAO DO UATUMA,Utilities,8,837.9587258698687
SILVES,Utilities,9,135.77975730999864
TABATINGA,Manufacturing,19,32.26627722222222
TABATINGA,Utilities,18,761.4958705408218
TAPAUA,Utilities,8,761.2132451880266
TEFE,Utilities,17,179.0470213776722
TONANTINS,Utilities,9,808.9315357142857
UARINI,Utilities,8,70.71105063940156
URUCARA,Utilities,8,37587.588379500005
URUCARA,Mining,5,349.3710689655172
URUCURITUBA,Utilities,18,161.91065600000002
AGUA FRIA,Manufacturing,6,105.22205287116799
ALAGOINHAS,Manufacturing,105,161.7983777191574
ALAGOINHAS,Trade,4,594.8819350278551
ALAGOINHAS,Business,5,11.31866874674987
ALAGOINHAS,Construction,11,464.0108522875817
ALAGOINHAS,Mining,23,239.25157415314547
ALCOBACA,Trade,5,52.64033612804878
AMARGOSA,Manufacturing,10,2443.347209111316
AMELIA RODRIGUES,Manufacturing,34,328.571561654426
AMELIA RODRIGUES,Agriculture,4,3791.8029941518826
ANDORINHA,Mining,7,48.330188823873414
ARACAS,Mining,4,1249.5212627737226
AURELINO LEAL,Manufacturing,7,58.382506527415146
BARRA,Manufacturing,10,87.94264791590518
BARRA DO CHOCA,Utilities,3,83.57110954395863
BARREIRAS,Manufacturing,105,161.53679223404257
BARREIRAS,Trade,13,38.928519997381684
BARREIRAS,Business,9,24.604418308963762
BARREIRAS,Construction,7,1.4693705399061032
BARREIRAS,Agriculture,12,24.079234258668514
BARREIRAS,Mining,11,277.31492828134446
BARROCAS,Mining,23,2368.4329798542685
BELMONTE,Trade,3,3.654292732394366
BELMONTE,Transport,5,190.20076408679847
BELMONTE,Mining,6,211.51648932355047
BELO CAMPO,Manufacturing,4,39.40170581842105
BOM JESUS DA LAPA,Manufacturing,22,499.2220527821113
BOQUIRA,Mining,12,1638.980363569832
BRUMADO,Manufacturing,40,108.2515368852459
BRUMADO,Trade,3,107.13464705882353
BRUMADO,Construction,7,5241.927841496792
BRUMADO,Mining,84,226.28022904411765
CACHOEIRA,Manufacturing,34,157.05897437840832
CACULE,Manufacturing,23,759.895567282322
CACULE,Mining,6,13.315246683192438
CAETITE,Manufacturing,50,163.8306682631579
CAETITE,Trade,3,924384.4375673409
CAETITE,Mining,13,1275.0527042253523
CAMACARI,Manufacturing,913,309.3111618661844
CAMACARI,Utilities,75,88.44543565243356
CAMACARI,Trade,3,485.9950978378379
CAMACARI,Construction,7,7.395172958333333
CAMACARI,Transport,6,24041.208590915285
CAMACARI,Mining,4,286.11451148897055
CAMACARI,OtherServices,5,90.07056293862276
CAMAMU,Manufacturing,6,2.2026498756218906
CAMPO ALEGRE DE LOURDES,Mining,13,18.68649852790293
CAMPO FORMOSO,Manufacturing,28,365.08651701323254
CAMPO FORMOSO,Business,3,546.346351786673
CAMPO FORMOSO,Mining,20,4691.223123638344
CANARANA,Mining,6,10496.033079093448
CANDEIAS,Manufacturing,151,354.1007432255816
CANDEIAS,Utilities,32,14.386857061626916
CANDEIAS,Trade,11,93.02188717948718
CANDEIAS,Mining,9,2765.6139690625
CANDEIAS,Financial,10,104.95740642761207
CANDIBA,Manufacturing,7,2508.658461538462
CAPELA DO ALTO ALEGRE,Manufacturing,3,30.464937127532778
CARINHANHA,Manufacturing,9,113.64197904761905
CASA NOVA,Manufacturing,5,595.7358687308918
CASTRO ALVES,Manufacturing,15,289.6707545
CATU,Manufacturing,3,119.60173419041001
CATU,Business,6,39.664203125
CATU,Mining,52,295.24729356864077
CATURAMA,Manufacturing,8,478.5500612962963
CONCEICAO DA FEIRA,Manufacturing,12,31.1507967860587
CONCEICAO DO ALMEIDA,Manufacturing,10,37.16773920419246
CONCEICAO DO COITE,Manufacturing,3,111578.20289385159
CONCEICAO DO JACUIPE,Manufacturing,20,80.17461088107615
CONCEICAO DO JACUIPE,Trade,5,51.709742506886
CONCEICAO DO JACUIPE,Business,4,40.91554891995095
CONCEICAO DO JACUIPE,Mining,22,361.01291489361705
CORACAO DE MARIA,Manufacturing,8,1074.0365886969473
CORRENTINA,Manufacturing,4,15.601669600102978
CORRENTINA,Agriculture,5,203.23596261375124
CRUZ DAS ALMAS,Manufacturing,25,262.6969879771608
CRUZ DAS ALMAS,Agriculture,16,336.8038940708879
CURACA,Trade,3,31.476243679151697
CURACA,Mining,3,2.107045078125
DIAS D'AVILA,Manufacturing,130,281.7956723611111
DIAS D'AVILA,Trade,4,242.2653941754386
ENCRUZILHADA,Mining,12,560.546165203252
ESPLANADA,Manufacturing,18,191.40656178320387
EUCLIDES DA CUNHA,Manufacturing,6,30999.681221072588
EUNAPOLIS,Manufacturing,95,374.3008619180959
EUNAPOLIS,Trade,19,31.518269166666666
FEIRA DE SANTANA,Manufacturing,399,261.5109505126666
FEIRA DE SANTANA,Utilities,20,69.139996425
FEIRA DE SANTANA,Trade,10,18.32162569750026
FEIRA DE SANTANA,Business,7,11711.676077054788
FEIRA DE SANTANA,Construction,12,24.7409976908867
FEIRA DE SANTANA,Mining,23,571.5833216432866
FORMOSA DO RIO PRETO,Manufacturing,3,110536.31481007801
GENTIO DO OURO,Manufacturing,6,4316.499185770892
GOVERNADOR MANGABEIRA,Agriculture,5,1698.1385434364934
GUANAMBI,Manufacturing,78,185.99809852598872
IACU,Manufacturing,10,53684.85217802755
IBIASSUCE,Manufacturing,51,336.22296795398523
IBICARAI,Manufacturing,4,27453.373879747684
IBICOARA,Manufacturing,5,12840.785425805467
IBICOARA,Mining,8,7256.798104074223
IBICUI,Manufacturing,6,263890.8553796296
IBIRAPUA,Manufacturing,15,48.87487050189394
IBITITA,Manufacturing,3,2.6395401630434785
IBOTIRAMA,Manufacturing,17,821.6876393878254
IBOTIRAMA,Mining,8,52.51783963414907
IGAPORA,Manufacturing,13,237.4330715859031
IGRAPIUNA,Manufacturing,23,31856.96
IGRAPIUNA,Agriculture,5,508.4635015386837
ILHEUS,Manufacturing,124,235.4047024486998
ILHEUS,Construction,4,121113.96179430095
ILHEUS,Mining,6,4040.640939916667
INHAMBUPE,Mining,6,3423.63607
IPIAU,Manufacturing,3,3959.113679901448
IPIAU,Trade,6,12908.383935412954
IPIAU,Mining,15,99.58444714268929
IPIRA,Manufacturing,8,1073.1659666666667
IPIRA,Trade,3,924742.4850281993
IRAQUARA,Manufacturing,6,12238.241541666666
IRECE,Mining,6,1171.7104368959108
ITABELA,Manufacturing,8,4573.2266
ITABERABA,Manufacturing,8,607.2802320682333
ITABUNA,Manufacturing,101,149.51802883375507
ITABUNA,Utilities,5,6559.0
ITABUNA,Mining,9,138.75104438760474
ITAGIBA,Business,4,307.9070443333333
ITAGIBA,Mining,24,20.56031657702851
ITAGIMIRIM,Mining,13,1335.0778341013825
ITAGUACU DA BAHIA,Mining,8,86.22246279523293
ITAJUIPE,Manufacturing,9,78.57868017543859
ITAMARAJU,Manufacturing,6,122.49899714082997
ITAMBE,Manufacturing,8,3205.522614193372
ITAMBE,Mining,5,40.54033338870432
ITANHEM,Mining,6,5.817681448106516
ITAPARICA,Mining,7,876.5227187500001
ITAPE,Manufacturing,14,816.766172797619
ITAPETINGA,Manufacturing,68,120.07419585401158
ITARANTIM,Manufacturing,15,447.04822155765896
ITARANTIM,Mining,3,293332.36244982935
ITORORO,Manufacturing,11,2800.1054378997287
ITUACU,Manufacturing,5,697.3635680851064
JABORANDI,Manufacturing,4,26662.731879375002
JABORANDI,Agriculture,10,3845.3788297872343
JACARACI,Manufacturing,3,6700.805736098216
JACOBINA,Manufacturing,27,218.1838977897453
JACOBINA,Trade,6,45.381184882069
JACOBINA,Construction,3,129.67858175473577
JACOBINA,Mining,15,45.03999208234362
JAGUARARI,Mining,6,7789.344651383105
