,Municipio,Setor,Numero de empresas,Mediana_Ecoeficiencia,Cod Municipio
0,ACRELANDIA,Manufacturing,5,6.176878767123287,1200013
1,CAPIXABA,Manufacturing,4,1019.7147188533628,1200179
2,CRUZEIRO DO SUL,Manufacturing,4,372.9644162596767,1200203
3,CRUZEIRO DO SUL,Utilities,9,323.6852912,1200203
4,FEIJO,Utilities,4,560.5214919712181,1200302
5,JORDAO,Utilities,5,88.62681762843926,1200328
6,MARECHAL THAUMATURGO,Utilities,3,18.313697368421053,1200351
7,PLACIDO DE CASTRO,Manufacturing,5,370.64186159289983,1200385
8,PORTO WALTER,Utilities,3,42.0001068816801,1200393
9,RIO BRANCO,Manufacturing,53,237.6997204,1200401
10,RIO BRANCO,Construction,11,26431.005490734384,1200401
11,SANTA ROSA DO PURUS,Utilities,5,3.076743043478261,1200435
12,SENA MADUREIRA,Manufacturing,5,48.46550657894737,1200500
13,TARAUACA,Utilities,4,25.556158902168956,1200609
14,ANADIA,Manufacturing,5,13455.374025974026,2700201
15,ARAPIRACA,Manufacturing,52,1742.8485999999998,2700300
16,ARAPIRACA,Trade,6,5472.6255750691225,2700300
17,ARAPIRACA,Business,4,1091.3885569792735,2700300
18,ARAPIRACA,Construction,3,143.16145654702558,2700300
19,ARAPIRACA,Agriculture,13,13849.737166965046,2700300
20,ARAPIRACA,Mining,3,18206.00203962704,2700300
21,ATALAIA,Manufacturing,10,732.0502495213784,2700409
22,ATALAIA,Agriculture,4,103.20936672638103,2700409
23,BATALHA,Manufacturing,5,10674.898146570717,2201507
24,BOCA DA MATA,Manufacturing,4,25.494252529752437,2701001
25,CAMPO ALEGRE,Manufacturing,8,330.6973059285509,2701407
26,CAMPO ALEGRE,Trade,6,3.879057634854772,2701407
27,CAMPO ALEGRE,Business,7,8.837408612440191,2701407
28,CAMPO ALEGRE,Construction,3,18.096726814939156,2701407
29,CAMPO ALEGRE,Mining,37,904.826091148116,2701407
30,CAPELA,Manufacturing,8,343.1299179950474,2701704
31,CORURIPE,Manufacturing,19,330.16909803921567,2702306
32,CORURIPE,Agriculture,4,20.376059885321094,2702306
33,CRAIBAS,Mining,6,737.0732413596215,2702355
34,DELMIRO GOUVEIA,Manufacturing,8,115.78190621865596,2702405
35,DELMIRO GOUVEIA,Business,5,6879.411203095474,2702405
36,ESTRELA DE ALAGOAS,Manufacturing,12,6760.970894726642,2702553
37,IGACI,Trade,4,72.92565771551725,2703106
38,IGREJA NOVA,Manufacturing,10,7.999316851609091,2703205
39,LAGOA DA CANOA,Manufacturing,4,348.2977732135216,2704104
40,MACEIO,Manufacturing,112,299.5580185498284,2704302
41,MACEIO,Utilities,43,726.054131439744,2704302
42,MACEIO,Trade,3,781.5831693638708,2704302
43,MACEIO,Construction,19,50.35065395833334,2704302
44,MACEIO,Mining,22,350.5092507786561,2704302
45,MAJOR ISIDORO,Manufacturing,11,280.9569455725847,2704401
46,MARAGOGI,Trade,8,1918.578719725587,2704500
47,MARECHAL DEODORO,Manufacturing,70,483.5018105633803,2704708
48,MARECHAL DEODORO,Utilities,10,3635.164655852853,2704708
49,MARECHAL DEODORO,Business,9,5150.720071140041,2704708
50,MATRIZ DE CAMARAGIBE,Manufacturing,7,47.60869361610209,2705101
51,OLHO D'AGUA DAS FLORES,Manufacturing,4,74086.31910567581,2705705
52,PALMEIRA DOS INDIOS,Manufacturing,28,1897.2891958333332,2706307
53,PILAR,Manufacturing,5,386.3987512889256,2511509
54,PILAR,Mining,4,47887.60205,2511509
55,RIO LARGO,Manufacturing,30,419.1645135172973,2707701
56,RIO LARGO,Utilities,3,4619124.123421261,2707701
57,RIO LARGO,Mining,4,14730.19411764706,2707701
58,SANTA LUZIA DO NORTE,Manufacturing,24,113.39044004899388,2707909
59,SANTA LUZIA DO NORTE,Trade,13,27.52123860013061,2707909
60,SANTANA DO IPANEMA,Construction,3,112.21343205128206,2708006
61,SAO JOSE DA LAJE,Manufacturing,9,749.0852547545655,2708303
62,SAO JOSE DA TAPERA,Construction,6,2999.1544280555586,2708402
63,SAO LUIS DO QUITUNDE,Manufacturing,8,63.667892060117545,2708501
64,SAO LUIS DO QUITUNDE,Utilities,9,103941.1346293049,2708501
65,SAO MIGUEL DOS CAMPOS,Manufacturing,13,28215.372541637676,2708600
66,SAO MIGUEL DOS CAMPOS,Utilities,7,86204.6483498471,2708600
67,SAO MIGUEL DOS CAMPOS,Mining,6,0.7843183632734531,2708600
68,SAO SEBASTIAO,Manufacturing,4,10835.602423606742,2708808
69,SAO SEBASTIAO,Utilities,16,921.600999219383,2708808
70,SAO SEBASTIAO,Trade,3,655.1787555555555,2708808
71,SAO SEBASTIAO,Construction,18,346.4587846291736,2708808
72,SAO SEBASTIAO,Mining,5,228.25029148511112,2708808
73,SATUBA,Manufacturing,4,780.014365260557,2708907
74,TEOTONIO VILELA,Manufacturing,5,11347.275,2709152
75,TEOTONIO VILELA,Utilities,6,8205.418216792437,2709152
76,UNIAO DOS PALMARES,Business,3,71.13255766342549,2709301
77,CALCOENE,Manufacturing,4,1920.6498273712305,1600204
78,CALCOENE,Mining,15,24.038076133677592,1600204
79,FERREIRA GOMES,Mining,7,1586.4854761904762,1600238
80,MACAPA,Utilities,3,10.92400012121212,1600303
81,MACAPA,Trade,10,170.99531879999998,1600303
82,MACAPA,Mining,8,15.485371425294227,1600303
83,OIAPOQUE,Manufacturing,9,4.187077565697805,1600501
84,OIAPOQUE,Trade,20,991.3465921281528,1600501
85,PORTO GRANDE,Manufacturing,15,51477.64223635875,1600535
86,PORTO GRANDE,Trade,6,99.52956940958718,1600535
87,SANTANA,Manufacturing,12,14025.499742984392,1600600
88,SANTANA,Utilities,6,2810.1342931367144,1600600
89,SERRA DO NAVIO,Utilities,3,159.72312540333186,1600055
90,ALVARAES,Utilities,10,207.587565575,1300029
91,AMATURA,Utilities,9,37.16362264,1300060
92,ANORI,Utilities,3,915.020334736842,1300102
93,APUI,Utilities,9,165.8499922209257,1300144
94,ATALAIA DO NORTE,Utilities,16,278.1838532900433,1300201
95,AUTAZES,Utilities,12,144.08833347030964,1300300
96,BARCELOS,Utilities,9,108.54428333333334,1300409
97,BARREIRINHA,Utilities,20,460.2624702708334,1300508
98,BENJAMIN CONSTANT,Utilities,8,100.60656832377649,1300607
99,BERURI,Utilities,9,31.5415873015873,1300631
100,BOA VISTA DO RAMOS,Utilities,8,542.0699033890887,1300680
101,BOCA DO ACRE,Manufacturing,8,2612.1759821965966,1300706
102,BORBA,Utilities,12,38184.72617285477,1300805
103,CAAPIRANGA,Utilities,3,221.0398060189166,1300839
104,CANUTAMA,Utilities,10,42.65478515151516,1300904
105,CARAUARI,Utilities,9,17.477795281806085,1301001
106,CAREIRO,Utilities,9,598.5186213235295,1301100
107,CAREIRO DA VARZEA,Utilities,8,179.79461095238094,1301159
108,COARI,Utilities,11,405.8152634782609,1301209
109,COARI,Trade,12,11.59742833076146,1301209
110,COARI,Business,4,899.6782851550738,1301209
111,COARI,Mining,32,2387.479617196624,1301209
112,CODAJAS,Utilities,12,398.910803125,1301308
113,EIRUNEPE,Utilities,9,2159.010888888889,1301407
114,ENVIRA,Manufacturing,4,53.14484812841529,1301506
115,ENVIRA,Utilities,8,58198.81552655113,1301506
116,FONTE BOA,Utilities,9,992.7844,1301605
117,HUMAITA,Manufacturing,8,2932.720257255153,1301704
118,HUMAITA,Utilities,10,2986.545088125,1301704
119,IPIXUNA,Manufacturing,4,0.4173892645836254,1301803
120,IPIXUNA,Utilities,8,19436.8327761194,1301803
121,IRANDUBA,Manufacturing,42,1651.894,1301852
122,IRANDUBA,Utilities,7,209.06833,1301852
123,ITACOATIARA,Manufacturing,33,459.10184374674,1301902
124,ITACOATIARA,Utilities,26,465.1281259935659,1301902
125,ITACOATIARA,Trade,9,2285.9391336530443,1301902
126,ITACOATIARA,Transport,15,160.64382999999998,1301902
127,ITAMARATI,Utilities,8,821.3986770954127,1301951
128,ITAPIRANGA,Manufacturing,80,310.4410833333333,1302009
129,ITAPIRANGA,Utilities,9,438.6101829737414,1302009
130,JAPURA,Manufacturing,7,40.91943772062531,1302108
131,JAPURA,Utilities,27,124.82796671052633,1302108
132,JURUA,Utilities,9,3.172217613168724,1302207
133,JUTAI,Utilities,9,944.7038784530388,1302306
134,LABREA,Utilities,9,654.7449741334713,1302405
135,MANACAPURU,Manufacturing,4,93.84758719444444,1302504
136,MANACAPURU,Utilities,29,62.90658161290322,1302504
137,MANAQUIRI,Utilities,8,5561.699278205128,1302553
138,MANAUS,Manufacturing,2178,317.9216656366921,1302603
139,MANAUS,Utilities,113,502.2895201129468,1302603
140,MANAUS,Trade,20,67.59471971215468,1302603
141,MANAUS,Business,11,27.147755610972567,1302603
142,MANAUS,Construction,55,486.65821442307697,1302603
143,MANAUS,Transport,10,23.73634928037437,1302603
144,MANAUS,Mining,21,252.1193167414807,1302603
145,MANICORE,Manufacturing,20,256.30914562289564,1302702
146,MANICORE,Utilities,8,261.8713894026602,1302702
147,MARAA,Utilities,9,9416.37638907717,1302801
148,MAUES,Utilities,8,4352.1173561495,1302900
149,MAUES,Agriculture,4,3438.0193378204426,1302900
150,NHAMUNDA,Utilities,9,43283.456033848415,1303007
151,NOVA OLINDA DO NORTE,Utilities,10,167.91533052418043,1303106
152,NOVO AIRAO,Utilities,8,19.62881642142217,1303205
153,NOVO ARIPUANA,Utilities,9,5393.178666666667,1303304
154,PARINTINS,Utilities,17,163.293351,1303403
155,PAUINI,Utilities,9,16.61448608695652,1303502
156,PRESIDENTE FIGUEIREDO,Manufacturing,12,101.90069182389936,1303536
157,PRESIDENTE FIGUEIREDO,Agriculture,32,2304.75299469697,1303536
158,PRESIDENTE FIGUEIREDO,Mining,13,1374.209174987559,1303536
159,RIO PRETO DA EVA,Manufacturing,5,57.36859151952916,1303569
160,RIO PRETO DA EVA,Utilities,9,45.61128436426117,1303569
161,RIO PRETO DA EVA,Trade,3,7.561119539724421,1303569
162,SANTA ISABEL DO RIO NEGRO,Utilities,9,61.08137852585181,1303601
163,SANTO ANTONIO DO ICA,Utilities,18,1499.0110246733911,1303700
164,SAO GABRIEL DA CACHOEIRA,Utilities,27,253.88966961398572,1303809
165,SAO PAULO DE OLIVENCA,Utilities,9,15.827964795918367,1303908
166,SAO SEBASTIAO DO UATUMA,Utilities,8,837.9587258698687,1303957
167,SILVES,Utilities,9,135.77975730999864,1304005
168,TABATINGA,Manufacturing,19,32.26627722222222,3552700
169,TABATINGA,Utilities,18,761.4958705408218,3552700
170,TAPAUA,Utilities,8,761.2132451880266,1304104
171,TEFE,Utilities,17,179.0470213776722,1304203
172,TONANTINS,Utilities,9,808.9315357142857,1304237
173,UARINI,Utilities,8,70.71105063940156,1304260
