Municipio,Setor,Numero de empresas,Mediana_Ecoeficiencia
ACRELANDIA,Manufacturing,4,1271346.6639999999
ASSIS BRASIL,Utilities,4,30935.367664038444
CRUZEIRO DO SUL,Manufacturing,68,62293.37550000001
CRUZEIRO DO SUL,Utilities,24,25983.969508272057
CRUZEIRO DO SUL,Business,8,16476.028095238096
FEIJO,Utilities,16,348058.1591666667
JORDAO,Utilities,12,194954.94
MANOEL URBANO,Utilities,4,29243.85020281937
MARECHAL THAUMATURGO,Utilities,8,12797.470278698396
PLACIDO DE CASTRO,Manufacturing,8,120.91039458333333
PORTO ACRE,Manufacturing,3,252113.73
PORTO WALTER,Utilities,8,173967.57112745097
RIO BRANCO,Manufacturing,35,25271.621709905663
RIO BRANCO,Construction,23,105165.68574468086
SANTA ROSA DO PURUS,Utilities,12,16472.10335814607
TARAUACA,Utilities,16,85632.21684594953
ARAPIRACA,Manufacturing,44,73694.61942105263
ARAPIRACA,Construction,3,119452.46750819673
ATALAIA,Manufacturing,10,4902.580405369835
ATALAIA,Agriculture,6,556878.5944186046
CAMPO ALEGRE,Manufacturing,29,7965.423213644525
CAMPO ALEGRE,Business,4,21526.1
CAMPO ALEGRE,Mining,26,4723.377418367347
CAPELA,Manufacturing,4,3104.129317773788
CORURIPE,Manufacturing,43,16767.65931547619
CORURIPE,Agriculture,12,41425.180049999995
DELMIRO GOUVEIA,Manufacturing,6,56820.90179411764
IGACI,Trade,4,355203.8542923976
IGREJA NOVA,Manufacturing,18,41906.608616838486
LAGOA DA CANOA,Manufacturing,4,43719.84912543623
MACEIO,Manufacturing,75,9953.423762748254
MACEIO,Utilities,25,98532.93740112995
MACEIO,Construction,11,1246.838890284757
MAJOR ISIDORO,Manufacturing,21,16736.36447467085
MARECHAL DEODORO,Manufacturing,27,16084.457460317459
MARECHAL DEODORO,Utilities,32,17248.7560655308
MATRIZ DE CAMARAGIBE,Manufacturing,21,17485.4722
OLHO D'AGUA DAS FLORES,Manufacturing,12,54264.1219
PALMEIRA DOS INDIOS,Manufacturing,7,48313.610402684564
PILAR,Manufacturing,12,15472.581625931462
PILAR,Business,4,5675.50152561685
PILAR,Mining,28,15698.390014084507
RIO LARGO,Mining,3,17361.294014375562
SANTA LUZIA DO NORTE,Manufacturing,11,1925.1666666666667
SANTA LUZIA DO NORTE,Trade,4,170938.4838095238
SAO JOSE DA LAJE,Manufacturing,8,453.2569554455446
SAO JOSE DA TAPERA,Construction,4,573689.5458591732
SAO LUIS DO QUITUNDE,Manufacturing,19,22429.936020249224
SAO LUIS DO QUITUNDE,Utilities,23,354320.65406551724
SAO MIGUEL DOS CAMPOS,Manufacturing,38,5319.3738125
SAO MIGUEL DOS CAMPOS,Utilities,19,22973.9764
SAO MIGUEL DOS CAMPOS,Business,4,295416.84567901236
SAO MIGUEL DOS CAMPOS,Mining,28,13748.557780507497
TEOTONIO VILELA,Manufacturing,8,117771.18981818181
TEOTONIO VILELA,Utilities,16,8377.766254097947
UNIAO DOS PALMARES,Business,6,52.534046449364496
CALCOENE,Mining,20,119365.40580536914
FERREIRA GOMES,Manufacturing,4,54230.934245418095
MACAPA,Trade,3,224805.008
MACAPA,Mining,3,3860.4708965517243
OIAPOQUE,Manufacturing,8,15275.015625
OIAPOQUE,Business,6,1144403.4182269506
OIAPOQUE,Trade,7,365.8402479338843
SANTANA,Manufacturing,7,320551.6616666667
SANTANA,Utilities,24,125179.24312500001
SERRA DO NAVIO,Utilities,6,23101712.540000003
ATALAIA DO NORTE,Manufacturing,8,18.886365455196987
AUTAZES,Utilities,3,2510.411550140581
BORBA,Utilities,4,12300.797605060354
COARI,Utilities,8,12856.357086250635
COARI,Business,4,42751.76111111111
COARI,Trade,6,1260002.7
COARI,Mining,28,66671.41846940777
ENVIRA,Manufacturing,8,1000433.6476290886
HUMAITA,Manufacturing,8,2956.1653846153845
HUMAITA,Utilities,4,1303315.88614539
IPIXUNA,Manufacturing,8,304.6462123873874
IRANDUBA,Manufacturing,56,19878.29329032258
IRANDUBA,Utilities,21,21887.631399317404
IRANDUBA,Trade,4,8159.106994407357
ITACOATIARA,Manufacturing,17,458111.28
ITACOATIARA,Trade,7,27502.824285714283
ITACOATIARA,Transport,24,17388.312976580797
MANACAPURU,Manufacturing,3,2848742.836
MANAUS,Manufacturing,1826,17248.48692421053
MANAUS,Utilities,218,11114.02735
MANAUS,Business,3,220895.628
MANAUS,Construction,47,18167.24797742485
MANAUS,Trade,20,16051.355125470514
MANICORE,Manufacturing,7,9632.754595
MANICORE,Business,6,371220.6815
MAUES,Manufacturing,3,1881.959411764706
MAUES,Agriculture,5,27831.443186813187
NOVA OLINDA DO NORTE,Utilities,4,180704.51889703932
PRESIDENTE FIGUEIREDO,Manufacturing,12,23160.46355516605
PRESIDENTE FIGUEIREDO,Business,4,2785146.4291666667
PRESIDENTE FIGUEIREDO,Agriculture,16,16667.147818181817
PRESIDENTE FIGUEIREDO,Mining,12,107567.07538461538
RIO PRETO DA EVA,Manufacturing,3,3322.9754273504273
SAO GABRIEL DA CACHOEIRA,Utilities,5,48.561032534018885
TABATINGA,Manufacturing,6,61257.4925
URUCARA,Mining,5,1762.821445637786
ALAGOINHAS,Manufacturing,132,12390.498210400665
ALAGOINHAS,Business,4,230.20551136174217
ALAGOINHAS,Mining,20,85129.54412499999
AMARGOSA,Manufacturing,8,2331.518210924606
ANDORINHA,Mining,4,63926.247
BARRA,Manufacturing,18,1365.777639807414
BARREIRAS,Manufacturing,77,32268.53304161667
BARREIRAS,Construction,15,13588.516746411484
BARREIRAS,Trade,3,5992.388571428572
BARREIRAS,Agriculture,3,8660.936
BARROCAS,Mining,18,24358.81851820728
BELMONTE,Manufacturing,3,1168537.9646153846
BELMONTE,Mining,3,1431.713
BELMONTE,Transport,12,13116.522878874583
BELO CAMPO,Manufacturing,12,64952.75781944444
BOM JESUS DA LAPA,Manufacturing,84,92218.63637
BOQUIRA,Business,4,1384.5018333333335
BOQUIRA,Mining,26,30290.49277400857
BRUMADO,Manufacturing,20,23597.240494699647
BRUMADO,Construction,3,1983.7837395789177
BRUMADO,Trade,6,3965.301484082397
BRUMADO,Mining,36,23200.192003019627
CACHOEIRA,Manufacturing,26,33673.862772547116
CACULE,Manufacturing,92,22235.302209925205
CAETITE,Manufacturing,143,27987.197999999997
CAMACARI,Manufacturing,1036,23950.71227059261
CAMACARI,Utilities,148,11393.146031149301
CAMACARI,OtherServices,3,91271.03560683952
CAMAMU,Manufacturing,5,16589.010666666665
CAMPO ALEGRE DE LOURDES,Mining,7,401349.72375
CAMPO FORMOSO,Manufacturing,28,39197.7169
CAMPO FORMOSO,Mining,6,19892.745121428572
CANARANA,Manufacturing,20,792469.5185714285
CANARANA,Mining,3,6055.367275204359
CANDEIAS,Manufacturing,147,35002.68933968254
CANDEIAS,Utilities,50,66441.72821428571
CANDEIAS,Trade,3,8882.807213235294
CANDEIAS,Mining,16,60058.08657142857
CANDEIAS,Financial,16,691025.0838947368
CANDIBA,Manufacturing,28,48179.595821550385
CAPELA DO ALTO ALEGRE,Manufacturing,12,3972.162567105263
CARINHANHA,Manufacturing,44,13661.121397039704
CARINHANHA,Transport,4,18615.507295299147
CASTRO ALVES,Manufacturing,9,5318.04125
CATU,Manufacturing,5,178530.5746923077
CATU,Business,4,562857.4545454546
CATU,Mining,28,12910.223361950186
CATURAMA,Manufacturing,9,23352.526
CONCEICAO DA FEIRA,Manufacturing,4,244325.38721868536
CONCEICAO DO COITE,Manufacturing,3,33397.07036894164
CONCEICAO DO JACUIPE,Mining,9,4890.246625327927
CONDE,Manufacturing,4,15686.009545454546
CONDE,Utilities,8,1045.2034855744532
CORRENTINA,Manufacturing,4,939035.3933333334
CRUZ DAS ALMAS,Manufacturing,8,117917.12327
CRUZ DAS ALMAS,Agriculture,8,120762.93680788715
DIAS D'AVILA,Manufacturing,57,36797.83233687943
DIAS D'AVILA,Trade,8,49083.25021012552
ELISIO MEDRADO,Manufacturing,5,41878.85111111111
EUCLIDES DA CUNHA,Manufacturing,7,22562.168461538462
EUNAPOLIS,Manufacturing,72,41398.988376146786
FEIRA DE SANTANA,Manufacturing,277,11697.049497876455
FEIRA DE SANTANA,Utilities,20,1727.6545363247862
FEIRA DE SANTANA,Construction,6,99596.75864583334
FEIRA DE SANTANA,Trade,36,147224.50529411764
FEIRA DE SANTANA,Mining,12,225954.77753731344
FORMOSA DO RIO PRETO,Manufacturing,4,49205.62538194445
GENTIO DO OURO,Manufacturing,18,45462.50685714286
GOVERNADOR MANGABEIRA,Manufacturing,4,1753.2070165824916
GOVERNADOR MANGABEIRA,Construction,8,8441.85119047619
GOVERNADOR MANGABEIRA,Agriculture,17,140652.5542857143
GUANAMBI,Manufacturing,245,19907.380439534885
GUANAMBI,Utilities,15,1752.9065647226173
GUANAMBI,Trade,4,718.6398226091476
IACU,Manufacturing,9,108024.40010280708
IBIASSUCE,Manufacturing,209,15266.178903932947
IBICARAI,Manufacturing,3,38326.37077272728
IBICOARA,Trade,3,49922.034583333334
IBICOARA,Mining,3,27983.5242
IBICUI,Manufacturing,6,6023.30887551353
IBIRAPUA,Manufacturing,29,91388.32607142857
IBITITA,Manufacturing,7,1968163.235
IBOTIRAMA,Manufacturing,64,27065.744908333334
IGAPORA,Manufacturing,20,101483.95515462186
IGRAPIUNA,Manufacturing,12,79770.20358941633
IGRAPIUNA,Agriculture,6,211975.32506225788
ILHEUS,Manufacturing,59,29275.182500000003
ILHEUS,Mining,8,356489.4514846743
INHAMBUPE,Mining,8,21789.533794491526
IPIAU,Mining,5,59124.37318181818
IRECE,Mining,5,283299.77
ITABELA,Manufacturing,3,11706.04198083067
ITABELA,Mining,4,85573.23595405769
ITABERABA,Manufacturing,4,389514.5477230131
ITABUNA,Manufacturing,79,75529.3425
ITABUNA,Utilities,21,81893.629
ITABUNA,Mining,4,4312648.2990366975
ITAGIBA,Mining,10,14156.46935712434
ITAMBE,Manufacturing,12,8794.153843333333
ITAPARICA,Mining,8,8687.72116969257
ITAPE,Manufacturing,12,355533.81
ITAPETINGA,Manufacturing,54,2029.4003608247422
JACARACI,Manufacturing,12,1008.3778164819792
JACOBINA,Manufacturing,8,343386.53086249996
JACOBINA,Business,4,647732.5
JACOBINA,Mining,26,7076.343349999999
JAGUARARI,Mining,11,272681.0036666667
JAGUARIPE,Mining,10,4239.604895226096
JAGUARIPE,OtherServices,3,258.7797513321492
JEREMOABO,Manufacturing,6,461737.14
JUAZEIRO,Manufacturing,86,32168.1875
JUAZEIRO,Utilities,18,25610.437113402062
JUAZEIRO,Mining,7,306.9651741293532
LAGOA REAL,Manufacturing,10,237.2266955835962
LAJE,Manufacturing,18,20279.851366906474
LAPAO,Manufacturing,6,590.6287310776943
LAURO DE FREITAS,Manufacturing,6,38909.27
LAURO DE FREITAS,Construction,9,33013.37887755102
LAURO DE FREITAS,Mining,4,876879.1843226881
LICINIO DE ALMEIDA,Mining,5,317372.25666666665
LUIS EDUARDO MAGALHAES,Manufacturing,62,16616.838055555556
MACARANI,Mining,5,4128.55
MACAUBAS,Mining,4,38004.85768025078
MADRE DE DEUS,Manufacturing,61,8541.129439759035
MAIQUINIQUE,Manufacturing,3,359442.9625
MALHADA DE PEDRAS,Manufacturing,16,7543.519098482566
MANOEL VITORINO,Agriculture,3,2739.10417721519
MARACAS,Mining,9,26195.62732
MATA DE SAO JOAO,Business,4,709.6854552291815
MATA DE SAO JOAO,Mining,20,71494.71498245613
MEDEIROS NETO,Manufacturing,8,75185.05343037876
MORRO DO CHAPEU,Manufacturing,7,334668.60290806077
MORRO DO CHAPEU,Mining,3,129244.07633333333
MORTUGABA,Manufacturing,22,16424.564586397057
MUCURI,Manufacturing,41,7832.267956284153
MUTUIPE,Manufacturing,5,46024.39
NAZARE,Manufacturing,8,8037.7102271498115
NOVA SOURE,Manufacturing,13,543.5954545454546
OLIVEIRA DOS BREJINHOS,Manufacturing,66,20518.67662
OUROLANDIA,Mining,3,194884.91820000001
PALMAS DE MONTE ALTO,Manufacturing,40,8514.382
PALMAS DE MONTE ALTO,Trade,4,9413.665625
PARAMIRIM,Manufacturing,8,122787.75679888533
PARAMIRIM,Business,4,205814.71688311687
PARAMIRIM,Mining,12,3707.9200658444815
PAU BRASIL,Manufacturing,14,512.3864661654135
PAULO AFONSO,Manufacturing,9,2602.01602191319
PAULO AFONSO,Trade,4,14671.57572
PIATA,Mining,3,307738.84239669424
PINDAI,Manufacturing,34,48586.8882
PLANALTO,Manufacturing,14,2388.0450066128315
PLANALTO,Mining,4,26.96885091389562
POJUCA,Manufacturing,17,2031.8967069607843
POJUCA,Business,4,49369.58216759473
POJUCA,Mining,12,484410.40677777777
PONTO NOVO,Manufacturing,8,5150.679742857143
PORTO SEGURO,Manufacturing,4,20760.89149899928
PRADO,Manufacturing,7,3695.1022974358975
PRESIDENTE JANIO QUADROS,Manufacturing,8,6090.078252060826
RIACHAO DAS NEVES,Manufacturing,22,401230.47869298246
RIACHAO DAS NEVES,Mining,5,2247.356847826087
RIACHAO DO JACUIPE,Manufacturing,34,38928.665514261025
RIACHO DE SANTANA,Manufacturing,20,486461.6785135035
RIBEIRA DO POMBAL,Manufacturing,8,4265.603346774194
RIO DO ANTONIO,Manufacturing,32,15915.725487155389
SALVADOR,Manufacturing,81,12295.335303449718
SALVADOR,Utilities,15,17228.873461538464
SALVADOR,Business,15,267987.7315333333
SALVADOR,Construction,58,15986.179283875339
SALVADOR,Trade,8,516682.6188111111
SALVADOR,Mining,29,5227.234704075281
SANTA LUZIA,Manufacturing,24,12927.193677109894
SANTA LUZIA,Utilities,7,2892.42
SANTA LUZIA,Construction,3,158.55875324675324
SANTA MARIA DA VITORIA,Manufacturing,29,49931.0
SANTA RITA DE CASSIA,Mining,5,4948.3646
SANTALUZ,Mining,5,22493.78740558717
SANTO AMARO,Manufacturing,15,402983.631147541
SANTO ANTONIO DE JESUS,Utilities,20,18057.35252777778
SANTO ESTEVAO,Manufacturing,17,882.0111517882286
SAO DESIDERIO,Manufacturing,7,21134.179504419193
SAO FRANCISCO DO CONDE,Manufacturing,67,22097.67
SAO FRANCISCO DO CONDE,Utilities,30,10793.590991831972
SAO FRANCISCO DO CONDE,Mining,12,3163.762475891996
SAO GONCALO DOS CAMPOS,Manufacturing,38,11667.156294846707
SAO SEBASTIAO DO PASSE,Manufacturing,4,2262.9572462121214
SAO SEBASTIAO DO PASSE,Business,4,10177.253562793343
SAO SEBASTIAO DO PASSE,Trade,8,78869.04648809523
SAO SEBASTIAO DO PASSE,Mining,20,96924.17947680691
SATIRO DIAS,Manufacturing,5,132974.60320156475
SENHOR DO BONFIM,Mining,3,6392.8702231548095
SERRA DO RAMALHO,Manufacturing,12,431401.98480000003
SERRA DOURADA,Manufacturing,20,12415.39455681818
SIMOES FILHO,Manufacturing,280,26247.147007246374
SIMOES FILHO,Utilities,27,3985.181494252873
SIMOES FILHO,Business,4,16234.206961142405
SIMOES FILHO,Construction,7,1788.5548387096774
SIMOES FILHO,Mining,14,15422.019142857143
SITIO DO MATO,Manufacturing,52,84179.28536666666
