,Municipio,Setor,Numero de empresas,Mediana_Ecoeficiencia,Cod Municipio
0,ACRELANDIA,Manufacturing,4,1271346.664,1200013
1,ASSIS BRASIL,Utilities,4,30935.367664038444,1200054
2,CRUZEIRO DO SUL,Manufacturing,68,62293.37550000001,1200203
3,CRUZEIRO DO SUL,Utilities,24,25983.969508272057,1200203
4,CRUZEIRO DO SUL,Business,8,16476.028095238096,1200203
5,FEIJO,Utilities,16,348058.1591666667,1200302
6,JORDAO,Utilities,12,194954.94,1200328
7,MANOEL URBANO,Utilities,4,29243.85020281937,1200344
8,MARECHAL THAUMATURGO,Utilities,8,12797.470278698396,1200351
9,PLACIDO DE CASTRO,Manufacturing,8,120.91039458333331,1200385
10,PORTO ACRE,Manufacturing,3,252113.73,1200807
11,PORTO WALTER,Utilities,8,173967.57112745097,1200393
12,RIO BRANCO,Manufacturing,35,25271.621709905663,1200401
13,RIO BRANCO,Construction,23,105165.68574468086,1200401
14,SANTA ROSA DO PURUS,Utilities,12,16472.10335814607,1200435
15,TARAUACA,Utilities,16,85632.21684594953,1200609
16,ARAPIRACA,Manufacturing,44,73694.61942105263,2700300
17,ARAPIRACA,Construction,3,119452.46750819671,2700300
18,ATALAIA,Manufacturing,10,4902.580405369835,2700409
19,ATALAIA,Agriculture,6,556878.5944186046,2700409
20,CAMPO ALEGRE,Manufacturing,29,7965.423213644525,2701407
21,CAMPO ALEGRE,Business,4,21526.1,2701407
22,CAMPO ALEGRE,Mining,26,4723.377418367347,2701407
23,CAPELA,Manufacturing,4,3104.129317773788,2701704
24,CORURIPE,Manufacturing,43,16767.65931547619,2702306
25,CORURIPE,Agriculture,12,41425.18005,2702306
26,DELMIRO GOUVEIA,Manufacturing,6,56820.90179411764,2702405
27,IGACI,Trade,4,355203.8542923976,2703106
28,IGREJA NOVA,Manufacturing,18,41906.608616838486,2703205
29,LAGOA DA CANOA,Manufacturing,4,43719.84912543623,2704104
30,MACEIO,Manufacturing,75,9953.423762748254,2704302
31,MACEIO,Utilities,25,98532.93740112997,2704302
32,MACEIO,Construction,11,1246.838890284757,2704302
33,MAJOR ISIDORO,Manufacturing,21,16736.36447467085,2704401
34,MARECHAL DEODORO,Manufacturing,27,16084.45746031746,2704708
35,MARECHAL DEODORO,Utilities,32,17248.7560655308,2704708
36,MATRIZ DE CAMARAGIBE,Manufacturing,21,17485.4722,2705101
37,OLHO D'AGUA DAS FLORES,Manufacturing,12,54264.1219,2705705
38,PALMEIRA DOS INDIOS,Manufacturing,7,48313.61040268456,2706307
39,PILAR,Manufacturing,12,15472.581625931462,2511509
40,PILAR,Business,4,5675.50152561685,2511509
41,PILAR,Mining,28,15698.390014084507,2511509
42,RIO LARGO,Mining,3,17361.294014375562,2707701
43,SANTA LUZIA DO NORTE,Manufacturing,11,1925.1666666666667,2707909
44,SANTA LUZIA DO NORTE,Trade,4,170938.4838095238,2707909
45,SAO JOSE DA LAJE,Manufacturing,8,453.2569554455446,2708303
46,SAO JOSE DA TAPERA,Construction,4,573689.5458591732,2708402
47,SAO LUIS DO QUITUNDE,Manufacturing,19,22429.936020249224,2708501
48,SAO LUIS DO QUITUNDE,Utilities,23,354320.65406551724,2708501
49,SAO MIGUEL DOS CAMPOS,Manufacturing,38,5319.3738125,2708600
50,SAO MIGUEL DOS CAMPOS,Utilities,19,22973.9764,2708600
51,SAO MIGUEL DOS CAMPOS,Business,4,295416.8456790124,2708600
52,SAO MIGUEL DOS CAMPOS,Mining,28,13748.557780507495,2708600
53,TEOTONIO VILELA,Manufacturing,8,117771.1898181818,2709152
54,TEOTONIO VILELA,Utilities,16,8377.766254097947,2709152
55,UNIAO DOS PALMARES,Business,6,52.534046449364496,2709301
56,CALCOENE,Mining,20,119365.40580536914,1600204
57,FERREIRA GOMES,Manufacturing,4,54230.934245418095,1600238
58,MACAPA,Trade,3,224805.008,1600303
59,MACAPA,Mining,3,3860.470896551724,1600303
60,OIAPOQUE,Manufacturing,8,15275.015625,1600501
61,OIAPOQUE,Business,6,1144403.4182269506,1600501
62,OIAPOQUE,Trade,7,365.8402479338843,1600501
63,SANTANA,Manufacturing,7,320551.6616666667,1600600
64,SANTANA,Utilities,24,125179.243125,1600600
65,SERRA DO NAVIO,Utilities,6,23101712.540000003,1600055
66,ATALAIA DO NORTE,Manufacturing,8,18.886365455196987,1300201
67,AUTAZES,Utilities,3,2510.411550140581,1300300
68,BORBA,Utilities,4,12300.797605060354,1300805
69,COARI,Utilities,8,12856.357086250637,1301209
70,COARI,Business,4,42751.76111111111,1301209
71,COARI,Trade,6,1260002.7,1301209
72,COARI,Mining,28,66671.41846940777,1301209
73,ENVIRA,Manufacturing,8,1000433.6476290886,1301506
74,HUMAITA,Manufacturing,8,2956.1653846153845,1301704
75,HUMAITA,Utilities,4,1303315.88614539,1301704
76,IPIXUNA,Manufacturing,8,304.6462123873874,1301803
77,IRANDUBA,Manufacturing,56,19878.29329032258,1301852
78,IRANDUBA,Utilities,21,21887.631399317404,1301852
79,IRANDUBA,Trade,4,8159.106994407357,1301852
80,ITACOATIARA,Manufacturing,17,458111.28,1301902
81,ITACOATIARA,Trade,7,27502.824285714283,1301902
82,ITACOATIARA,Transport,24,17388.312976580797,1301902
83,MANACAPURU,Manufacturing,3,2848742.836,1302504
84,MANAUS,Manufacturing,1826,17248.48692421053,1302603
85,MANAUS,Utilities,218,11114.02735,1302603
86,MANAUS,Business,3,220895.628,1302603
87,MANAUS,Construction,47,18167.24797742485,1302603
88,MANAUS,Trade,20,16051.355125470514,1302603
89,MANICORE,Manufacturing,7,9632.754595,1302702
90,MANICORE,Business,6,371220.6815,1302702
91,MAUES,Manufacturing,3,1881.959411764706,1302900
92,MAUES,Agriculture,5,27831.443186813187,1302900
93,NOVA OLINDA DO NORTE,Utilities,4,180704.5188970393,1303106
94,PRESIDENTE FIGUEIREDO,Manufacturing,12,23160.46355516605,1303536
95,PRESIDENTE FIGUEIREDO,Business,4,2785146.4291666667,1303536
96,PRESIDENTE FIGUEIREDO,Agriculture,16,16667.147818181817,1303536
97,PRESIDENTE FIGUEIREDO,Mining,12,107567.07538461538,1303536
98,RIO PRETO DA EVA,Manufacturing,3,3322.9754273504277,1303569
99,SAO GABRIEL DA CACHOEIRA,Utilities,5,48.561032534018885,1303809
100,TABATINGA,Manufacturing,6,61257.4925,3552700
101,URUCARA,Mining,5,1762.821445637786,1304302
