Municipio,Setor,Numero de empresas,Mediana_Ecoeficiencia
CAPIXABA,Manufacturing,7,1939305.0551000002
CRUZEIRO DO SUL,Manufacturing,119,32918.0792079208
CRUZEIRO DO SUL,Construction,5,374438.3
CRUZEIRO DO SUL,Trade,21,11450.86464000235
CRUZEIRO DO SUL,Utilities,8,7281166.89075
RIO BRANCO,Manufacturing,77,1271892.0143587352
RIO BRANCO,Trade,43,754706.7224546695
AGUA BRANCA,Construction,7,5676.085250338295
ARAPIRACA,Manufacturing,37,98051.07930278195
ARAPIRACA,Trade,40,176274.46736842106
ARAPIRACA,Agriculture,3,175503.79753391878
ATALAIA,Manufacturing,42,588558.4428302394
BATALHA,Manufacturing,4,164987.66666666666
BATALHA,Trade,8,4915142.71062271
BOCA DA MATA,Manufacturing,3,115143663.46969695
CAMPO ALEGRE,Manufacturing,83,738601.6878747796
CAMPO ALEGRE,Trade,37,61177.64716981133
CAMPO ALEGRE,Mining,13,19169.536473684213
CHA PRETA,Trade,5,2473.4632043911074
COLONIA LEOPOLDINA,Manufacturing,9,20376643.0
CORURIPE,Manufacturing,67,89706.72676518884
CORURIPE,Trade,7,1258823.2680195943
DELMIRO GOUVEIA,Manufacturing,5,2511.8991610738253
GIRAU DO PONCIANO,Trade,7,53566421.385614626
JACARE DOS HOMENS,Manufacturing,5,97829507.57575758
MACEIO,Manufacturing,189,157304.1602603591
MACEIO,Construction,71,132032.0032405655
MACEIO,Trade,231,280067.0442307692
MACEIO,Utilities,29,149352.78833333333
MACEIO,Transport,30,1353640.0562154378
MACEIO,Business,3,12508799.426428571
MACEIO,Mining,18,20844.78807142857
MARAVILHA,Manufacturing,68,1637337.7333333334
MARAVILHA,Trade,70,291830.55
MARAVILHA,Utilities,5,120637.425
MARECHAL DEODORO,Manufacturing,58,2742.33125
MARECHAL DEODORO,Trade,4,5016163285.818108
MARECHAL DEODORO,Business,17,12522335.954545455
MARECHAL DEODORO,Mining,5,127630.46615873015
OLHO D'AGUA DAS FLORES,Trade,10,28217551.172708333
PALMEIRA DOS INDIOS,Manufacturing,72,123177.82421348314
PALMEIRA DOS INDIOS,Construction,4,1480739.1080952382
PALMEIRA DOS INDIOS,Trade,6,162875048.0309442
PENEDO,Manufacturing,7,819705421.6057673
PILAR,Trade,6,1265129.2698296946
PILAR,Transport,25,388520.6923076923
RIO LARGO,Manufacturing,72,696103.0908720931
RIO LARGO,Trade,25,63066.38023809524
SANTANA DO IPANEMA,Trade,11,408588603.7809352
SAO JOSE DA LAJE,Manufacturing,12,8293389.968391426
SAO MIGUEL DOS CAMPOS,Manufacturing,76,34875.60842626247
SAO MIGUEL DOS CAMPOS,Construction,7,1376977.3711377159
SAO MIGUEL DOS CAMPOS,Trade,30,433882.76458333334
SAO MIGUEL DOS CAMPOS,Mining,63,448152.56400742114
SAO SEBASTIAO,Manufacturing,7,53.09868672137138
SAO SEBASTIAO,Construction,36,792764.1033909575
SAO SEBASTIAO,Trade,6,136548.79603846685
SAO SEBASTIAO,Transport,79,358288.9554652778
TEOTONIO VILELA,Manufacturing,35,367493.59285714285
UNIAO DOS PALMARES,Manufacturing,44,1120217.3333333333
VICOSA,Manufacturing,155,20000.0
VICOSA,Construction,12,233028.1888246628
VICOSA,Trade,6,12390.332202749589
VICOSA,Government,12,2429807296.816159
VICOSA,Agriculture,3,9502725.81107143
CALCOENE,Mining,3,8916.9
