,Municipio,Setor,Numero de empresas,Mediana_Ecoeficiencia,Cod Municipio
0,CAPIXABA,Manufacturing,7,1939305.0551,1200179
1,CRUZEIRO DO SUL,Manufacturing,119,32918.0792079208,1200203
2,CRUZEIRO DO SUL,Construction,5,374438.3,1200203
3,CRUZEIRO DO SUL,Trade,21,11450.86464000235,1200203
4,CRUZEIRO DO SUL,Utilities,8,7281166.89075,1200203
5,RIO BRANCO,Manufacturing,77,1271892.0143587352,1200401
6,RIO BRANCO,Trade,43,754706.7224546695,1200401
7,AGUA BRANCA,Construction,7,5676.085250338295,2200202
8,ARAPIRACA,Manufacturing,37,98051.07930278196,2700300
9,ARAPIRACA,Trade,40,176274.46736842106,2700300
10,ARAPIRACA,Agriculture,3,175503.79753391878,2700300
11,ATALAIA,Manufacturing,42,588558.4428302394,2700409
12,BATALHA,Manufacturing,4,164987.66666666666,2201507
13,BATALHA,Trade,8,4915142.71062271,2201507
14,BOCA DA MATA,Manufacturing,3,115143663.46969695,2701001
15,CAMPO ALEGRE,Manufacturing,83,738601.6878747796,2701407
16,CAMPO ALEGRE,Trade,37,61177.64716981133,2701407
17,CAMPO ALEGRE,Mining,13,19169.536473684213,2701407
18,CHA PRETA,Trade,5,2473.4632043911074,2701902
19,COLONIA LEOPOLDINA,Manufacturing,9,20376643.0,2702108
20,CORURIPE,Manufacturing,67,89706.72676518884,2702306
21,CORURIPE,Trade,7,1258823.2680195945,2702306
22,DELMIRO GOUVEIA,Manufacturing,5,2511.8991610738253,2702405
23,GIRAU DO PONCIANO,Trade,7,53566421.38561463,2702900
24,JACARE DOS HOMENS,Manufacturing,5,97829507.57575758,2703403
25,MACEIO,Manufacturing,189,157304.1602603591,2704302
26,MACEIO,Construction,71,132032.0032405655,2704302
27,MACEIO,Trade,231,280067.0442307692,2704302
28,MACEIO,Utilities,29,149352.78833333333,2704302
29,MACEIO,Transport,30,1353640.0562154378,2704302
30,MACEIO,Business,3,12508799.426428571,2704302
31,MACEIO,Mining,18,20844.78807142857,2704302
32,MARAVILHA,Manufacturing,68,1637337.7333333334,2704609
33,MARAVILHA,Trade,70,291830.55,2704609
34,MARAVILHA,Utilities,5,120637.425,2704609
35,MARECHAL DEODORO,Manufacturing,58,2742.33125,2704708
36,MARECHAL DEODORO,Trade,4,5016163285.818108,2704708
37,MARECHAL DEODORO,Business,17,12522335.954545457,2704708
38,MARECHAL DEODORO,Mining,5,127630.46615873017,2704708
39,OLHO D'AGUA DAS FLORES,Trade,10,28217551.172708333,2705705
40,PALMEIRA DOS INDIOS,Manufacturing,72,123177.82421348314,2706307
41,PALMEIRA DOS INDIOS,Construction,4,1480739.1080952382,2706307
42,PALMEIRA DOS INDIOS,Trade,6,162875048.0309442,2706307
43,PENEDO,Manufacturing,7,819705421.6057673,2706703
44,PILAR,Trade,6,1265129.2698296946,2511509
45,PILAR,Transport,25,388520.6923076923,2511509
46,RIO LARGO,Manufacturing,72,696103.0908720931,2707701
47,RIO LARGO,Trade,25,63066.38023809524,2707701
48,SANTANA DO IPANEMA,Trade,11,408588603.7809352,2708006
49,SAO JOSE DA LAJE,Manufacturing,12,8293389.968391426,2708303
50,SAO MIGUEL DOS CAMPOS,Manufacturing,76,34875.60842626247,2708600
51,SAO MIGUEL DOS CAMPOS,Construction,7,1376977.371137716,2708600
52,SAO MIGUEL DOS CAMPOS,Trade,30,433882.7645833333,2708600
53,SAO MIGUEL DOS CAMPOS,Mining,63,448152.56400742114,2708600
54,SAO SEBASTIAO,Manufacturing,7,53.09868672137138,2708808
55,SAO SEBASTIAO,Construction,36,792764.1033909575,2708808
56,SAO SEBASTIAO,Trade,6,136548.79603846683,2708808
57,SAO SEBASTIAO,Transport,79,358288.9554652778,2708808
58,TEOTONIO VILELA,Manufacturing,35,367493.59285714285,2709152
59,UNIAO DOS PALMARES,Manufacturing,44,1120217.3333333333,2709301
60,VICOSA,Manufacturing,155,20000.0,2414902
61,VICOSA,Construction,12,233028.1888246628,2414902
62,VICOSA,Trade,6,12390.332202749589,2414902
63,VICOSA,Government,12,2429807296.816159,2414902
64,VICOSA,Agriculture,3,9502725.81107143,2414902
65,CALCOENE,Mining,3,8916.9,1600204
66,FERREIRA GOMES,Mining,5,402198.21389645775,1600238
67,MACAPA,Manufacturing,3,1689.7697059973125,1600303
68,MACAPA,Trade,12,102983.54379166669,1600303
69,OIAPOQUE,Manufacturing,5,81411.50078843063,1600501
70,PEDRA BRANCA DO AMAPARI,Mining,101,695665.9845022272,1600154
71,SANTANA,Manufacturing,63,1693150.47908643,1600600
72,SANTANA,Construction,4,8077858.222337092,1600600
73,SANTANA,Trade,16,188043.71500000003,1600600
74,SANTANA,Transport,18,42055.97887106918,1600600
75,SERRA DO NAVIO,Utilities,16,42164.78365,1600055
76,VITORIA DO JARI,Mining,20,60432.26744186047,1600808
77,ALVARAES,Utilities,3,145793242.48152173,1300029
78,COARI,Transport,47,10921695.379273504,1301209
79,COARI,Mining,106,1012320.42640773,1301209
80,FONTE BOA,Manufacturing,3,1670403756.8345325,1301605
81,HUMAITA,Trade,14,144996.77623266564,1301704
82,IRANDUBA,Manufacturing,22,1026145.7654157636,1301852
83,ITACOATIARA,Manufacturing,51,1151.8571321428572,1301902
84,ITACOATIARA,Trade,31,1026150.204859219,1301902
85,ITACOATIARA,Utilities,14,1710323.3636363635,1301902
86,ITACOATIARA,Transport,97,11826.438673877768,1301902
87,MANACAPURU,Manufacturing,5,82421746.3007317,1302504
88,MANACAPURU,Utilities,3,396.4202226720648,1302504
89,MANAUS,Manufacturing,7133,100632.31325301203,1302603
90,MANAUS,Construction,178,437443.6111111111,1302603
91,MANAUS,Trade,393,456463.8418079096,1302603
92,MANAUS,Utilities,105,432774.5894308944,1302603
93,MANAUS,Government,18,150970.3451480461,1302603
94,MANAUS,Transport,195,72451.19740684237,1302603
95,MANAUS,Business,42,2947162.527777777,1302603
96,MAUES,Trade,7,53608937.16063117,1302900
97,PARINTINS,Trade,6,512.2899336170212,1303403
98,PRESIDENTE FIGUEIREDO,Manufacturing,5,1607333.8047619048,1303536
99,PRESIDENTE FIGUEIREDO,Agriculture,109,185378.88,1303536
100,TABATINGA,Manufacturing,3,462284270.6,3552700
101,TEFE,Manufacturing,7,410078.0988780012,1304203
102,TEFE,Utilities,3,91484.29,1304203
103,TEFE,Transport,6,1727823.6523785717,1304203
104,URUCARA,Mining,24,4104167.309523809,1304302
105,ALAGOINHAS,Manufacturing,34,56816755.0,2900702
106,ALAGOINHAS,Construction,42,166911.56375,2900702
107,ALAGOINHAS,Transport,78,3090.5400705128204,2900702
108,ALAGOINHAS,Agriculture,11,5883.03172353716,2900702
109,ALCOBACA,Agriculture,14,3904845.283333333,2900801
110,AMARGOSA,Manufacturing,43,36722.99187516815,2901007
111,AMELIA RODRIGUES,Manufacturing,321,70783.57471264368,2901106
112,AMELIA RODRIGUES,Agriculture,4,19738.87692020666,2901106
113,ANDORINHA,Mining,6,1113094.242445233,2901353
114,BARRA,Manufacturing,11,1524702.472064837,2902708
115,BARREIRAS,Manufacturing,98,131646.2923071306,2903201
116,BARREIRAS,Trade,21,29197.4028,2903201
117,BARREIRAS,Agriculture,6,132374.94037551488,2903201
118,BARREIRAS,OtherServices,10,908.6167875459516,2903201
119,BARROCAS,Mining,94,7283.042825361513,2903276
120,BOM JESUS DA LAPA,Manufacturing,16,59040.60303030303,2903904
121,BONITO,Mining,4,653335.0898062902,1501600
122,BREJOES,Trade,13,133661.5481081081,2904308
123,BRUMADO,Manufacturing,33,12035791.0,2904605
124,BRUMADO,Trade,14,5823100.64,2904605
125,BRUMADO,Mining,65,25349.110945945948,2904605
126,BUERAREMA,Trade,46,75030.01947916667,2904704
127,CAATIBA,Manufacturing,34,12963.267507418395,2904803
128,CACHOEIRA,Manufacturing,44,45564.65142857143,2904902
129,CACULE,Manufacturing,14,183728.2837037037,2905008
130,CACULE,Trade,8,10745.0175583524,2905008
131,CAEM,Manufacturing,3,5912.396624999999,2905107
132,CAETITE,Manufacturing,59,161055.05314170383,2905206
133,CAFARNAUM,Trade,5,62287.754400000005,2905305
134,CAIRU,Agriculture,6,604935.9040539216,2905404
135,CAMACARI,Manufacturing,2721,148837.14772727274,2905701
136,CAMACARI,Construction,39,7932857.313040866,2905701
137,CAMACARI,Trade,58,3340.52633,2905701
138,CAMACARI,Utilities,137,332817.7540767386,2905701
139,CAMACARI,Transport,36,5115692.875,2905701
140,CAMACARI,OtherServices,14,3703223.4146341463,2905701
141,CAMACARI,Business,16,12.061137837298894,2905701
142,CAMAMU,Manufacturing,7,33997316.34597066,2905800
143,CAMPO ALEGRE DE LOURDES,Mining,7,206.96474285714288,2905909
144,CAMPO FORMOSO,Manufacturing,23,18933688.409703504,2906006
145,CAMPO FORMOSO,Mining,14,17207.97870901639,2906006
146,CANAVIEIRAS,Trade,6,6637180.087692307,2906303
147,CANDEIAS,Manufacturing,539,541182.2295198111,2906501
148,CANDEIAS,Construction,4,2116351.8735453887,2906501
149,CANDEIAS,Trade,43,33967.01741334205,2906501
150,CANDEIAS,Transport,88,260994.13513513515,2906501
151,CANDEIAS,Mining,30,7196.463950980392,2906501
152,CANDIBA,Manufacturing,4,2247775.4424651475,2906600
153,CANSANCAO,Trade,4,24686.356431259683,2906808
154,CAPIM GROSSO,Trade,4,733.5477745454546,2906873
155,CASA NOVA,Manufacturing,20,83562.2799849606,2907202
156,CASTRO ALVES,Manufacturing,66,608808.8736471862,2907301
157,CASTRO ALVES,Trade,15,12738.803366014856,2907301
158,CATU,Manufacturing,13,1892341.3063477464,2907509
159,CATU,Mining,229,1396029.7718421053,2907509
160,CATURAMA,Manufacturing,4,445843.6990866175,2907558
161,CONCEICAO DO ALMEIDA,Manufacturing,8,180075.30500000002,2908309
162,CONCEICAO DO COITE,Manufacturing,52,4668216.474233529,2908408
163,CONCEICAO DO JACUIPE,Manufacturing,117,514828.34304207127,2908507
164,CONCEICAO DO JACUIPE,Trade,13,1349363.3854761904,2908507
165,CONCEICAO DO JACUIPE,Transport,9,3896919.247619048,2908507
166,CONCEICAO DO JACUIPE,OtherServices,3,1322.5754000000002,2908507
167,CONCEICAO DO JACUIPE,Mining,4,45974.27508662585,2908507
168,CORACAO DE MARIA,Manufacturing,18,8087.224297584049,2908903
169,CORIBE,Trade,3,5.2767928289027015,2909109
170,CORRENTINA,Manufacturing,4,2363666853.602816,2909307
171,CORRENTINA,Agriculture,14,36240.02250712251,2909307
172,CORRENTINA,OtherServices,13,20202.35947580645,2909307
173,CORRENTINA,Mining,6,31008312.80770122,2909307
174,CRUZ DAS ALMAS,Manufacturing,12,1151624.6972519148,2909802
175,CRUZ DAS ALMAS,Agriculture,4,1463565.0096205485,2909802
176,CURACA,Trade,3,91854.82223605084,2909901
177,DIAS D'AVILA,Manufacturing,123,205282.3010353261,2910057
178,DIAS D'AVILA,Transport,5,1460.1292468519837,2910057
179,DIAS D'AVILA,OtherServices,6,7452.18,2910057
180,ENTRE RIOS,Agriculture,10,48246742.606742375,4205175
181,ESPLANADA,Agriculture,4,860.1019961612284,2910602
182,EUCLIDES DA CUNHA,Manufacturing,8,35279113.3902439,2910701
183,EUNAPOLIS,Manufacturing,113,89162.52312184189,2910727
184,FEIRA DE SANTANA,Manufacturing,833,156464.57857142857,2910800
185,FEIRA DE SANTANA,Construction,33,96369.94186721064,2910800
186,FEIRA DE SANTANA,Trade,113,383020.2805755396,2910800
187,FEIRA DE SANTANA,Utilities,41,72352.18267857144,2910800
188,FEIRA DE SANTANA,Transport,6,45233699827.15016,2910800
189,FEIRA DE SANTANA,Business,3,45634.16810344828,2910800
190,FEIRA DE SANTANA,Mining,3,7055046.173374613,2910800
191,FIRMINO ALVES,Manufacturing,68,12790.390208333334,2910909
192,FORMOSA DO RIO PRETO,Trade,3,109490.2605,2911105
193,GANDU,Trade,10,303008.0774573673,2911204
194,GLORIA,Agriculture,5,79353.7,2911402
195,GOVERNADOR MANGABEIRA,Manufacturing,4,28984.59935897436,2911600
196,GUANAMBI,Manufacturing,41,26307.06291861698,2911709
197,IACU,Manufacturing,16,74731.78686635944,2911907
