,Municipio,Mediana_Ecoeficiencia
0,ACRELANDIA,1069375.1509615385
1,ASSIS BRASIL,348567071.1999999
2,BRASILEIA,6135474.130385487
3,CAPIXABA,15569452.94469919
4,CRUZEIRO DO SUL,986052.3222003931
5,FEIJO,138932.93708333332
6,JORDAO,22669356.499999996
7,MANOEL URBANO,7594102.0
8,MARECHAL THAUMATURGO,1743035380.685185
9,PLACIDO DE CASTRO,2528506.9999999995
10,PORTO ACRE,181153.90051369864
11,PORTO WALTER,1088601.325
12,RIO BRANCO,2831667.5125
13,SANTA ROSA DO PURUS,10843.747857142856
14,SENADOR GUIOMARD,1018538.3280416668
15,TARAUACA,1304633.3657967988
16,AGUA BRANCA,10525.15
17,ANADIA,4528430.476862228
18,ARAPIRACA,499206.5546296296
19,ATALAIA,219672.86346153842
20,BARRA DE SANTO ANTONIO,204616.73221707315
21,BATALHA,53187.309583333335
22,BOCA DA MATA,1305277.27
23,CAMPO ALEGRE,1054069.65
24,CAPELA,1568063.7333333334
25,CORURIPE,2636032.9455184536
26,CRAIBAS,135.00132796881786
27,DELMIRO GOUVEIA,1326593.7528089888
28,ESTRELA DE ALAGOAS,1341984.08
29,IGACI,622967.7389162562
30,LAGOA DA CANOA,16367134.55857143
31,MACEIO,653000.7705384616
32,MAJOR ISIDORO,1952720.0
33,MARECHAL DEODORO,1555354.0313636363
34,MATRIZ DE CAMARAGIBE,16568800.0
35,OLHO D'AGUA DAS FLORES,415919.9733108108
36,OLIVENCA,5864238268.5
37,PALMEIRA DOS INDIOS,151438.25
38,PENEDO,2052967.8
39,PIACABUCU,63020043.50000001
40,PILAR,1403972.46
41,PORTO CALVO,2898459.024390244
42,QUEBRANGULO,163511.31411764707
43,RIO LARGO,1321283.2264285716
44,SANTA LUZIA DO NORTE,72052246.42857143
45,SANTANA DO IPANEMA,2427342.653846154
46,SAO JOSE DA LAJE,7254380.147058823
47,SAO JOSE DA TAPERA,1412254.857142857
48,SAO LUIS DO QUITUNDE,32401503.4
49,SAO MIGUEL DOS CAMPOS,572246.8708333333
50,SAO SEBASTIAO,388994.12
51,SATUBA,9959822.7
52,TEOTONIO VILELA,1657446.355576923
53,UNIAO DOS PALMARES,57318700.0
54,CALCOENE,349270.2
55,FERREIRA GOMES,149556.159375
56,LARANJAL DO JARI,92956.81333333334
57,MACAPA,5253410.899999999
58,MAZAGAO,1603123.0769230768
59,OIAPOQUE,444246.6666666666
60,PEDRA BRANCA DO AMAPARI,580717.5264492754
61,SANTANA,684094.2222222222
62,SERRA DO NAVIO,6819982.987341771
63,VITORIA DO JARI,1594357.5342465753
64,ALVARAES,482909.3243243243
65,AMATURA,3204212.083333333
66,ANAMA,18653427.51764706
67,ANORI,14621661.61
68,APUI,964722.4428571429
69,ATALAIA DO NORTE,356088.969
70,AUTAZES,766662.4116666666
71,BARCELOS,3636248.998734177
72,BARREIRINHA,2807818.190416666
73,BENJAMIN CONSTANT,1119812.794117647
74,BERURI,375602.7903030303
75,BOA VISTA DO RAMOS,77567.60563380281
76,BORBA,14258175.5
77,CAAPIRANGA,2636567.9278846155
78,CANUTAMA,1431808.5333333332
79,CARAUARI,642718.8860954569
80,CAREIRO,138988.0264
81,CAREIRO DA VARZEA,181227.47058823527
82,COARI,2823763.0
83,CODAJAS,3311650.7888888884
84,EIRUNEPE,257345.77333333335
85,ENVIRA,72269.76525
86,FONTE BOA,20706.20803393665
87,HUMAITA,644147.5425
88,IPIXUNA,599094.2424242424
89,IRANDUBA,894152.8089887641
90,ITACOATIARA,1573909.97
91,ITAMARATI,6939569.142857143
92,ITAPIRANGA,523199.97023809527
93,JAPURA,1828913.5714285711
94,JURUA,1397674.0587878786
95,JUTAI,54196.925208333334
96,LABREA,391651.5861895161
97,MANACAPURU,1955662.86
98,MANAQUIRI,123426.09999999999
99,MANAUS,1580691.524808743
100,MANICORE,304335.8157894737
101,MARAA,1698043.4210526315
102,MAUES,3043385.5
103,NHAMUNDA,1951534.1538461538
104,NOVA OLINDA DO NORTE,2737139.6
105,NOVO AIRAO,1001187.5044642857
106,NOVO ARIPUANA,4418296.333333334
107,PARINTINS,164543.75384615385
108,PAUINI,227456.975
109,PRESIDENTE FIGUEIREDO,492395.5170293283
110,RIO PRETO DA EVA,231728.3488043766
111,SANTA ISABEL DO RIO NEGRO,352682.22222222225
112,SANTO ANTONIO DO ICA,2317870.775
113,SAO GABRIEL DA CACHOEIRA,553341.3714285714
114,SAO PAULO DE OLIVENCA,3862024.045736434
115,SAO SEBASTIAO DO UATUMA,10050504.0
116,SILVES,279199.41712500004
117,TABATINGA,1690378.8575
118,TAPAUA,641642.8888888889
119,TEFE,862615.4477306708
120,TONANTINS,830219.2261904762
121,UARINI,518909.49394067796
122,URUCARA,952601.2933333335
123,URUCURITUBA,700764.1846270736
124,ALAGOINHAS,2323934.647619047
125,ALCOBACA,2056670.849189189
126,AMARGOSA,2771783.6114678895
127,AMELIA RODRIGUES,714149.0944999999
128,ANAGE,1026636.77
129,ANDORINHA,933418.6082291667
130,AURELINO LEAL,527108.226010101
131,BARRA,50250031.01654598
132,BARRA DO CHOCA,564433.3333333334
133,BARRA DO MENDES,1817284.60942029
134,BARREIRAS,878146.6666666667
135,BARROCAS,1950564.7972972973
136,BELMONTE,1641572.08
137,BELO CAMPO,130433.6652892562
138,BOM JESUS DA LAPA,5646230.0
139,BOQUIRA,11251047.535714284
140,BRUMADO,2415617.9516666667
141,CAATIBA,26792.321111111112
142,CACHOEIRA,773626.9718045112
143,CACULE,1960161.1875
144,CAETANOS,750528.0891566265
145,CAETITE,1728492.4761904762
146,CAMACARI,1173773.3371428573
147,CAMPO ALEGRE DE LOURDES,29775927.0
148,CAMPO FORMOSO,78461.38971428572
149,CANARANA,56574930.188571416
150,CANAVIEIRAS,15385394.02777778
151,CANDEIAS,1468296.776
152,CANDIBA,4470961.128440367
153,CAPELA DO ALTO ALEGRE,459644.37142857147
154,CARINHANHA,1330614.895
155,CASA NOVA,372362.5
156,CASTRO ALVES,5672309.777333333
157,CATU,1034163.88
158,CATURAMA,9121605.095777776
159,CONCEICAO DA FEIRA,5956018.367346939
160,CONCEICAO DO ALMEIDA,5736344.439428572
161,CONCEICAO DO COITE,1723602.0
162,CONCEICAO DO JACUIPE,2100948.86
163,CONDE,1225341.6666666667
164,CORRENTINA,1438742.566666667
165,CRUZ DAS ALMAS,41843.75
166,CURACA,5458175.0
167,DIAS D'AVILA,522313.68799999997
168,DOM MACEDO COSTA,300165.42
169,ENCRUZILHADA,6647128.488129496
170,ENTRE RIOS,5390517.305039788
171,ESPLANADA,210150.09666666668
172,EUCLIDES DA CUNHA,26783.151272727275
173,EUNAPOLIS,973702.4356382978
174,FEIRA DE SANTANA,1155852.5083333333
175,FIRMINO ALVES,228162151.13338462
176,FORMOSA DO RIO PRETO,7638.880533333334
177,GANDU,484289.885
178,GENTIO DO OURO,10430694.0
179,GLORIA,387676.38749999995
180,GUANAMBI,1832727.4609137056
181,IBIASSUCE,605748.0480930232
182,IBICARAI,394644.7938813747
183,IBICOARA,2418976.3762499997
184,IBICUI,13829762.666666666
185,IBIRAPUA,298110.4198113207
186,IBITIARA,755522.3174603174
187,IBITITA,2378.5043975903614
188,IBOTIRAMA,1018288.81
189,IGAPORA,2066361.1818181819
190,IGRAPIUNA,332750.0
191,IGUAI,1480683.2179999999
192,ILHEUS,2201815.625
193,INHAMBUPE,18097954.94019608
194,IPIAU,2923229.584261603
195,IPIRA,912379.9705882352
196,IPUPIARA,3966396.815625
197,IRAQUARA,193032.3541666667
198,IRECE,2027392.22
199,ITABELA,83990.20301455302
200,ITABERABA,9671531.0
201,ITABUNA,1516822.5310199072
202,ITAGIBA,1030232.2028985508
203,ITAGIMIRIM,5876247.256292906
204,ITAGUACU DA BAHIA,137740.41607574536
205,ITAJUIPE,30129445.299999997
206,ITAMBE,1886091.9659999998
207,ITANHEM,266418.2931282051
208,ITAPARICA,204109129.0525
209,ITAPE,6140446.0825892845
210,ITAPETINGA,987433.6046296296
211,ITARANTIM,18235499.388
212,ITIUBA,9917051.999999998
