,Municipio,Mediana_Ecoeficiencia
0,ACRELANDIA,6.176878767123287
1,ASSIS BRASIL,0.2276020512820513
2,BRASILEIA,6.802104347826087
3,BUJARI,3453.300958287704
4,CAPIXABA,1019.7147188533627
5,CRUZEIRO DO SUL,339.37878171680217
6,FEIJO,560.5214919712181
7,JORDAO,88.62681762843926
8,MANOEL URBANO,341536.74936279864
9,MARECHAL THAUMATURGO,18.313697368421053
10,PLACIDO DE CASTRO,370.64186159289983
11,PORTO ACRE,5703.328028569472
12,PORTO WALTER,42.000106881680104
13,RIO BRANCO,368.07546
14,SANTA ROSA DO PURUS,3.076743043478261
15,SENA MADUREIRA,48.46550657894737
16,SENADOR GUIOMARD,209532.82092034354
17,TARAUACA,25.556158902168953
18,XAPURI,86563.7303162348
19,ANADIA,13455.374025974026
20,ARAPIRACA,1751.34855
21,ATALAIA,492.7369406480524
22,BATALHA,10674.898146570717
23,BELO MONTE,4.748002979166667
24,BOCA DA MATA,25.494252529752433
25,CAMPO ALEGRE,225.31418400520155
26,CAPELA,343.1299179950474
27,CORURIPE,165.7824943478261
28,CRAIBAS,737.0732413596215
29,DELMIRO GOUVEIA,2430.756919962642
30,ESTRELA DE ALAGOAS,6760.970894726642
31,IGACI,72.92565771551725
32,IGREJA NOVA,7.999316851609091
33,JAPARATINGA,4341244.607464296
34,LAGOA DA CANOA,348.29777321352157
35,MACEIO,385.5904213836478
36,MAJOR ISIDORO,280.9569455725847
37,MARAGOGI,1918.578719725587
38,MARECHAL DEODORO,507.6166562328556
39,MATRIZ DE CAMARAGIBE,47.60869361610209
40,OLHO D'AGUA DAS FLORES,74086.31910567581
41,PALMEIRA DOS INDIOS,1897.2891958333335
42,PASSO DE CAMARAGIBE,360230.2635742402
43,PENEDO,3312.3974
44,PILAR,5562.653948508784
45,RIO LARGO,420.89415347137634
46,SANTA LUZIA DO NORTE,101.60071609798776
47,SANTANA DO IPANEMA,112.21343205128206
48,SAO JOSE DA LAJE,749.0852547545655
49,SAO JOSE DA TAPERA,2999.1544280555586
50,SAO LUIS DO QUITUNDE,314.86953620286954
51,SAO MIGUEL DOS CAMPOS,10193.561144812278
52,SAO SEBASTIAO,655.1787555555555
53,SATUBA,780.014365260557
54,TAQUARANA,48.59450449538213
55,TEOTONIO VILELA,11347.275
56,UNIAO DOS PALMARES,71.13255766342549
57,CALCOENE,166.94115442313552
58,FERREIRA GOMES,6766.364006406011
59,MACAPA,15.485371425294227
60,OIAPOQUE,636.8877149041435
61,PEDRA BRANCA DO AMAPARI,7791.163037857803
62,PORTO GRANDE,3162.133370115774
63,SANTANA,8610.356496492197
64,SERRA DO NAVIO,159.72312540333186
65,VITORIA DO JARI,92.10409256198348
66,ALVARAES,207.58756557499999
67,AMATURA,37.16362264
68,ANORI,915.0203347368421
69,APUI,104.55187199364703
70,ATALAIA DO NORTE,319.01675693627226
71,AUTAZES,144.08833347030964
72,BARCELOS,108.54428333333334
73,BARREIRINHA,460.2624702708334
74,BENJAMIN CONSTANT,100.60656832377649
75,BERURI,31.5415873015873
76,BOA VISTA DO RAMOS,542.0699033890887
77,BOCA DO ACRE,2612.1759821965966
78,BORBA,38184.72617285477
79,CAAPIRANGA,221.0398060189166
80,CANUTAMA,42.654785151515156
81,CARAUARI,17.477795281806085
82,CAREIRO,598.5186213235295
83,CAREIRO DA VARZEA,179.79461095238094
84,COARI,496.06484375
85,CODAJAS,398.91080312500003
86,EIRUNEPE,2159.010888888889
87,ENVIRA,163.56719989619782
88,FONTE BOA,992.7844
89,HUMAITA,2752.5989142857143
90,IPIXUNA,3512.7158160300014
91,IRANDUBA,1416.0986708333335
92,ITACOATIARA,341.32879052631574
93,ITAMARATI,821.3986770954127
94,ITAPIRANGA,358.303627736085
95,JAPURA,82.87370221557582
96,JURUA,3.172217613168724
97,JUTAI,944.7038784530387
98,LABREA,654.7449741334713
99,MANACAPURU,72.22630231667189
100,MANAQUIRI,5561.699278205128
101,MANAUS,308.4346577246283
102,MANICORE,207.93712250886054
103,MARAA,9416.37638907717
104,MAUES,4352.1173561495
105,NHAMUNDA,43283.456033848415
106,NOVA OLINDA DO NORTE,167.91533052418043
107,NOVO AIRAO,18.61028754369904
108,NOVO ARIPUANA,5393.178666666667
109,PARINTINS,163.293351
110,PAUINI,16.61448608695652
111,PRESIDENTE FIGUEIREDO,995.4549867098116
112,RIO PRETO DA EVA,38.51275117089463
113,SANTA ISABEL DO RIO NEGRO,61.081378525851804
114,SANTO ANTONIO DO ICA,1499.0110246733911
115,SAO GABRIEL DA CACHOEIRA,253.88966961398575
116,SAO PAULO DE OLIVENCA,15.827964795918367
117,SAO SEBASTIAO DO UATUMA,837.9587258698687
118,SILVES,135.77975730999864
119,TABATINGA,201.86882141691152
120,TAPAUA,761.2132451880266
121,TEFE,179.0470213776722
122,TONANTINS,808.9315357142857
123,UARINI,70.71105063940156
124,URUCARA,349.3710689655172
125,URUCURITUBA,161.91065600000002
126,AGUA FRIA,105.22205287116799
127,ALAGOINHAS,193.30038326928707
128,ALCOBACA,31.74573668402439
129,AMARGOSA,2443.347209111316
130,AMELIA RODRIGUES,379.28689075630257
131,ANDORINHA,48.330188823873414
132,ARACAS,637.3639445181744
133,AURELINO LEAL,58.382506527415146
134,BARRA,102.94659625627087
135,BARRA DO CHOCA,83.57110954395863
136,BARREIRAS,94.0382623238045
137,BARROCAS,2368.4329798542685
138,BELMONTE,187.50646902901786
139,BELO CAMPO,39.40170581842105
140,BOM JESUS DA LAPA,499.2220527821113
141,BOQUIRA,998.4853160285529
142,BRUMADO,172.99195821387514
143,CACHOEIRA,157.05897437840832
144,CACULE,454.6202906145784
145,CAETANOS,942.8213441666668
146,CAETITE,205.1064319047619
147,CAMACAN,12106.998430953367
148,CAMACARI,258.3821450081075
149,CAMAMU,2.2026498756218906
150,CAMPO ALEGRE DE LOURDES,135.05172932330825
151,CAMPO FORMOSO,591.528892820714
152,CANARANA,10496.033079093448
153,CANAVIEIRAS,1570.5522666892768
154,CANDEIAS,186.22096214276877
155,CANDIBA,2508.658461538462
156,CAPELA DO ALTO ALEGRE,30.464937127532778
157,CARINHANHA,120.18484771715244
158,CASA NOVA,595.7358687308918
159,CASTRO ALVES,289.6707545
160,CATU,188.50304486475542
161,CATURAMA,347.2867205094075
162,CONCEICAO DA FEIRA,31.1507967860587
163,CONCEICAO DO ALMEIDA,37.16773920419246
164,CONCEICAO DO COITE,111578.20289385159
165,CONCEICAO DO JACUIPE,142.3305805036036
166,CONDEUBA,68.23211445767993
167,CORACAO DE MARIA,1074.0365886969473
168,CORDEIROS,2215.982823666494
169,CORONEL JOAO SA,1768.0014116816658
170,CORRENTINA,55.444328321033204
171,CRUZ DAS ALMAS,262.6969879771608
172,CURACA,22.10678246457585
173,DIAS D'AVILA,273.50356
174,DOM MACEDO COSTA,1.3235037251263797
175,ENCRUZILHADA,120.85847635501611
176,ESPLANADA,191.40656178320387
177,EUCLIDES DA CUNHA,30999.681221072588
178,EUNAPOLIS,202.30867807977407
179,FEIRA DE SANTANA,202.20765667189062
180,FORMOSA DO RIO PRETO,55577.11577346006
181,GENTIO DO OURO,4316.499185770892
182,GOVERNADOR MANGABEIRA,2211.7108828293576
183,GUANAMBI,210.85420100913876
184,IACU,49468.82638435697
185,IBIASSUCE,336.22296795398523
186,IBICARAI,27453.373879747684
187,IBICOARA,10193.503008438922
188,IBICUI,263890.8553796296
189,IBIRAPUA,48.87487050189394
190,IBITITA,2.6395401630434785
191,IBOTIRAMA,1035.962393027246
192,IGAPORA,237.4330715859031
193,IGRAPIUNA,18311.3184474181
194,ILHEUS,332.4004197192074
195,INHAMBUPE,3423.63607
196,IPIAU,630.4113362260975
197,IPIRA,1335.27465
198,IPUPIARA,781.718755900891
199,IRAQUARA,3295.4773208345932
200,IRECE,845.4144237918215
201,ITABELA,530.1411913793104
202,ITABERABA,607.2802320682333
203,ITABUNA,152.30401963534362
204,ITACARE,1125.741888095238
205,ITAGIBA,21.624974728070175
206,ITAGIMIRIM,2834.8428167844977
207,ITAGUACU DA BAHIA,103.85207943661972
208,ITAJUIPE,78.57868017543859
209,ITAMARAJU,122.49899714082997
210,ITAMBE,792.0530528255528
211,ITANHEM,44.90833696656398
212,ITAPARICA,552.5438238299763
213,ITAPE,816.766172797619
214,ITAPETINGA,123.3235987
215,ITARANTIM,552.0825064174587
216,ITORORO,2800.1054378997287
217,ITUACU,697.3635680851064
218,JABORANDI,3845.3788297872343
219,JACARACI,6700.805736098216
220,JACOBINA,55.249209717209276
221,JAGUARARI,2284.1151146666666
222,JAGUARIPE,2068.946801723626
223,JEQUIE,344.2731750908192
224,JEREMOABO,200.74275950375673
225,JIQUIRICA,9.369854285008644
226,JITAUNA,30.525
227,JUAZEIRO,216.2231446153846
228,JUSSARA,376.8072876804248
229,LAGOA REAL,55346.351282051284
230,LAJE,465.892539892785
231,LAJEDAO,51022.94629984016
232,LAPAO,164.76816210815758
233,LAURO DE FREITAS,413.42034
234,LICINIO DE ALMEIDA,648.5280071251635
235,LIVRAMENTO DE NOSSA SENHORA,13.861945174776949
236,LUIS EDUARDO MAGALHAES,256.1967037037037
237,MACARANI,69.36093697478992
238,MACAUBAS,45194.62904716022
239,MADRE DE DEUS,37.87426674045379
240,MAIQUINIQUE,3543.657542280672
241,MALHADA,411.8644034146341
242,MALHADA DE PEDRAS,1161.0393304347826
243,MARACAS,105.2625743040658
244,MARAGOGIPE,1902.7324936815442
245,MARAU,259.61176714285716
246,MATA DE SAO JOAO,531.1741118808998
247,MEDEIROS NETO,41.77127390775057
248,MIGUEL CALMON,340.5690592039801
249,MORRO DO CHAPEU,379.14129032258063
250,MORTUGABA,70.5388265353654
251,MUCUGE,11361.995271117012
252,MUCURI,171.99381871965173
253,MURITIBA,1845.683248316498
254,MUTUIPE,7.890630935728485
255,NAZARE,187.47932158724626
256,NORDESTINA,3897.102013832451
257,NOVA SOURE,632.7216560118555
258,NOVA VICOSA,1585.115925
259,OLINDINA,268972.6535835449
260,OLIVEIRA DOS BREJINHOS,1604.4314862686786
261,OUROLANDIA,254.40488206230697
262,PALMAS DE MONTE ALTO,13.350107770920483
263,PALMEIRAS,152.10857146434415
264,PARAMIRIM,313.9589049244788
265,PARATINGA,1269.9895833333333
266,PAU BRASIL,7.607001278118609
267,PAULO AFONSO,511.33880579010855
268,PIATA,752.1478782608696
269,PINDAI,61.953508671241416
270,PINDOBACU,854.957125
271,PIRAI DO NORTE,4369.865900594631
272,PIRITIBA,23.908403111679455
273,PLANALTO,1348.249219575939
274,POJUCA,198.70480785653288
275,PONTO NOVO,47.25364428202451
276,PORTO SEGURO,423.8454077883909
277,POTIRAGUA,77534.77629305901
278,PRADO,28.120682133333332
279,PRESIDENTE JANIO QUADROS,8364.677902612773
280,QUIXABEIRA,9173.1926301293
281,RIACHAO DAS NEVES,256.2934348311615
282,RIACHAO DO JACUIPE,106.78601413692803
283,RIACHO DE SANTANA,15.60433014192636
284,RIBEIRA DO POMBAL,4138.0336
285,RIO DO ANTONIO,533.6689127402723
286,RIO REAL,92.86816666666667
287,RUY BARBOSA,352.11539130434784
288,SALVADOR,223.84890227272726
289,SANTA CRUZ CABRALIA,41.901760406342916
290,SANTA LUZIA,313.44938875692793
291,SANTA MARIA DA VITORIA,696.4480350121448
292,SANTA RITA DE CASSIA,11.176835357624832
293,SANTA TERESINHA,6.995330661480779
294,SANTALUZ,2388.246044386423
295,SANTO ANTONIO DE JESUS,774.7808187931034
296,SANTO ESTEVAO,2005.4277670126871
297,SAO DESIDERIO,357.3062379518072
298,SAO FELIX,118.67863
299,SAO FELIX DO CORIBE,537376.08348135
300,SAO FRANCISCO DO CONDE,228.0745565021298
301,SAO GONCALO DOS CAMPOS,154.46949137577002
302,SAO SEBASTIAO DO PASSE,110.41239695166396
303,SAPEACU,30005.545624488845
304,SEABRA,42.63703155339806
305,SENHOR DO BONFIM,58.666240484027554
306,SENTO SE,166.35196249999998
307,SERRA DO RAMALHO,19813.579454217765
308,SERRA DOURADA,314.4406232
309,SERRINHA,2930.876614537391
310,SIMOES FILHO,570.54748
311,SITIO DO MATO,28.47019676578757
312,TANHACU,22.500311449185467
313,TANQUE NOVO,37.68970837719298
314,TEIXEIRA DE FREITAS,423.9872766666666
315,TEODORO SAMPAIO,348.77635377681196
316,TERRA NOVA,5693.985587225742
317,TREMEDAL,108.1797309555262
318,UAUA,3624.4738983050847
319,UBAITABA,51355.67793931731
320,UNA,3261.157578544273
321,URANDI,256.0955840336134
322,URUCUCA,5.454321802526177
323,VALENCA,622.9339133333333
324,VALENTE,159.7884800297619
325,VERA CRUZ,67.99243458106676
326,VITORIA DA CONQUISTA,182.26245383333332
327,XIQUE-XIQUE,219.74486425153646
328,ACARAPE,147.74125656565656
329,ACARAU,131.6753954011849
330,ACOPIARA,970.6296679438059
331,ALTO SANTO,18.47523771428571
332,AMONTADA,92.69110331489784
333,ANTONINA DO NORTE,135.0479951742633
334,APUIARES,68.29003946490938
335,AQUIRAZ,1013.6617175983437
336,ARACATI,116.35290133333334
337,ARACOIABA,232.2093943792057
338,ASSARE,41.498525777116406
339,BANABUIU,27467.422813047284
340,BARBALHA,3644.718795505618
341,BARREIRA,11490.579078455201
