,Municipio,Mediana_Ecoeficiencia
0,ACRELANDIA,1271346.6639999999
1,ASSIS BRASIL,30935.367664038444
2,BRASILEIA,438.10904564315354
3,CRUZEIRO DO SUL,38474.88677222222
4,FEIJO,348058.1591666667
5,JORDAO,194954.94
6,MANOEL URBANO,29243.85020281937
7,MARECHAL THAUMATURGO,12797.470278698396
8,PLACIDO DE CASTRO,120.91039458333333
9,PORTO ACRE,252113.73
10,PORTO WALTER,173967.57112745097
11,RIO BRANCO,49818.951635414356
12,SANTA ROSA DO PURUS,16472.10335814607
13,SENADOR GUIOMARD,6643110.71
14,TARAUACA,102324.20484939759
15,ARAPIRACA,87739.28
16,ATALAIA,185696.78420000002
17,BOCA DA MATA,75390357.39
18,CAMPO ALEGRE,7965.423213644525
19,CAPELA,3104.129317773788
20,CORURIPE,27860.595982142855
21,DELMIRO GOUVEIA,56820.90179411764
22,IGACI,355203.8542923976
23,IGREJA NOVA,41906.608616838486
24,LAGOA DA CANOA,43719.84912543623
25,MACEIO,13337.560113072574
26,MAJOR ISIDORO,16736.36447467085
27,MARECHAL DEODORO,16321.125523809524
28,MATRIZ DE CAMARAGIBE,17485.4722
29,OLHO D'AGUA DAS FLORES,54264.1219
30,PALMEIRA DOS INDIOS,48313.610402684564
31,PILAR,13077.335762711866
32,RIO LARGO,42987.56267336334
33,SANTA LUZIA DO NORTE,22660.31747857143
34,SANTANA DO IPANEMA,13994469.113775
35,SAO JOSE DA LAJE,453.2569554455446
36,SAO JOSE DA TAPERA,573689.5458591732
37,SAO LUIS DO QUITUNDE,73303.42
38,SAO MIGUEL DOS CAMPOS,14559.385945679012
39,TEOTONIO VILELA,54856.80027271577
40,UNIAO DOS PALMARES,52.534046449364496
41,CALCOENE,146980.26161073826
42,FERREIRA GOMES,64807.09154639175
43,MACAPA,6874.087027153558
44,OIAPOQUE,14740.570562500001
45,SANTANA,143172.08411764706
46,SERRA DO NAVIO,23101712.540000003
47,ATALAIA DO NORTE,18.886365455196987
48,AUTAZES,2510.411550140581
49,BOCA DO ACRE,27.641318427139552
50,BORBA,12300.797605060354
51,COARI,75453.74809844003
52,ENVIRA,1000433.6476290886
53,HUMAITA,4907.020569306931
54,IPIXUNA,304.6462123873874
55,IRANDUBA,19575.73427761162
56,ITACOATIARA,33068.920263157896
57,MANACAPURU,1424379.5711090001
58,MANAUS,16609.403934065936
59,MANICORE,9632.754595
60,MAUES,26844.345902798857
61,NOVA OLINDA DO NORTE,180704.51889703932
62,NOVO AIRAO,151499.23025978648
63,PRESIDENTE FIGUEIREDO,43687.435332197616
64,RIO PRETO DA EVA,3322.9754273504273
65,SAO GABRIEL DA CACHOEIRA,48.561032534018885
66,TABATINGA,61257.4925
67,URUCARA,1762.821445637786
68,ALAGOINHAS,12861.219868217055
69,AMARGOSA,2331.518210924606
70,ANDORINHA,63926.247
71,BARRA,1365.777639807414
72,BARRA DO CHOCA,7953930.451378373
73,BARREIRAS,26151.84
74,BARROCAS,24358.81851820728
75,BELMONTE,21354.58209177215
76,BELO CAMPO,64952.75781944444
77,BOM JESUS DA LAPA,87656.83374
78,BOQUIRA,20013.651048291642
79,BRUMADO,15320.27211639583
80,CABACEIRAS DO PARAGUACU,183301.22684810127
81,CACHOEIRA,33673.862772547116
82,CACULE,22235.302209925205
83,CAETANOS,229846.51928783383
84,CAETITE,27987.197999999997
85,CAMACARI,22223.656984839476
86,CAMAMU,16589.010666666665
87,CAMPO ALEGRE DE LOURDES,303115.281875
88,CAMPO FORMOSO,21579.39665
89,CANARANA,67877.9848583878
90,CANDEIAS,60058.08657142857
91,CANDIBA,48179.595821550385
92,CAPELA DO ALTO ALEGRE,3972.162567105263
93,CARINHANHA,13661.121397039704
94,CASA NOVA,92364.80341076522
95,CASTRO ALVES,5318.04125
96,CATU,17565.112304347826
97,CATURAMA,23352.526
98,CONCEICAO DA FEIRA,244325.38721868536
99,CONCEICAO DO COITE,33397.07036894164
100,CONCEICAO DO JACUIPE,4890.246625327927
101,CONDE,6092.1908396946565
102,CONDEUBA,387202.3727027027
103,CORDEIROS,140290.71488333333
104,CORONEL JOAO SA,17071.02829162133
105,CORRENTINA,939035.3933333334
106,CRUZ DAS ALMAS,47928.125092795286
107,DIAS D'AVILA,40879.75387719298
108,ELISIO MEDRADO,41878.85111111111
109,EUCLIDES DA CUNHA,22562.168461538462
110,EUNAPOLIS,41398.988376146786
111,FEIRA DE SANTANA,14256.1275
112,FORMOSA DO RIO PRETO,49205.62538194445
113,GENTIO DO OURO,42131.40871428571
114,GOVERNADOR MANGABEIRA,9575.435714285715
115,GUANAMBI,17148.317101449273
116,IACU,108024.40010280708
117,IBIASSUCE,15266.178903932947
118,IBICARAI,38326.37077272728
119,IBICOARA,49922.034583333334
120,IBICUI,6023.30887551353
121,IBIRAPUA,91388.32607142857
122,IBITITA,1968163.235
123,IBOTIRAMA,26733.45315
124,IGAPORA,101483.95515462186
125,IGRAPIUNA,111148.17413102245
126,ILHEUS,37760.930555555555
127,INHAMBUPE,21789.533794491526
128,IPIAU,32171.92693668529
129,IPIRA,24253673.302500002
130,IRAQUARA,32903.509138540794
131,IRECE,451577.4492857143
132,ITABELA,25429.70719169071
133,ITABERABA,389514.5477230131
134,ITABUNA,88866.81450000001
135,ITAGIBA,14156.46935712434
136,ITAGIMIRIM,4118.8508952898555
137,ITAGUACU DA BAHIA,4610.9701000000005
138,ITAMARAJU,5050967.183333333
139,ITAMBE,8794.153843333333
140,ITANHEM,3633849.275
141,ITAPARICA,8687.72116969257
142,ITAPE,355533.81
143,ITAPETINGA,2029.4003608247422
144,ITARANTIM,9503.552665555555
145,JACARACI,1008.3778164819792
146,JACOBINA,306642.5503125
147,JAGUARARI,272681.0036666667
148,JAGUARIPE,1942.5733333333333
149,JANDAIRA,18479823.394702498
150,JEQUIE,4005.653590577944
151,JEREMOABO,461737.14
152,JIQUIRICA,684.96470916833
153,JUAZEIRO,21096.55
154,LAGOA REAL,237.2266955835962
155,LAJE,20279.851366906474
156,LAPAO,590.6287310776943
157,LAURO DE FREITAS,38909.27
158,LICINIO DE ALMEIDA,163496.78102953586
159,LIVRAMENTO DE NOSSA SENHORA,61428.79
160,LUIS EDUARDO MAGALHAES,16616.838055555556
161,MACARANI,1831.57932
162,MACAUBAS,38004.85768025078
163,MADRE DE DEUS,8541.129439759035
164,MAIQUINIQUE,181286.87010829308
165,MALHADA,1356923.3530824403
166,MALHADA DE PEDRAS,7543.519098482566
167,MANOEL VITORINO,1435.9943674681647
168,MARACAS,26195.62732
169,MATA DE SAO JOAO,30241.27
170,MEDEIROS NETO,140244.92717821783
171,MIGUEL CALMON,5720.415202690863
172,MORRO DO CHAPEU,129244.07633333333
173,MORTUGABA,16424.564586397057
174,MUCUGE,579.3700231486309
175,MUCURI,7832.267956284153
176,MUTUIPE,46024.39
177,NAZARE,136883.0090871908
178,NOVA SOURE,543.5954545454546
179,OLIVEIRA DOS BREJINHOS,20518.67662
180,OUROLANDIA,194884.91820000001
181,PALMAS DE MONTE ALTO,8514.382
182,PARAMIRIM,60836.88274332978
183,PARATINGA,2998.6619246031746
184,PAU BRASIL,512.3864661654135
185,PAULO AFONSO,4586.652928818471
186,PIATA,307738.84239669424
187,PINDAI,48586.8882
188,PINDOBACU,11698.71817204301
189,PIRAI DO NORTE,836.1042664520024
190,PIRITIBA,342971.0960960961
191,PLANALTO,2113.0092999999997
192,POJUCA,5030.990458333334
193,PONTO NOVO,5150.679742857143
194,PORTO SEGURO,14520.962160000001
195,PRADO,3695.1022974358975
196,PRESIDENTE JANIO QUADROS,6090.078252060826
197,QUIXABEIRA,78775.11142857143
198,RIACHAO DAS NEVES,335192.0456666667
199,RIACHAO DO JACUIPE,40251.0
200,RIACHO DE SANTANA,486461.6785135035
201,RIBEIRA DO POMBAL,4265.603346774194
202,RIO DO ANTONIO,15915.725487155389
203,RIO REAL,4636.032759019185
204,SALVADOR,14802.497460505698
205,SANTA LUZIA,11978.775589915294
206,SANTA MARIA DA VITORIA,49931.0
207,SANTA RITA DE CASSIA,4948.3646
208,SANTA TERESINHA,8427585.19
209,SANTALUZ,22493.78740558717
210,SANTO AMARO,402983.631147541
211,SANTO ANTONIO DE JESUS,13392.398939271256
212,SANTO ESTEVAO,882.0111517882286
213,SAO DESIDERIO,26190.0
214,SAO FRANCISCO DO CONDE,10793.590991831972
215,SAO GONCALO DOS CAMPOS,10170.898147423353
216,SAO SEBASTIAO DO PASSE,33821.350877192985
217,SATIRO DIAS,132974.60320156475
218,SEABRA,5432.70288938423
219,SENHOR DO BONFIM,5553.827540983606
220,SENTO SE,21617546.545
221,SERRA DO RAMALHO,431401.98480000003
222,SERRA DOURADA,12415.39455681818
223,SERRINHA,332389.789825
224,SIMOES FILHO,17808.935139066336
225,SITIO DO MATO,84179.28536666666
226,TANQUE NOVO,1646642.2411764706
227,TEIXEIRA DE FREITAS,24648.765266666665
228,TERRA NOVA,34665.98645833333
229,URANDI,1324226.3832777438
230,URUCUCA,80120.343
231,VALENCA,43405.73096774193
232,VALENTE,73995.61111111111
