,Municipio,Mediana_Ecoeficiencia
0,ACRELANDIA,41681.6720625
1,ASSIS BRASIL,20.83418635437882
2,BRASILEIA,1089.5755708333334
3,BUJARI,16202.073979642857
4,CAPIXABA,588.8723833333333
5,CRUZEIRO DO SUL,1087.143951924012
6,FEIJO,131.03992424391788
7,JORDAO,848.843612716763
8,MANOEL URBANO,3081.2004518072285
9,MARECHAL THAUMATURGO,202.8155035580611
10,PLACIDO DE CASTRO,522.7305942579546
11,PORTO WALTER,1822.0770418147679
12,RIO BRANCO,4681.645609756098
13,RODRIGUES ALVES,11.123776425679583
14,SANTA ROSA DO PURUS,776.0167417840375
15,SENA MADUREIRA,7538.333125
16,SENADOR GUIOMARD,9021.133
17,TARAUACA,308.8147094298245
18,XAPURI,4445.057874444445
19,ARAPIRACA,956.5255052631579
20,ATALAIA,2094.915
21,BATALHA,5284.024439393939
22,BOCA DA MATA,642.029756097561
23,CACIMBINHAS,902.1846
24,CAMPO ALEGRE,191.67693945029964
25,CAMPO GRANDE,1139.1178258426967
26,CAPELA,809.0907601851851
27,CARNEIROS,1059.6007533333332
28,CHA PRETA,8527.3516
29,COLONIA LEOPOLDINA,2618.3347999999996
30,CORURIPE,228.9120171969697
31,CRAIBAS,2143.308095238095
32,DELMIRO GOUVEIA,1903.1068500000001
33,DOIS RIACHOS,2049.0633214285713
34,FELIZ DESERTO,501.3968785714286
35,GIRAU DO PONCIANO,1600.4983384615384
36,IGACI,15142.3822
37,IGREJA NOVA,0.8772928908828209
38,INHAPI,187.861125
39,JACARE DOS HOMENS,15114.4855
40,JAPARATINGA,5904.18843
41,LAGOA DA CANOA,4235.306590909091
42,MACEIO,1005.0174319598601
43,MAJOR ISIDORO,503.7646759259259
44,MARAGOGI,254.72571428571428
45,MARAVILHA,369.30079301558754
46,MARECHAL DEODORO,200.4335643799963
47,MATA GRANDE,382.2659285714286
48,MATRIZ DE CAMARAGIBE,405.0930333333334
49,MESSIAS,4835.662583333333
50,MONTEIROPOLIS,2334.6090541478134
51,OLHO D'AGUA DAS FLORES,667.74837225
52,PALMEIRA DOS INDIOS,479.9672519083969
53,PASSO DE CAMARAGIBE,2468.6149094326724
54,PENEDO,2762.7985253237543
55,PILAR,317.24804740406324
56,PIRANHAS,141.46297381413768
57,POCO DAS TRINCHEIRAS,2843.05641374269
58,PORTO CALVO,2522.1508074706107
59,RIO LARGO,178.49971794871797
60,SANTA LUZIA DO NORTE,162.51666666666665
61,SANTANA DO IPANEMA,2499.656
62,SANTANA DO MUNDAU,763.9792076923077
63,SAO JOSE DA LAJE,106.9808314987075
64,SAO JOSE DA TAPERA,1596.4035000000001
65,SAO LUIS DO QUITUNDE,594.0303624999999
66,SAO MIGUEL DOS CAMPOS,563.2702285714286
67,SAO SEBASTIAO,946.9011625
68,SATUBA,79.28316349637682
69,TAQUARANA,159.50873988439307
70,TEOTONIO VILELA,59.8673652486614
71,UNIAO DOS PALMARES,506.5711057692307
72,VICOSA,2234.239233277592
73,CALCOENE,454.0917800666667
74,CUTIAS,21820.648421052632
75,FERREIRA GOMES,2472.313225146199
76,ITAUBAL,84969.35380769231
77,MACAPA,4871.045396496815
78,MAZAGAO,605.491
79,OIAPOQUE,181.47494658119658
80,PEDRA BRANCA DO AMAPARI,113.05787795992714
81,PORTO GRANDE,850.5436733333333
82,SANTANA,794.4621413419914
83,SERRA DO NAVIO,23588.193199999998
84,TARTARUGALZINHO,4516.182496453901
85,VITORIA DO JARI,208.01642
86,ALVARAES,273.12654346540506
87,AMATURA,171.3602603550296
88,ANAMA,907.7079928952043
89,ANORI,34395.53916666667
90,APUI,47.9300350877193
91,ATALAIA DO NORTE,1370.9101274623406
92,AUTAZES,160.80216966946136
93,BARCELOS,213.29697000000002
94,BARREIRINHA,397.31153911564627
95,BENJAMIN CONSTANT,156.2917923176313
96,BERURI,148.08257436452135
97,BOA VISTA DO RAMOS,787.3322958656745
98,BOCA DO ACRE,6779.506037484434
99,BORBA,440.73668077689246
100,CANUTAMA,233.64754779717373
101,CARAUARI,389.0052673442333
102,CAREIRO,4226.442857142857
103,CAREIRO DA VARZEA,234.26680559454903
104,COARI,441.03517181771974
105,CODAJAS,1576.6414962049337
106,EIRUNEPE,286.07302325581395
107,ENVIRA,132.04106666666667
108,FONTE BOA,245.51835555555553
109,HUMAITA,4057.3561752988044
110,IPIXUNA,309.4970007262164
111,IRANDUBA,283.96956666666665
112,ITACOATIARA,176.4075
113,ITAMARATI,1002.3585991058122
114,ITAPIRANGA,159.88827470686766
115,JAPURA,1395.967468288854
116,JURUA,229.70639042357277
117,JUTAI,677.2193410852713
118,LABREA,1150.0227272727273
119,MANACAPURU,1976.1187677495745
120,MANAQUIRI,162.90537722412455
121,MANAUS,226.91977500000002
122,MANICORE,550.314854822561
123,MARAA,2914.3026
124,MAUES,512.1835930555555
125,NHAMUNDA,176.85842156862745
126,NOVA OLINDA DO NORTE,57.233629032258065
127,NOVO AIRAO,3310.082735294118
128,NOVO ARIPUANA,1243.350604174295
129,PARINTINS,140.7672082031898
130,PAUINI,67.18062295081967
131,PRESIDENTE FIGUEIREDO,265.4706287234043
132,RIO PRETO DA EVA,29.61810595238095
133,SANTA ISABEL DO RIO NEGRO,64.85936608816101
134,SANTO ANTONIO DO ICA,299.1583133354204
135,SAO GABRIEL DA CACHOEIRA,2018.4628666666665
136,SAO PAULO DE OLIVENCA,357.647688172043
137,SAO SEBASTIAO DO UATUMA,724.8488439390774
138,SILVES,535.9275504322767
139,TABATINGA,702.4695757575757
140,TAPAUA,509.08111372329097
141,TEFE,194.57058311575284
142,TONANTINS,146.03787447326022
143,UARINI,19.245865471066473
144,URUCARA,500.4561158816351
145,URUCURITUBA,512.4258899302632
146,ABAIRA,215289.03600000002
147,ABARE,420139.9114541605
148,ADUSTINA,225.20755
