,Estado,Mediana_Ecoeficiencia
0,ACRE,1754360.29
1,ALAGOAS,1131090.289420601
2,AMAPA,1064212.944945055
3,AMAZONAS,1359130.0
4,BAHIA,1348687.9999999998
5,CEARA,1231196.25
6,DISTRITO FEDERAL,1264259.55
7,ESPIRITO SANTO,1173992.52
8,GOIAS,1366923.272
9,MARANHAO,1277946.1291164658
10,MATO GROSSO,1328834.1949999998
11,MATO GROSSO DO SUL,1268464.9
12,MINAS GERAIS,1250703.4985422739
13,PARA,1405562.3146841675
14,PARAIBA,1290349.775
15,PARANA,1205039.8695652173
16,PERNAMBUCO,1602633.93
17,PIAUI,1567809.0875222816
18,RIO DE JANEIRO,1084475.58
19,RIO GRANDE DO NORTE,1549710.56
20,RIO GRANDE DO SUL,1261282.0101141077
21,RONDONIA,1593713.5872549019
22,RORAIMA,1047527.3333333333
23,SANTA CATARINA,1265169.0
24,SAO PAULO,1170927.8333333335
25,SERGIPE,1839559.7102040816
26,TOCANTINS,992534.8539705358
