,Estado,Mediana_Ecoeficiencia
0,ACRE,112.94518175326519
1,ALAGOAS,524.2986337448559
2,AMAPA,520.0862916018663
3,AMAZONAS,304.9221625843366
4,BAHIA,253.5840319715281
5,CEARA,312.94325265328706
6,DISTRITO FEDERAL,234.21902072300537
7,ESPIRITO SANTO,319.45609433546394
8,GOIAS,266.45002500000004
9,MARANHAO,432.78929129464285
10,MATO GROSSO,343.00086684550234
11,MATO GROSSO DO SUL,269.27
12,MINAS GERAIS,323.04611161241763
13,PARA,205.79647131909172
14,PARAIBA,342.39889709478496
15,PARANA,281.22121292756236
16,PERNAMBUCO,316.676305513059
17,PIAUI,147.0314730909091
18,RIO DE JANEIRO,335.37788144437485
19,RIO GRANDE DO NORTE,234.14738393515105
20,RIO GRANDE DO SUL,249.42740533107553
21,RONDONIA,233.96833477077928
22,RORAIMA,83.18474079126877
23,SANTA CATARINA,270.0718751100249
24,SAO PAULO,313.3657282828283
25,SERGIPE,293.6875775161503
26,TOCANTINS,301.83034853151594
