,Estado,Mediana_Ecoeficiencia
0,ACRE,39890.26694444444
1,ALAGOAS,23212.972902380952
2,AMAPA,91750.55
3,AMAZONAS,17205.137931034482
4,BAHIA,22097.67
5,CEARA,19421.15585701439
6,DISTRITO FEDERAL,20936.904170299
7,ESPIRITO SANTO,17875.402597402597
8,GOIAS,21657.95469628875
9,MARANHAO,24966.15320062194
10,MATO GROSSO,15040.382169384058
11,MATO GROSSO DO SUL,16870.983
12,MINAS GERAIS,22333.44
13,PARA,25048.38
14,PARAIBA,17107.88017952229
15,PARANA,17244.121
16,PERNAMBUCO,25285.937083333334
17,PIAUI,13641.81346700892
18,RIO DE JANEIRO,23740.745216606498
19,RIO GRANDE DO NORTE,18366.312225988007
20,RIO GRANDE DO SUL,18336.656666666666
21,RONDONIA,24746.703644859812
22,RORAIMA,7993.275571428572
23,SANTA CATARINA,18936.29598166667
24,SAO PAULO,21476.799265151516
25,SERGIPE,27668.64613939394
26,TOCANTINS,22738.92742647059
