,Estado,Mediana_Ecoeficiencia
0,ACRE,3424.9541463414635
1,ALAGOAS,798.4316375000001
2,AMAPA,1245.0190625
3,AMAZONAS,241.28410226285013
4,BAHIA,893.9685110018727
5,CEARA,551.149474944143
6,DISTRITO FEDERAL,1220.3638680555555
7,ESPIRITO SANTO,1515.744634603567
8,GOIAS,515.298016194332
9,MARANHAO,709.1952313922052
10,MATO GROSSO,423.74576463560334
11,MATO GROSSO DO SUL,842.7346876579509
12,MINAS GERAIS,937.6977517184625
13,PARA,638.2471700000001
14,PARAIBA,747.0587714285715
15,PARANA,583.0749801587301
16,PERNAMBUCO,419.5922548076923
17,PIAUI,135.69041822118578
18,RIO DE JANEIRO,541.1158333333334
19,RIO GRANDE DO NORTE,853.90098
20,RIO GRANDE DO SUL,1080.9717486338798
21,RONDONIA,541.219393939394
22,RORAIMA,1341.5463269230768
23,SANTA CATARINA,595.527605
24,SAO PAULO,719.0098578847529
25,SERGIPE,343.38915000000003
26,TOCANTINS,2266.653977777778
