,ISIC_12,quant_efluentes_liquidos,Ecoeficiência
0,Construction,1305416.8000000003,1186589.1466666667
1,Government,155249.52000000002,1190217.9999999998
2,Manufacturing,89027025.71999998,1217941.3675213675
3,Utilities,9781716.84,1261090.3182119206
4,Mining,8644112.88,1267514.9558434896
5,Trade,1707146.94,1271184.5806451612
6,Transport,541715.95,1292204.0615767005
7,Business,1708640.6099999999,1317581.8181818181
8,OtherServices,308006.87,1332583.94
9,Agriculture,2417727.0500000003,1429641.782648535
10,Financial,63737388.080000006,1558073.0396344084
11,RealEstate,173.39000000000001,1789282.7937500002
