,ISIC_12,quant_poluentes_emitidos,Ecoeficiência
0,Government,284834.96595,9441.867400720164
1,Agriculture,8542097.19676,16527.744699278268
2,Trade,6756278.02228,18121.96771666667
3,Construction,6375638.09113,19464.21388965051
4,Transport,1648781.36959,19789.614176767675
5,Utilities,40994425.68548,19835.55675
6,Manufacturing,458067646.96448,20553.8211952412
7,Financial,277322.49434000003,20710.896099502486
8,Business,5696952.43841,21233.540266666667
9,Mining,37522409.82301,23914.009324894516
10,OtherServices,2798837.94653,25800.69338961039
11,RealEstate,74477.0,111992.155
