,ISIC_12,quant_residuos_solidos,Ecoeficiência
0,Financial,1572135923.74,273.04965363636364
1,Utilities,417054161388.97,286.9638362842928
2,OtherServices,29546033082.600002,291.6473619743542
3,Government,7559213499.29,417.1900933333333
4,Manufacturing,7393644755449.568,439.81173228601256
5,RealEstate,75205195.96000001,543.1714029850747
6,Transport,31890403553.26,549.372213622291
7,Mining,1204570444973.7502,615.2522155911973
8,Business,40148193947.15,732.468375
9,Construction,21141788398.149994,781.2688830123145
10,Agriculture,17904516883.96,1431.8893333333333
11,Trade,68728365820.45001,1956.2590897097625
