ano,region,0,razao
2013,Centro-oeste,367,12629.024788174387
2013,Nordeste,812,11456.729230738916
2013,Norte,377,8265.41520469496
2013,Sudeste,3048,8875.662739311023
2013,Sul,1882,6048.893851004251
2014,Centro-oeste,443,14324.206975191873
2014,Nordeste,983,8726.63092536114
2014,Norte,443,8892.660669729119
2014,Sudeste,3593,7905.010074088505
2014,Sul,2117,6302.758293793104
2015,Centro-oeste,499,14866.075631803607
2015,Nordeste,1124,8993.394603487544
2015,Norte,481,7581.883701725572
2015,Sudeste,3904,7892.523547469263
2015,Sul,2310,6406.838868030303
2016,Centro-oeste,516,15600.286947655039
2016,Nordeste,1196,10431.323919448161
2016,Norte,491,7490.136194378819
2016,Sudeste,4218,7669.9885019156
2016,Sul,2470,6401.594325874494
2017,Centro-oeste,512,15507.428562089844
2017,Nordeste,1315,10987.613906524713
2017,Norte,513,6674.606803333333
2017,Sudeste,4319,7640.451491213244
2017,Sul,2581,5988.3372892444795
2018,Centro-oeste,552,14091.526125253624
2018,Nordeste,1366,11631.351714033673
2018,Norte,517,7225.357836286267
2018,Sudeste,4584,7672.783339500437
2018,Sul,2682,6110.587492114094
2019,Centro-oeste,559,15053.2875550805
2019,Nordeste,1329,11916.440975492853
2019,Norte,519,7199.108958593449
2019,Sudeste,4721,7144.492132198687
2019,Sul,2797,5763.703750082231
2020,Centro-oeste,596,14863.242674647652
2020,Nordeste,1404,11923.270262136752
2020,Norte,538,8677.949240167285
2020,Sudeste,4786,7313.398395117008
2020,Sul,2976,5909.565198353494
