ano,region,0,razao
2002,Centro-oeste,475,620699.0944421053
2002,Nordeste,1097,233088.5420783956
2002,Norte,609,35067.393087027915
2002,Sudeste,7368,338464.33192589576
2002,Sul,6082,28095.82365175929
2003,Centro-oeste,540,246408.76712962962
2003,Nordeste,1202,246919.71240432613
2003,Norte,652,40950.945092024536
2003,Sudeste,7920,235061.34334595958
2003,Sul,6501,42459.2003276419
2004,Centro-oeste,565,258757.72541592916
2004,Nordeste,1271,985368.638725413
2004,Norte,649,52940.621325115564
2004,Sudeste,8454,184925.82443931865
2004,Sul,6632,45273.302626658624
2005,Centro-oeste,560,47752.09773214286
2005,Nordeste,1320,68787.8257651515
2005,Norte,601,24380.952529118138
2005,Sudeste,8809,65575.43164831422
2005,Sul,6775,15355.703645756457
2006,Centro-oeste,726,41557.03502754821
2006,Nordeste,1581,67853.83282732448
2006,Norte,854,26129.190000000002
2006,Sudeste,10081,89504.85819759945
2006,Sul,7890,11579.237842839037
2007,Centro-oeste,846,52203.13620567376
2007,Nordeste,1669,529165.6092390653
2007,Norte,875,20706.02249142857
2007,Sudeste,10819,138859.04610777335
2007,Sul,8627,11628.410165758665
2008,Centro-oeste,936,52770.89123931624
2008,Nordeste,1797,61766.00570951586
2008,Norte,902,202874.8365964523
2008,Sudeste,11430,204352.38287139105
2008,Sul,9018,16723.64689842537
2009,Centro-oeste,943,2258992.882322375
2009,Nordeste,1863,128491.98213097156
2009,Norte,916,102752.7508951965
2009,Sudeste,11857,439629.5229299148
2009,Sul,9018,1100467.1853138169
2010,Centro-oeste,1072,786674.6131250001
2010,Nordeste,2120,663397.0377169811
2010,Norte,1009,94471.41371655103
2010,Sudeste,13398,136963.86485669503
2010,Sul,9826,448228.31558619987
2011,Centro-oeste,1127,1564740.2721916593
2011,Nordeste,2400,232709.719275
2011,Norte,1089,128062.23111111112
2011,Sudeste,14723,174064.91779936154
2011,Sul,10549,481923.3549492843
2012,Centro-oeste,39,173007.31743589742
2012,Nordeste,83,1654227.3161445784
2012,Norte,33,36663.41606060606
2012,Sudeste,339,33403.02427728613
2012,Sul,321,9053.746884735203
2013,Sudeste,1,3400.0
2013,Sul,2,165.0
