ISIC,PIB,quant_poluentes_emitidos,co2_emissions,massa_salarial,eco_efic_quant_efluentes_liquidos,eco_efic_co2_emissions,eco_efic_quant_residuos_solidos,eco_efic_quant_poluentes_emitidos,eco_efic_quantidade_energia_padrao_calorias,eco_efic_quant_consumida_energia_acordo_tipo
AG13,3594004000,497.0,5228.0,6070529.715,18946.81662144552,187.56815378554677,852.105052184136,3535.884,1632.232771369006,180.79164000877427
AG14,3143816000,346.5,30752.0,6921854.905,14852.596333333333,66.32481569308263,1140.1239125,2133.570084680694,1064.7091113189897,91.2910644453312
AG15,3525412000,453.0,46128.0,8758125.34,10731.192928571429,70.446043974155,1169.1983139534882,2407.781908505154,1499.3640050272309,136.48648754494383
AG16,3527436000,380.0,78303.0,8924867.46,2955.6050504284885,50.86190141277641,1116.41752603151,2831.2199484358885,958.1650865490394,89.82362834722221
AG18,3204584000,1022.5,68767.0,10970461.99,3893.7999999999997,50.93340063968873,1281.1590389523915,3720.3161357940303,990.7807709923665,148.82372
AG19,4087916000,231.5,22283.0,6869399.825,2255.2228444444445,159.03264197323392,1035.1656,4689.693417628284,1003.7157874610147,111.87620494795532
AG20,4327504000,130.0,39489.0,10164602.98,2576.7985499999995,180.9752028238458,1530.20125,5786.4673947108595,826.2424049178901,156.1210661232807
BU13,3594004000,72.0,19015.0,3918854.165,8593.626886145405,46.58894980067917,565.3769230990783,20651.824444444446,1630.8976855036349,107.36844939271255
BU14,3143816000,51.0,20897.5,2502116.565,11337.635,42.81231744362659,645.3333333333334,18046.011416666668,1156.2566652271112,41.48608709677419
BU15,3525412000,50.0,17408.0,3717144.65,10094.93,23.811726564999468,1139.080793543424,16995.303832951948,2996.5223021385486,67.99787239424272
BU16,3527436000,50.0,11722.0,3961433.17,5777.706666666667,136.59223972738633,1075.5309547179502,28163.798142857144,3047.67701549733,53.27713665438092
BU17,3185772000,56.0,19507.5,2950942.5,19378.55448717949,7.025443154826731,1067.8362499999998,5264.325029580122,449.9422255475048,17.544727272727272
BU18,3204584000,50.0,5461.0,4928188.055,12209.220166666666,105.92690333402265,955.1210782779722,7346.087527031485,4328.34,50.60273966155077
BU19,4087916000,34.5,5934.5,4401921.6,11081.518166666667,100.74314276705857,2091.2712775,9772.816666666666,3135.5801717305153,65.95
BU20,4327504000,47.5,4839.5,4420625.385000001,14857.429804721978,112.39486910994763,2159.332563500056,3098.816037411667,4253.389497126437,49.24156
