CÓDIGO;DESCRIÇÃO;TCFA
1-1;Pesquisa mineral com guia de utilização;SIM
1-2;Lavra a céu aberto, inclusive de aluvião, com ou sem beneficiamento;SIM
1-3;Lavra subterrânea com ou sem beneficiamento;SIM
1-4;Lavra garimpeira;SIM
1-5;Perfuração de poços e produção de petróleo e gás natural;SIM
1-6;Pesquisa mineral sem guia de utilização;NÃO
1-7;Lavra garimpeira – uso de mercúrio metálico;SIM*
2-1;Beneficiamento de minerais não metálicos, não associados a extração;SIM
2-2;Fabricação e elaboração de produtos minerais não metálicos tais como produção de material cerâmico, cimento, gesso, amianto, vidro e similares;SIM
3-1;Fabricação de aço e de produtos siderúrgicos.;SIM
3-2;Produção de fundidos de ferro e aço, forjados, arames, relaminados com ou sem tratamento de superfície, inclusive galvanoplastia;SIM
3-3;Metalurgia dos metais não-ferrosos, em formas primárias e secundárias, inclusive ouro;SIM
3-4;Produção de laminados, ligas, artefatos de metais não-ferrosos com ou sem tratamento de superfície, inclusive galvanoplastia;SIM
3-5;Relaminação de metais não-ferrosos, inclusive ligas;SIM
3-6;Produção de soldas e anodos;SIM
3-7;Metalurgia de metais preciosos;SIM
3-8;Metalurgia do pó, inclusive peças moldadas;SIM
3-9;Fabricação de estruturas metálicas com ou sem tratamento de superfície, inclusive galvanoplastia;SIM
3-10;Fabricação de artefatos de ferro, aço e de metais não-ferrosos com ou sem tratamento de superfície, inclusive galvanoplastia;SIM
3-11;Têmpera e cementação de aço, recozimento de arames, tratamento de superfície;SIM
3-12;Metalurgia dos metais não-ferrosos, em formas primárias e secundárias, inclusive ouro - uso de mercúrio metálico;SIM*
4-1;Fabricação de máquinas, aparelhos, peças, utensílios e acessórios com e sem tratamento térmico ou de superfície;SIM
4-2;Fabricação de máquinas, aparelhos, peças, utensílios e acessórios com e sem tratamento térmico ou de superfície – fabricação de motosserras;SIM*
5-1;Fabricação de pilhas, baterias e outros acumuladores;SIM
5-2;Fabricação de material elétrico, eletrônico e equipamentos para telecomunicação e informática;SIM
5-3;Fabricação de aparelhos elétricos e eletrodomésticos;SIM
5-4;;SIM*
6-1;Fabricação e montagem de veículos rodoviários e ferroviários, peças e acessórios;SIM
6-2;Fabricação e montagem de aeronaves;SIM
6-3;Fabricação e reparo de embarcações e estruturas flutuantes;SIM
7-1;Serraria e desdobramento de madeira;SIM
7-2;Preservação de madeira;SIM
7-3;Fabricação de chapas, placas de madeira aglomerada, prensada e compensada;SIM
7-4;Fabricação de estruturas de madeira e móveis;SIM
7-5;Preservação de madeira - usina, sob pressão;SIM*
7-6;Preservação de madeira - usina piloto, pesquisa;SIM*
7-7;Preservação de madeira - usina, sem pressão;SIM*
8-1;Fabricação de celulose e pasta mecânica;SIM
8-2;Fabricação de papel e papelão;SIM
8-3;Fabricação de artefatos de papel, papelão, cartolina, cartão e fibra prensada;SIM
9-1;Beneficiamento de borracha natural;SIM
9-3;Fabricação de laminados e fios de borracha;SIM
9-4;Fabricação de espuma de borracha e de artefatos de espuma de borracha, inclusive látex;SIM
9-5;Fabricação de câmara de ar;SIM
9-6;Fabricação de pneumáticos;SIM
9-7;Recondicionamento de pneumáticos;SIM
10-1;Secagem e salga de couros e peles;SIM
10-2;Curtimento e outras preparações de couros e peles;SIM
10-3;Fabricação de artefatos diversos de couros e peles;SIM
10-4;Fabricação de cola animal;SIM
11-1;Beneficiamento de fibras têxteis, vegetais, de origem animal e sintéticos;SIM
11-2;Fabricação e acabamento de fios e tecidos;SIM
11-3;Tingimento, estamparia e outros acabamentos em peças do vestuário e artigos diversos de tecidos;SIM
11-4;Fabricação de calçados e componentes para calçados;SIM
12-1;Fabricação de laminados plásticos;SIM
12-2;Fabricação de artefatos de material plástico;SIM
13-1;Fabricação de cigarros, charutos, cigarrilhas e outras atividades de beneficiamento do fumo;SIM
14-1;Usinas de produção de concreto;SIM
14-2;Usinas de produção de asfalto;SIM
15-1;Produção de substâncias e fabricação de produtos químicos;SIM
15-2;Fabricação de produtos derivados do processamento de petróleo, de rochas betuminosas e da madeira;SIM
15-3;Fabricação de combustíveis não derivados de petróleo;SIM
15-4;Produção de óleos, gorduras, ceras, vegetais e animais, óleos essenciais, vegetais e produtos similares, da destilação da madeira;SIM
15-5;Fabricação de resinas e de fibras e fios artificiais e sintéticos e de borracha e látex sintéticos;SIM
15-6;Fabricação de pólvora, explosivos, detonantes, munição para caça e desporto, fósforo de segurança e artigos pirotécnicos;SIM
15-7;Recuperação e refino de solventes, óleos minerais, vegetais e animais;SIM
15-8;Fabricação de concentrados aromáticos naturais, artificiais e sintéticos;SIM
15-9;Fabricação de preparados para limpeza e polimento, desinfetantes, inseticidas, germicidas e fungicidas;SIM
15-10;Fabricação de tintas, esmaltes, lacas, vernizes, impermeabilizantes, solventes e secantes;SIM
15-11;Fabricação de fertilizantes e agroquímicos;SIM
15-12;Fabricação de produtos farmacêuticos e veterinários;SIM
15-13;Fabricação de sabões, detergentes e velas;SIM
